txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
9fd21373876a8954c813a765e9a1ab0846cb10473239282342941480c8736dd0,2021-10-13 05:35:37,0.01760635,0,,0.0001589,1,2,2.0,3,0.01760635,0.01760635,0.01760635,0.01760635,0.01760635,0.0,0.01744745,0.0170387,0.00040875,0.008723725,0.008723725,6.913880925062501e-05
84ba29c2836264cae0535f6ee34cb90a87a4aa83a88d1827084f547bd21abc62,2021-10-14 10:25:25,0,0.00714566,103788.0,5.4539999999825284e-05,1,7,7.0,8,2.9849968,2.9849968,2.9849968,2.9849968,2.9849968,0.0,2.98494226,2.77827593,0.00142584,0.00714566,0.4264203228571429,0.9235343482218754
7193b4922387e561005b93ba1de60a17cafb3ce1e9e12adcc55a65f66dab1338,2021-10-14 17:30:27,0.00896613,0,25502.0,0.00024231999999999726,2,1,0.5,3,0.03496613,0.026,0.00896613,0.017483065,0.017483065,7.2538181794225e-05,0.03472381,0.03472381,0.03472381,0.03472381,0.03472381,0.0
e1ac4e4076fd1e87b547620b37a04d9033958c75ebbc70a5f64afdad7ab2c178,2021-10-15 23:37:51,0,0.00666263,108444.0,9.56599999999419e-05,1,19,19.0,20,3.92767761,3.92767761,3.92767761,3.92767761,3.92767761,0.0,3.92758195,3.6890064,0.00013894,0.00416957,0.2067148394736842,0.6741982027236233
ff96c36b520b9912b8b004fd8a0e4576c45b571862f25d1a01e92b6f66df5e8a,2021-10-15 23:47:49,0,0.00249683,598.0,9.690999999989458e-05,1,19,19.0,20,3.6890064,3.6890064,3.6890064,3.6890064,3.6890064,0.0,3.68890949,3.58593047,0.00027793,0.00166508,0.19415313105263154,0.6392914367641552
55177706eb021e557b0c9322458280ccdc1a3e1c260e4650215110ed4086033b,2021-10-16 03:20:35,0,0.00676571,12766.0,0.00017315999999922838,1,25,25.0,26,5.31805456,5.31805456,5.31805456,5.31805456,5.31805456,0.0,5.317881400000001,4.54120394,0.00081103,0.01218041,0.212715256,0.7824649829231626
8697ce4025d8d4e64c3e50948de709e32248ff5e124942bbb50809da520364ad,2021-10-16 08:36:20,0.00714566,0,18945.0,0.0002549700000000002,2,1,0.5,3,0.00837649,0.00714566,0.00123083,0.004188245,0.004188245,8.746303482225e-06,0.00812152,0.00812152,0.00812152,0.00812152,0.00812152,0.0
a3a80e90262fc0f62573c7c4a11d22f7ae155e112fe98b159f32d1a07101af70,2021-10-16 19:51:18,0.00666263,0,40498.0,0.0001589,1,2,2.0,3,0.00666263,0.00666263,0.00666263,0.00666263,0.00666263,0.0,0.00650373,0.0063,0.00020373,0.003251865,0.003251865,9.291126978225e-06
fb4ddb6e25143ee9d9a4776de239ee03e40049f0ef81d9c23f945dafd39ea2d4,2021-10-16 23:18:53,0.00676571,0,12455.0,0.0002632000000000051,2,2,1.0,4,0.07273344,0.06596773,0.00676571,0.03636672,0.03636672,0.0008762197930201,0.07247023999999999,0.07169758,0.00077266,0.036235119999999996,0.036235119999999996,0.0012575860692515999
cb3e4563f0f7e995eafa257073a603726ae75a22b11341843d05803fb3e1e147,2021-10-17 01:51:37,0.00249683,0,9164.0,0.0002497300000000001,2,1,0.5,3,0.0035601,0.00249683,0.00106327,0.00178005,0.00178005,5.137735683999998e-07,0.00331037,0.00331037,0.00331037,0.00331037,0.00331037,0.0
cf2aef7913f8a55e81e5b782439deafca52ded4b39bfc16d4fdba46cde84f83d,2021-10-19 01:43:11,0,0.00673775,172294.0,0.00011603999999998393,1,23,23.0,24,2.92408285,2.92408285,2.92408285,2.92408285,2.92408285,0.0,2.92396681,2.41652756,0.00013507,0.00215608,0.12712899173913045,0.24068337012043994
b5b23aeffe3c6ab1c34a26df4ccacf471ee578c6acd94e026e0eb7f7f080047e,2021-10-19 07:44:24,0,0.0116,21673.0,0.0002249100000000226,1,2,2.0,3,2.00930298,2.00930298,2.00930298,2.00930298,2.00930298,0.0,2.00907807,1.99747807,0.0116,1.004539035,1.004539035,0.9859279272267313
d05ed3efb329cbc301a10307389508c10d13b88d1d06bfed25f6fb1c4e1548c9,2021-10-19 22:16:31,0.00673775,0,52327.0,0.00024227000000000016,2,1,0.5,3,0.00684227,0.00673775,0.00010452,0.003421135,0.003421135,1.0999935058225e-05,0.0066,0.0066,0.0066,0.0066,0.0066,0.0
aa185561f1e0798ee372a18a72f4aff7b747a4a85d3bfb81c2cee87c85943c27,2021-10-19 22:51:45,0.0116,0,2114.0,0.0013062000000000906,12,2,0.16666666666666666,14,0.4914878900000001,0.1,0.01012065,0.01575165,0.04095732416666667,0.0015280996554347245,0.49018169,0.48280843,0.00737326,0.245090845,0.245090845,0.05650965021823223
b1a914e0d8c9f6c5bc000557f3876c028df2d357c54edaa993fe8e3b057df04e,2021-10-24 11:09:26,0,0.00644472,389861.0,3.5940000000067585e-05,1,109,109.0,110,1.06439142,1.06439142,1.06439142,1.06439142,1.06439142,0.0,1.06435548,0.80152723,1.489e-05,0.00098216,0.009764729174311926,0.005824428804798869
2b4479a8a8c78dc6b7fb1ea8211f55a45a68346d8c6ecae838d85fc6e10a59ee,2021-10-24 15:05:08,0.00644472,0,14142.0,0.00024001999999999964,2,1,0.5,3,0.00660979,0.00644472,0.00016507,0.003304895,0.003304895,9.858501030625001e-06,0.00636977,0.00636977,0.00636977,0.00636977,0.00636977,0.0
