txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
2cde0430ff8fff860111756ec1387b454157174eb5f1370830d32b416be93f9b,2016-10-31 03:05:57,0,9.983e-05,,0.00040000000000000105,1,101,101.0,102,0.0289,0.0289,0.0289,0.0289,0.0289,0.0,0.028499999999999998,0.01849504,9.85e-05,9.982e-05,0.0002821782178217822,3.317084899485932e-06
7c8fb6f6c873daec4e7f4a5e9d5b72c8e963d3207cbb82557355e7e4890641a0,2016-10-31 04:46:57,9.983e-05,0,6060.0,0.0074650000000175964,205,1,0.004878048780487805,206,38.00746500000002,20.3,3.318e-05,0.01074321,0.18540226829268294,2.237739744815607,38,38,38,38.0,38.0,0.0
482eecc1a86c53455b913f6e9028f8d15107ca2431c2cdcf1bec39455d22fd74,2016-11-15 08:19:30,0,9.919e-05,1308753.0,0.0008000000000000229,1,201,201.0,202,0.04350095,0.04350095,0.04350095,0.04350095,0.04350095,0.0,0.042700949999999974,0.02279649,9.851e-05,9.935e-05,0.00021244253731343284,2.5501965859413225e-06
21f0948016ac00a65438e0913b54a433c583a4255a48889368dff12c9e36d809,2016-11-17 09:35:24,9.919e-05,0,177354.0,0.007464999999989175,325,1,0.003076923076923077,326,43.00746499999999,7.95708664,2.814e-05,0.014271,0.1323306615384615,0.39435765061521105,43,43,43,43.0,43.0,0.0
759fae1310771e0efad604c3bee833155847a4ecbcf4006bee26dfe06eb4e4c4,2017-03-02 07:36:27,0,0.00010302,9064863.0,0.00462365000000009,1,101,101.0,102,0.16236639,0.16236639,0.16236639,0.16236639,0.16236639,0.0,0.1577427399999999,0.14742745,9.853e-05,0.00010324,0.0015618093069306928,0.00021276785179895496
150928128b4cdc6fabcb383bf563b01ee9aae6ee5a16ccfb1e88ee08eb4db3d4,2017-03-19 09:22:12,0,0.00010531,1475145.0,0.005085990000000002,1,101,101.0,102,0.022464,0.022464,0.022464,0.022464,0.022464,0.0,0.01737801,0.00520871,9.85e-05,0.00010323,0.00017205950495049503,2.547773915928242e-07
0e6dce7e5ae49c4aeb2d88493d13d005822567e9ad5e7c52b7c23b0115bbe2e3,2017-04-03 08:07:24,0,0.00010118,1291512.0,0.0025220000000000034,2,100,50.0,102,0.026109,0.014125,0.011984,0.0130545,0.0130545,1.1459702500000006e-06,0.023586999999999997,0.00098515,9.852e-05,0.00013670499999999999,0.00023587,4.018729907999999e-08
e81fe2ef657ea0a4cdad1f005ffe8544ab629a8d11e789d93e33b7dbae447c56,2017-04-18 17:24:08,0,0.00010024,1329404.0,0.0020591000000000914,1,96,96.0,97,0.55524842,0.55524842,0.55524842,0.55524842,0.55524842,0.0,0.5531893199999999,0.50758381,9.866e-05,0.0001294,0.00576238875,0.0026517281537599517
6f32e1d0d80ee998ce45d98e2448abd184bc77242d6943018d3437d1b421dbff,2017-04-23 11:31:13,0,9.1e-05,410825.0,0.00018580000000001373,1,50,50.0,51,0.0447392,0.0447392,0.0447392,0.0447392,0.0447392,0.0,0.044553399999999986,0.0391844,5.5e-05,6.549999999999999e-05,0.000891068,2.9948981716575998e-05
f711615e1a3f084f50865837d9a3e00551e0f9827af1c1d581c5c2877c364e74,2017-05-05 06:06:13,0,0.00010873,1017300.0,0.00589255,1,100,100.0,101,0.01672,0.01672,0.01672,0.01672,0.01672,0.0,0.010827449999999999,0.00010989,0.00010645,0.00010854,0.0001082745,1.0050267499999991e-12
d0f3b100694414a8e1b8cd0eedde9fcb5562379078bff21de6d8c644c2b766ae,2017-05-14 22:26:50,0,0.0002786,836437.0,0.009078450000000127,1,191,191.0,192,0.18683595,0.18683595,0.18683595,0.18683595,0.18683595,0.0,0.17775749999999987,0.12878093,0.00023515,0.00025672,0.0009306675392670157,8.603014120971168e-05
52854b51d00d2e61510edacc16c7f9699b4c5ad0f8cefadd0e6a710d59ac8b7a,2017-05-20 02:35:56,0,6.3e-05,446946.0,0.00032300000000000384,2,86,43.0,88,0.01623138,0.01162298,0.0046084,0.00811569,0.00811569,1.2301083144099998e-05,0.015908379999999996,0.00306938,5.5e-05,6.825e-05,0.00018498116279069764,1.4416069713818281e-07
edd9f12ebba2c4bb7501c5e72f9073b76a19363359166399f46ffb88266542df,2017-05-24 00:55:04,0,0.00012125,339548.0,0.00814879999999999,1,297,297.0,298,0.06,0.06,0.06,0.06,0.06,0.0,0.05185120000000001,0.01069395,0.00010631,0.00013606,0.00017458316498316498,3.745444749684341e-07
443c498cbdeb013b6c8cf9cecbfb110aa0c4652edb08411a7338fde2f1947ed1,2017-06-03 10:00:48,0,0.00011198,896744.0,0.010296929999999982,1,100,100.0,101,0.52663153,0.52663153,0.52663153,0.52663153,0.52663153,0.0,0.5163346,0.45906298,9.859e-05,0.00011748,0.005163346,0.002082659042462436
e2e592a8cf7ac1bdc76b35b71164368e82917b6c031d80d9adc950ebeeb3e2eb,2017-07-16 19:23:46,0,0.00020721,3748978.0,0.0020958000000000157,2,199,99.5,201,0.06011734,0.04982337,0.01029397,0.03005867,0.03005867,0.00039064336609,0.05802153999999998,0.01742254,0.00020004,0.00020495,0.00029156552763819093,1.4821841338669324e-06
c614d05c0cb95e6cd92e1c45e8da10552d84e0daa4e891bc2eba5032912e98a9,2017-07-19 03:31:34,0,0.0001004,202068.0,0.006744000000000014,2,563,281.5,565,0.12425,0.089,0.03525,0.062125,0.062125,0.000722265625,0.11750599999999999,0.02925628,0.0001,0.00010623,0.00020871403197158083,1.5266847444826773e-06
fb254c1ce2fd43b2b1263c400943e3b801baa46173b88aedecf14a2bd7f0dff3,2017-07-30 08:16:30,6.3e-05,0,967496.0,0.0024599399999999973,147,1,0.006802721088435374,148,0.012459939999999997,0.0063455,5.46e-06,3.715e-05,8.476149659863945e-05,2.6877976146986896e-07,0.01,0.01,0.01,0.01,0.01,0.0
5425842089f740b615212b5eeb705e98f1b4f34c6c264055174ba9ad582cc3cd,2017-07-30 08:40:20,0.0002786,0,1430.0,0.004493369999999927,429,1,0.002331002331002331,430,0.10449336999999993,0.00037457,0.00010068,0.00023689,0.00024357428904428906,8.535748184339359e-10,0.1,0.1,0.1,0.1,0.1,0.0
9b47c294bea5c1317bb341277a9755b6c14e675baeb36ec82d606c8fa9c59bb4,2017-07-30 08:48:07,0.00010873,0,467.0,0.0045856999999999565,441,1,0.0022675736961451248,442,0.05458569999999996,0.00028841,3.657e-05,0.00011674,0.00012377709750566895,4.890087580154359e-10,0.05,0.05,0.05,0.05,0.05,0.0
b807e6886baa878b9e6fdd2a7621d6136d5f4a64414014ad77d573dee7698a1e,2017-07-30 08:48:07,0.00020158,0,0.0,0.005536720000000071,531,1,0.0018832391713747645,532,0.055536720000000074,0.0002013,4.405e-05,0.00010037,0.00010458892655367232,1.672253463053401e-10,0.05,0.05,0.05,0.05,0.05,0.0
2dae6351dd0b349c54c6bbf456485ef1b51c88dd6c223a5daf5fdd2c7f71e8ea,2017-07-30 08:48:07,0.00020833,0,0.0,0.005124979999999932,490,1,0.0020408163265306124,491,0.055124979999999935,0.00020369,5.037e-05,0.00010499500000000001,0.00011249995918367347,3.2637607510037486e-10,0.05,0.05,0.05,0.05,0.05,0.0
0de2dc4d6798e61d51a3adf93cb6631ec57b068c5ae8b63601f918f4d8ea1eeb,2017-07-30 08:48:07,0.00020721,0,0.0,0.004927860000000062,471,1,0.0021231422505307855,472,0.10492786000000007,0.000377,0.00016671,0.00021,0.00022277677282377922,8.974226528549725e-10,0.1,0.1,0.1,0.1,0.1,0.0
3ea1e4ede6c5ab8ec10889f5af03d906bfa0667e4a94d6d8066c5d43d045ea81,2017-07-30 08:52:46,0.00010024,0,279.0,0.0010874500000000002,105,1,0.009523809523809525,106,0.01108745,0.00019122,9.173e-05,0.00010111,0.00010559476190476189,1.6903404399092967e-10,0.01,0.01,0.01,0.01,0.01,0.0
bb6d29648d14082215508522d5c2f1b4f045ce8fa66d9e9a53e594d94dfaec5e,2017-07-30 08:52:46,0.00020298,0,0.0,0.006054509999999992,585,1,0.0017094017094017094,586,0.056054509999999995,0.00018102,6.334e-05,9.854e-05,9.581967521367521e-05,1.2986156450989846e-10,0.05,0.05,0.05,0.05,0.05,0.0
