txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
17fa0522fa09eda2abf9580e07f6bc679d54fb6c8691d41f2315f060d60f602e,2017-06-15 17:33:49,0,0.029337,,0.0009532199999999769,1,2,2.0,3,0.84127672,0.84127672,0.84127672,0.84127672,0.84127672,0.0,0.8403235,0.8109865,0.029337,0.42016175,0.42016175,0.15274398521256252
640a52e1c12ebbba0b4a9f4d1c0887a3fb961c85327247b230ec04b8007f43d0,2017-06-16 08:19:47,0.029337,0,53158.0,0.020000000000000462,84,1,0.011904761904761904,85,5.0200000000000005,0.36529989,0.0002789,0.04022613,0.05976190476190476,0.002679576945881466,5,5,5,5.0,5.0,0.0
aa4499c89df7e135ab929e48c35e36c80a6f63cb45b67619aebbce0881d26d2e,2017-07-03 05:41:25,0,0.19920635,1459298.0,0.0010991799999999774,2,2,1.0,4,0.21693417999999998,0.17213018,0.044804,0.10846708999999999,0.10846708999999999,0.0040529890283481,0.215835,0.19920635,0.01662865,0.1079175,0.1079175,0.0083336541343225
38b88536b36f64d9b6471da2ad5f1277ce9edd4a08c1513eaa54c7f8c2d64785,2017-07-08 04:55:36,0.19920635,0,429251.0,0.0017366699999996627,19,1,0.05263157894736842,20,5.00173667,0.411861,0.0003631,0.25284985,0.2632492984210526,0.010460232662877432,5,5,5,5.0,5.0,0.0
212d32694cedecc0bb99bb763f4c1bc3209dd89aeae01629d472942de56d9947,2017-09-12 00:59:03,0,0.034714,5688207.0,0.0004999999999999935,1,2,2.0,3,0.04719887,0.04719887,0.04719887,0.04719887,0.04719887,0.0,0.04669887,0.034714,0.01198487,0.023349435,0.023349435,0.00012915333763922502
90b9dfcc9baa41c2744bf70fe3d6e34c36ca3901b7423a0cd91169f7c41b0e6a,2017-09-14 06:18:57,0.034714,0,191994.0,0.011253659999997723,205,1,0.004878048780487805,206,5.011253659999998,0.55166,1.13e-05,0.017186,0.024445139804878047,0.001675583092090208,5,5,5,5.0,5.0,0.0
cffbf55e8f550a9f0842c886063bec9a03e721e1b2a3a13236b7fade7a95b25e,2017-09-27 01:44:17,0,0.01934656,1106720.0,0.00030656000000000086,1,2,2.0,3,0.024607,0.024607,0.024607,0.024607,0.024607,0.0,0.02430044,0.01934656,0.00495388,0.01215022,0.01215022,5.178730939559999e-05
c37e8d3200070979f881e79997ff3861943e07a30d9aea0ca1dcf0e724d7c9b1,2017-09-28 09:19:03,0.01934656,0,113686.0,0.004264959999999984,68,1,0.014705882352941176,69,3.00426496,0.271862,5.501e-05,0.025546174999999997,0.04418036705882353,0.002649922296881974,3,3,3,3.0,3.0,0.0
d1dfa91d46f45afab76bc5331ad0e3e796355d3b23e394090ffffe299fd27814,2017-10-18 03:55:54,0,0.0445,1708611.0,0.0004486500000000504,1,2,2.0,3,3.62595662,3.62595662,3.62595662,3.62595662,3.62595662,0.0,3.62550797,3.58100797,0.0445,1.812753985,1.812753985,3.1267221554683804
39983936e2babf8da25fa5c437b4e7715fc76b33d9f15ad7554bfe70e139ce91,2017-10-18 20:38:10,0,0.01926182,60136.0,0.00040642000000001843,1,2,2.0,3,2.96844219,2.96844219,2.96844219,2.96844219,2.96844219,0.0,2.96803577,2.94877395,0.01926182,1.484017885,1.484017885,2.145510329954284
7b09936810db043a609b2c1961df544f9e20dbfcd612570260e038ef23940515,2017-10-18 23:16:59,0,0.01979409,9529.0,0.00040811999999999793,1,2,2.0,3,0.02267,0.02267,0.02267,0.02267,0.02267,0.0,0.02226188,0.01979409,0.00246779,0.01113094,0.01113094,7.505016792250001e-05
70c7290b3171695ef930371bca6ae504eab36c75d1ab68b5cda3c91885d3c532,2017-10-19 07:06:20,0.06429409,0,28161.0,0.016225769999999695,35,1,0.02857142857142857,36,3.0162257699999997,1.41717279,0.00110792,0.01768315,0.08617787914285714,0.07191560909126211,3,3,3,3.0,3.0,0.0
