txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
c0c784fce6f60a42e1ae37242bb586ba762c90b9b1e6a7d83da9163b09fb02fa,2019-07-26 17:18:06,0,0.00932204,,1.122000000000102e-05,2,2,1.0,4,0.0093506,0.00468224,0.00466836,0.0046753,0.0046753,4.816359999999978e-11,0.00933938,0.00932204,1.734e-05,0.00466969,0.00466969,2.16443605225e-05
22a58236c6ef90b2ec376f77fdcd90a3fe4fa298ea80691d000f6576268fcc05,2019-07-27 13:33:29,0,0.0012,72923.0,8.119999999989247e-05,1,4,4.0,5,1.89841105,1.89841105,1.89841105,1.89841105,1.89841105,0.0,1.89832985,1.75436011,0.0012,0.07138487,0.4745824625,0.549102840232156
6d16508b2ab16d94aadd6692af3799223eaaedea4d58258ad19e31edbe457419,2019-08-02 19:08:24,0.0012,0,538495.0,0.0016770000000008167,113,2,0.017699115044247787,115,3.0116384100000007,1.99995,1.144e-05,0.00524179,0.026651667345132742,0.03487327956646143,3.00996141,3,0.00996141,1.504980705,1.504980705,2.2350826924222966
9ee11afc965a1178273c54af0073ab11ff90dff22ea2dac4371efb30a8663cfe,2019-08-02 19:08:24,0.01701586,0,0.0,0.0027296000000003318,184,2,0.010869565217391304,186,3.0028244,0.51082821,1.13e-05,0.004713625000000001,0.016319697826086953,0.0021121927409301572,3.0000948,3,9.48e-05,1.5000474,1.5000474,2.24985780224676
ae7a256a4a3f52a5d2b1550a0bfbdd7a5b4173530f7733e6c49b6a1163058aa1,2019-08-06 03:03:54,0,0.00177513,287730.0,2.486000000000003e-05,1,2,2.0,3,0.00192969,0.00192969,0.00192969,0.00192969,0.00192969,0.0,0.00190483,0.00177513,0.0001297,0.000952415,0.000952415,6.768599712249999e-07
b19788e8508a8a1f49f905221bf6713a137a722b67dbcaa3be7d6a0450ba6538,2019-08-16 03:45:20,0,0.0081,866486.0,8.788000000015117e-05,1,2,2.0,3,1.43295023,1.43295023,1.43295023,1.43295023,1.43295023,0.0,1.43286235,1.42476235,0.0081,0.716431175,0.716431175,0.5017330534768806
05bc2cd4537028a109b7f83a3d4e7b71a2c8e3c02e43dce8be7a47255eab4d61,2019-08-21 19:44:03,0,0.00073427,489523.0,6.327999999999998e-05,1,2,2.0,3,0.0009103,0.0009103,0.0009103,0.0009103,0.0009103,0.0,0.00084702,0.00073427,0.00011275,0.00042351,0.00042351,9.65717776e-08
434c30df249d6d9a190da337755957ac2a62d7ffa04d7a9c88dff49e0342b2c6,2019-08-22 20:47:42,0,0.00201217,90219.0,8.892000000004785e-05,1,3,3.0,4,2.73082205,2.73082205,2.73082205,2.73082205,2.73082205,0.0,2.73073313,1.36436048,0.00201217,1.36436048,0.9102443766666667,0.41244287061330137
2d1b05c3ddbfe4395f227e030fe3fc1e1f9cf0bdf3becd1ae47af113d37b3f33,2019-09-02 23:28:00,0,0.00101064,960018.0,7.037000000000015e-05,1,2,2.0,3,0.00335009,0.00335009,0.00335009,0.00335009,0.00335009,0.0,0.00327972,0.00226908,0.00101064,0.00163986,0.00163986,3.959178084000001e-07
ecd21c69fa9f239ffb880df5a0e844e1460b16d54ce62785a698174d05912bbd,2019-09-03 12:15:54,0,0.0042,46074.0,3.074000000000132e-05,1,2,2.0,3,0.09929956,0.09929956,0.09929956,0.09929956,0.09929956,0.0,0.09926882,0.09506882,0.0042,0.04963441,0.04963441,0.0020642856120480996
6ee5e8fc14b0dae13399a3fdddb31f1d3f84a97a5a724905593bbcafe43bf7ee,2019-09-04 04:45:06,0,0.00463834,59352.0,3.588999999999936e-05,1,1,1.0,2,0.00467423,0.00467423,0.00467423,0.00467423,0.00467423,0.0,0.00463834,0.00463834,0.00463834,0.00463834,0.00463834,0.0
311160e52a14ad9c6db4b5b76b14bab9601eb3c2cdada8f042b072a25e7709e5,2019-09-10 03:21:13,0.009572609999999999,0,513367.0,0.013504000000001959,365,2,0.005479452054794521,367,3.014505250000002,0.31332878,1.014e-05,0.00277836,0.008258918493150686,0.0004806237811703404,3.00100125,3,0.00100125,1.500500625,1.500500625,2.2484983756253905
1406d4103cd8ec81f1167580b18fc99815dce0ae49b21a1dc3717ba862447f4f,2019-09-10 03:34:17,0.01289794,0,784.0,0.007610749999999555,206,2,0.009708737864077669,208,1.0175572499999996,0.0599552,1.037e-05,0.003254555,0.004939598300970874,6.177556072807817e-05,1.0099465,1,0.0099465,0.50497325,0.50497325,0.2450514832155625
84e93db4dcbb5bd3ae2823028708668714a1f9d06a7290b364ebe41aacec52c2,2019-09-21 17:39:48,0,0.00109721,1001131.0,3.3600000000000166e-05,1,2,2.0,3,0.00119504,0.00119504,0.00119504,0.00119504,0.00119504,0.0,0.00116144,0.00109721,6.423e-05,0.00058072,0.00058072,2.667619201e-07
a9f75f1af1bb8ba5335ed7e5fce11562972e1bed2d44725cea921b35ae23cb53,2019-09-24 16:05:27,0,0.00471124,253539.0,0.0033252600000002186,71,47,0.6619718309859155,118,1.8520475900000002,0.03959321,0.01953028,0.025295,0.02608517732394366,2.946063934985622e-05,1.84872233,1,0.00030837,0.00729177,0.03933451765957447,0.02087137688089482
dadafb4b3357049ca6330da58a43660fc1df47ce08c961fcbb5f5229ef348af1,2019-09-28 03:37:25,0,0.0024916,300718.0,7.105999999999953e-05,2,2,1.0,4,0.0025722899999999996,0.00150911,0.00106318,0.0012861449999999998,0.0012861449999999998,4.9713391225e-08,0.00250123,0.0024916,9.63e-06,0.001250615,0.001250615,1.540043770225e-06
f21d831732ee50894a44ed14372c54027f6d0a96d0eb501cf7f9b702c9daac4b,2019-09-29 01:37:24,0,0.00213564,79199.0,6.809999999999889e-06,1,2,2.0,3,0.00215164,0.00215164,0.00215164,0.00215164,0.00215164,0.0,0.00214483,0.00213564,9.19e-06,0.001072415,0.001072415,1.1304474006249998e-06
08561d557c702cff2b9500523513af6db9313b5ef2e1326b6d2c5ba1684cf816,2019-10-09 01:31:39,0,0.0048864,863655.0,6.7799999999996335e-06,1,2,2.0,3,0.00495857,0.00495857,0.00495857,0.00495857,0.00495857,0.0,0.00495179,0.0048864,6.539e-05,0.002475895,0.002475895,5.810534355025001e-06
66aa353193b2661150351a431936ee615ea7ae3e7a8467bf0c7d7760b3cc50fa,2019-10-19 03:54:34,0,0.0075858,872575.0,7.949999999999971e-05,2,1,0.5,3,0.0076653,0.00729784,0.00036746,0.00383265,0.00383265,1.20075417361e-05,0.0075858,0.0075858,0.0075858,0.0075858,0.0075858,0.0
251cae61ffa119bba4c75d6c1c3a8f8c34be8a1d276c7132ceb0ca180603f3f6,2019-10-19 04:36:03,0,0.00126071,2489.0,4.8789999999999945e-05,1,2,2.0,3,0.00231765,0.00231765,0.00231765,0.00231765,0.00231765,0.0,0.00226886,0.00126071,0.00100815,0.00113443,0.00113443,1.5946638399999998e-08
d9b6ba7718a968b9f5a8fd8c9ffa6e77117e2dcd6fd80d9b08a915bcda48eb85,2019-10-22 07:05:26,0.0048864,0,268163.0,0.0010545000000001803,142,2,0.014084507042253521,144,0.7100000000000002,0.02424833,1.146e-05,0.00306531,0.005,2.945818520741267e-05,0.7089455,0.7,0.0089455,0.35447275,0.35447275,0.11938908049256249
8538bef62ddd43dd1b22ad36a222c28151b1ac3c0ecd985131b845340ab8d1da,2019-10-22 07:05:26,0.0192822,0,0.0,0.0028433500000009104,385,2,0.005194805194805195,387,3.002973500000001,0.16810256,2e-05,0.00309834,0.007799931168831169,0.0002199171189424451,3.00013015,3,0.00013015,1.500065075,1.500065075,2.2498047792347555
78a0162d0ed1e683686e7f9bbe8468a97e2b595b6135e23c586df3a54593de1f,2019-10-25 13:45:23,0,0.00257569,283197.0,0.0011437500000015532,21,48,2.2857142857142856,69,6.14080976,1.99750001,0.05,0.2,0.2924195123809524,0.1658254431818544,6.139666009999998,1.50985421,0.00034103,0.020655945000000002,0.12790970854166667,0.08721931373194385
addb54e5493e71cc07bd7f480ac41b4dda31454ea460461719bd2e7f299dd502,2019-10-30 06:03:43,0,0.00158821,404300.0,3.8880000000000034e-05,1,2,2.0,3,0.00171572,0.00171572,0.00171572,0.00171572,0.00171572,0.0,0.00167684,0.00158821,8.863e-05,0.00083842,0.00083842,5.621850441e-07
fa9e5658c1c30e88d47717db71b63745472c3b62b7c6ec77b25b4bf29a04ecd9,2019-10-31 03:16:38,0.0041639,0,76375.0,0.004330299999999898,113,2,0.017699115044247787,115,2.01,0.24166158,1.014e-05,0.00267935,0.017787610619469024,0.0016299682472057596,2.0056697,2,0.0056697,1.00283485,1.00283485,0.9943383363745225
8da8165aaaeba6dc2e4fbeb0c56ce4a28e1fef596ddb7a130a33754451b50093,2019-11-05 00:14:31,0,0.005384,421073.0,7.457999999999944e-05,1,2,2.0,3,0.00566182,0.00566182,0.00566182,0.00566182,0.00566182,0.0,0.00558724,0.005384,0.00020324,0.00279362,0.00279362,6.7100685444e-06
c5b42195e855cc151fc961bc0cdcec70e09f223aeb1e6df11ab3fd6350b27d28,2019-11-05 04:49:14,0,0.0062796,16483.0,2.712000000000027e-05,1,2,2.0,3,0.010167,0.010167,0.010167,0.010167,0.010167,0.0,0.01013988,0.0062796,0.00386028,0.00506994,0.00506994,1.4632773156e-06
ce7d2952d4f27c2c28737197462b2d3fd6fa33e7671f230846e42cbdc6f91411,2019-11-07 06:50:22,0.0116636,0,180068.0,0.002856600000000764,97,2,0.020618556701030927,99,2.0132060000000007,1.027808,5.116e-05,0.00490315,0.020754701030927837,0.011046222048387294,2.0103494,2,0.0103494,1.0051747,1.0051747,0.98967737752009
da59dbe573d971c7cd9ba4c37eba34b813331f645cda12723fb57528ecf8a610,2019-11-08 18:01:41,0,0.00389383,126679.0,0.00043486999999764464,1,33,33.0,34,11.70271797,11.70271797,11.70271797,11.70271797,11.70271797,0.0,11.702283100000002,10.20135066,0.00010637,0.0032,0.35461463939393933,3.0601125606057358
c3dc20b8f8f7baacc7131419d41292f08bc25597a5f9641cc9bed327143203b2,2019-11-10 03:04:25,0,0.0011399,118964.0,1.0530000000000131e-05,1,1,1.0,2,0.00115043,0.00115043,0.00115043,0.00115043,0.00115043,0.0,0.0011399,0.0011399,0.0011399,0.0011399,0.0011399,0.0
6bb89b2a6422076bc44ddcc7674af580fca91d780e2753b071ae7457ce43c200,2019-11-11 01:17:29,0,0.00141,79984.0,4.505999999970811e-05,1,2,2.0,3,14.3241163,14.3241163,14.3241163,14.3241163,14.3241163,0.0,14.32407124,14.32266124,0.00141,7.16203562,7.16203562,51.274559269800385
3bf88f556b101369963a9d4fe08586a8445da69633757b4c7f220d860ff34252,2019-11-11 20:28:42,0,0.0028715,69073.0,0.0004065600000018321,1,36,36.0,37,26.21169871,26.21169871,26.21169871,26.21169871,26.21169871,0.0,26.21129215,25.33545293,0.0002,0.00305354,0.7280914486111112,17.307153256991423
f643aa2964dcb01f722ea4cfafe58069734573aa38f8adaec36d941ae1e01440,2019-11-11 21:22:45,0,0.0058,3243.0,0.00016380000000015826,1,7,7.0,8,6.26802926,6.26802926,6.26802926,6.26802926,6.26802926,0.0,6.2678654599999994,3.06149534,0.00312,0.05980757,0.8954093514285714,1.8772404398023446
a906a06cbba2ebbc743390e2bc4480ab37f86d1fc38a8db5fd99a435f8b68c01,2019-11-13 06:10:25,0.013705229999999999,0,118060.0,0.0024348000000005143,82,2,0.024390243902439025,84,2.0100000100000006,0.946756,1.349e-05,0.005192560000000001,0.02451219524390244,0.011021246483236706,2.00756521,2,0.00756521,1.003782605,1.003782605,0.992449098100586
7c37d4c41169ad7468266d1c349fc31b2e6b184f4e4079942cf4616c512c7015,2019-11-15 22:43:08,0.00141,0,232363.0,0.0029455999999998816,100,2,0.02,102,2.0100000099999997,0.35530834,6.075e-05,0.00703576,0.020100000099999998,0.0023904258559347626,2.00705441,2,0.00705441,1.003527205,1.003527205,0.992958031175112
0a28744152d0714ea52ae56a7f3b523f90ff8449842caf30f00e334a5b89856f,2019-11-17 02:01:42,0,0.00056847,98314.0,1.5950000000000035e-05,1,1,1.0,2,0.00058442,0.00058442,0.00058442,0.00058442,0.00058442,0.0,0.00056847,0.00056847,0.00056847,0.00056847,0.00056847,0.0
6f678642b7ad80631b4d82aff4c3f28fddbad0bea7317f72164dcc3ec6e6cc7d,2019-11-19 23:41:20,0,0.00243218,250778.0,0.00010303999999994318,2,5,2.5,7,1.02600673,0.59473762,0.43126911,0.513003365,0.513003365,0.0066804884404050215,1.02590369,0.8319,0.00243218,0.05628508,0.205180738,0.10040605395590921
2c4f95cbdf8ee377aedae204bec3c4c2b9b80f803aa5c5b693576611e480ef86,2019-11-20 03:10:37,0,0.00685328,12557.0,6.780000000000501e-06,1,1,1.0,2,0.00686006,0.00686006,0.00686006,0.00686006,0.00686006,0.0,0.00685328,0.00685328,0.00685328,0.00685328,0.00685328,0.0
fdd44e100d428f1b4aedf42810e1956181237d468cf41ebc9d8b054ff8ebfd38,2019-11-22 20:44:12,0,0.0137927,236015.0,0.00034662999999923727,1,30,30.0,31,4.04153315,4.04153315,4.04153315,4.04153315,4.04153315,0.0,4.041186520000001,3.88401006,0.00031378,0.003813365,0.13470621733333335,0.48476117172479877
45004550f6a58607baa7a0e1a45702320a25b45e870a1d2c4936d56794bdab16,2019-11-22 21:34:13,0,0.00281946,3001.0,0.0003022700000000489,1,22,22.0,23,0.50282263,0.50282263,0.50282263,0.50282263,0.50282263,0.0,0.50252036,0.22496244,0.00028251,0.00567867,0.022841834545454544,0.002745343101435443
891ff252e49ee15fdd9c886ea89099fc8446fbe4c471bcddd5275a1376aee17d,2019-11-22 21:49:28,0,0.00232,915.0,0.0004999999999997229,1,2,2.0,3,2.94872248,2.94872248,2.94872248,2.94872248,2.94872248,0.0,2.94822248,2.94590248,0.00232,1.47411124,1.47411124,2.1661694541407375
69531b762daa5122948d8fe96e94629020278cb54ef727dd37aa6d7010a7f2fd,2019-11-23 13:53:08,0,0.00624445,57820.0,4.654999999999937e-05,1,2,2.0,3,0.00693123,0.00693123,0.00693123,0.00693123,0.00693123,0.0,0.006884680000000001,0.00624445,0.00064023,0.0034423400000000003,0.0034423400000000003,7.851820452100002e-06
d0c66390b773890f85d5600a0e44f50ec3de04a52534342b17de4545a148c4ab,2019-11-29 05:10:44,0,0.00158088,487056.0,5.7300000000002314e-06,1,2,2.0,3,0.0027,0.0027,0.0027,0.0027,0.0027,0.0,0.00269427,0.00158088,0.00111339,0.001347135,0.001347135,5.463672502500002e-08
83857bf99e256292ffe350dde6bdeeb46fbb12be337a1ca809986e817d409a28,2019-11-30 07:55:18,0.00056847,0,96274.0,0.0008065999999993245,54,2,0.037037037037037035,56,2.0100000399999995,1.081599,0.0001,0.010065689999999999,0.03722222296296295,0.02098397500782605,2.00919344,2,0.00919344,1.00459672,1.00459672,0.9908276898347584
92a2c1d55778d995e71c1963273aae31a32a4c2bbf9041d5d481c612dee9fa3b,2019-11-30 07:55:18,0.01661216,0,0.0,0.0022274000000002125,150,2,0.013333333333333334,152,3.0102558200000002,0.2654896,1.887e-05,0.0049838799999999996,0.020068372133333335,0.0019031448287692113,3.00802842,3,0.00802842,1.50401421,1.50401421,2.237973483881924
f0729834c3e27be8a7ff35a76e99185740c3b9bd956119dedda0d5f3ff7d485a,2019-11-30 07:55:18,0.01943079,0,0.0,0.0013359999999997818,90,2,0.022222222222222223,92,3.0105814,0.51,1.035e-05,0.009154124999999999,0.03345090444444445,0.005224795584937119,3.0092454,3,0.0092454,1.5046227,1.5046227,2.23615326935529
