txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
71e07bd3cdbc0b1f2d8cfec89e6a41d0399fe6a428609711bf3a7934de951265,2018-06-19 18:05:32,0,0.00029998,,0.0007433799999981838,1,2136,2136.0,2137,0.5,0.5,0.5,0.5,0.5,0.0,0.4992566200000018,0.28297017,1e-05,2.9595e-05,0.00023373437265917607,3.75695525099955e-05
bb16b90430a8bf0ac1c4bdd759b343cfd56826aa7d9b173b0523c54d3c51e10a,2018-06-21 07:16:14,0,0.0001,133842.0,0.0006039799999992823,1,1733,1733.0,1734,0.28297017,0.28297017,0.28297017,0.28297017,0.28297017,0.0,0.28236619000000074,0.11361751,1e-05,2.921e-05,0.00016293490478938257,7.552480432839878e-06
72e5a28ec2358a0adfe731fae7c77ee92453c40651a62d86b143057dc7102f8b,2018-07-02 05:16:35,0.00039998,0,943221.0,0.002393499999999271,157,1,0.006369426751592357,158,2.0023934999999993,0.1613272,1e-05,0.00362446,0.012754098726114651,0.0006764152336006073,2,2,2,2.0,2.0,0.0
cca090c5e6589f8fe45b1d3231bcf70867f6f62d194aa41e43e4ad8a48afa8a3,2019-10-08 00:30:31,0,3e-05,39986036.0,0.002071849999998987,1,2452,2452.0,2453,0.25675793,0.25675793,0.25675793,0.25675793,0.25675793,0.0,0.25468608000000104,0.07138749,1e-05,2e-05,0.00010386871125611744,2.1463240057050273e-06
f513394c5b04e1b36914304f65948ed35c759163268fb8bff08d22a7c17b18f1,2019-10-22 07:05:26,3e-05,0,1233295.0,0.0016167999999994187,218,2,0.009174311926605505,220,2.0115634999999994,0.1792,2e-05,0.002835635,0.009227355504587155,0.00045641941549244314,2.0099467,2,0.0099467,1.00497335,1.00497335,0.9900780342102226
f63b5e467a96400c2c9296e3b727cbd4e6cb0f364e26b49ad38affa47e72dc8d,2021-02-26 22:17:02,0,1.114e-05,42649896.0,0.01059586000000047,2,3001,1500.5,3003,0.11415439000000001,0.10382586,0.01032853,0.057077195000000004,0.057077195000000004,0.0021854376792822252,0.10355852999999954,0.00560758,1e-05,1.426e-05,3.450800733088971e-05,1.372163982535283e-08
2cae9ced46d459932be8771763cc213d45a06135bcb0bab0aba44408515279e5,2021-03-07 12:53:09,0,1.037e-05,743767.0,0.008042160000000187,2,3000,1500.0,3002,0.14249344,0.09881902,0.04367442,0.07124672,0.07124672,0.0007602317272899998,0.1344512799999998,0.01228511,1e-05,1.885e-05,4.481709333333333e-05,5.4095115329751305e-08
9afd97b29d95d3d568bd7ab8294dec8250f7185a22f8994bd0ba3ac2966d8be9,2021-03-08 02:49:29,1.114e-05,0,50180.0,0.00011023000000000001,2,1,0.5,3,0.00109691,0.00108577,1.114e-05,0.000548455,0.000548455,2.8870740922500003e-07,0.00098668,0.00098668,0.00098668,0.00098668,0.00098668,0.0
28a389dac78db759a78ad95b15f09f3a4e810c70e4c320a6ebc295d7268cda4f,2021-03-09 07:42:14,1.037e-05,0,103965.0,0.00011230000000000002,2,1,0.5,3,0.0003637,0.00035333,1.037e-05,0.00018185,0.00018185,2.9405390400000003e-08,0.0002514,0.0002514,0.0002514,0.0002514,0.0002514,0.0
a3ad71634520c6623353a251d95d0ec2f93c10f11364f501faafba6f62ffe246,2021-03-25 19:09:09,0,1e-05,1423615.0,0.007030799999999712,2,2998,1499.0,3000,0.10892895,0.09370018,0.01522877,0.054464475,0.054464475,0.0015394405468470247,0.10189815000000028,0.02004817,1e-05,1.174e-05,3.3988709139426285e-05,1.3559216319763322e-07
af1c941dcdc43512ba97fe0d5f108ded1b34957bf445bd299c1c841704794e8d,2021-03-26 10:14:09,1e-05,0,54300.0,0.00010605,2,1,0.5,3,0.00102874,0.00101874,1e-05,0.00051437,0.00051437,2.543890969e-07,0.00092269,0.00092269,0.00092269,0.00092269,0.00092269,0.0
feb912456a68f9c9058b3940576746ff00f8e2830493d18c3725cb010c31474a,2021-04-15 06:12:06,0,1e-05,1713477.0,0.010071340000000317,2,3001,1500.5,3003,0.13140495,0.12890419,0.00250076,0.065702475,0.065702475,0.003994456778941224,0.12133360999999968,0.0035247,1e-05,1.466e-05,4.0431059646784405e-05,1.616326172363556e-08
103b821d1a4adcf4bd7e04f45ef1a31d2f87b5db20e5e710f29393bef12f4bb8,2021-05-22 02:36:31,0,1e-05,3183865.0,0.01442684999999927,1,3001,3001.0,3002,0.16277998,0.16277998,0.16277998,0.16277998,0.16277998,0.0,0.14835313000000072,0.01717204,1e-05,1.851e-05,4.9434565144951685e-05,1.3058739900974926e-07
9a7fc6b7432b13db9685f0f248e3923e34f40c320efa6e5ead528694b74bc69e,2021-10-02 02:09:32,0,1e-05,11489581.0,0.0010075899999966997,1,3001,3001.0,3002,0.24837979,0.24837979,0.24837979,0.24837979,0.24837979,0.0,0.2473722000000033,0.1416463,1e-05,1.61e-05,8.242992335888037e-05,6.68627120765994e-06
