txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
33d8d15caff201faa0a36900476122d26537a3c6ec386cbb086b1fe58829febc,2016-06-12 22:28:29,0,0.00019413,,0.0007000000000000062,1,188,188.0,189,0.05936881,0.05936881,0.05936881,0.05936881,0.05936881,0.0,0.058668809999999995,0.0199938,9.851e-05,0.000115175,0.0003120681382978723,2.132156431261959e-06
eecc0bdb4569a708ad8855242ce126b395417d14ad554f6c8faab754a8c3fe2f,2016-06-13 03:32:04,0.00019413,0,18215.0,0.000449999999999999,16,2,0.125,18,0.013551669999999998,0.01000044,4.638e-05,0.00020079,0.0008469793749999999,5.6128702801683595e-06,0.01310167,0.01000007,0.0031016,0.006550835,0.006550835,1.1897222085225e-05
d2dbe2b9cad141cdea07cd5cf91c576f6854b49f6c874a5200b63deccb251e3c,2016-06-22 20:03:24,0,0.0001097,837080.0,0.0011999999999999789,1,340,340.0,341,0.21574279,0.21574279,0.21574279,0.21574279,0.21574279,0.0,0.21454279,0.14351126,9.853e-05,0.000109975,0.0006310082058823529,6.0462063409863526e-05
f9721bb1eefbdf398485011f326395cf1695e06747636f8487ce95b66240d9e5,2016-06-22 23:07:13,0.0001097,0,11029.0,0.00015000000000000083,6,2,0.3333333333333333,8,0.02521595,0.01852295,0.0001097,0.00023917,0.004202658333333334,4.550489350728056e-05,0.02506595,0.01506024,0.01000571,0.012532975,0.012532975,6.387068380225004e-06
17210e324648f40817e1bd707df02496fffaa9fc0f06bbf6b8c2f92c729e7485,2016-07-06 22:01:57,0,9.981e-05,1205684.0,0.0010000000000000148,1,269,269.0,270,0.11715883,0.11715883,0.11715883,0.11715883,0.11715883,0.0,0.11615882999999999,0.06123468,9.85e-05,0.00011137,0.00043181721189591073,1.3889275135568805e-05
8843ea7b5609da9fe3dce664489021a7c860d70da81dde2c79a9da78cbfb1330,2016-07-07 00:19:21,9.981e-05,0,8244.0,0.00030000000000002247,8,2,0.25,10,0.36030377,0.229095,9.981e-05,0.010358474999999999,0.04503797125,0.005552873751399911,0.36000377,0.35,0.01000377,0.180001885,0.180001885,0.02889935910355322
8fa0c4faf7c5a6f584075036563e4881eee72281a706d04720c82a5ae5072493,2016-08-07 08:18:55,0,0.00012635,2707174.0,0.0015999999999999348,1,443,443.0,444,0.5923442,0.5923442,0.5923442,0.5923442,0.5923442,0.0,0.5907442,0.49423916,9.852e-05,0.00011237,0.0013335083521444694,0.000549838286393197
70df42c52e88b6d593ce3e2becdc01313c724b16bd34dd04822a11ac1fcbf541,2016-08-07 13:49:48,0.00012635,0,19853.0,0.00015000000000000083,4,2,0.5,6,0.03045491,0.01030019,0.00012635,0.010014185,0.0076137275,1.870057968651875e-05,0.03030491,0.02030405,0.01000086,0.015152455,0.015152455,2.6538931044025e-05
daf05bfcfa5fa9a733948b44e6037d54a931d10ddbcb807611a60baccd57e39b,2016-08-09 00:41:04,0,0.00016704,125476.0,0.0010999999999999899,1,291,291.0,292,0.131,0.131,0.131,0.131,0.131,0.0,0.12990000000000002,0.05444859,0.00015001,0.00016825,0.00044639175257731967,1.0252189366571156e-05
bc0b877b86869d89c13338cc4756f3ebe512324511781d4ecffb73e6fdb999a3,2016-08-09 01:43:48,0.00016704,0,3764.0,0.0002999999999999947,5,2,0.4,7,0.03891955,0.03108173,0.0001,0.00077496,0.00778391,0.00014198986003759995,0.03861955,0.02861953,0.01000002,0.019309775,0.019309775,8.6671538160025e-05
3f0f2d2c496ad8fbfe1fae4005d986c5afcbdc6cc0168c4742cbe5f51b691b35,2016-08-22 22:56:15,0,0.00015942,1199547.0,0.0010999999999999344,1,291,291.0,292,0.22811134,0.22811134,0.22811134,0.22811134,0.22811134,0.0,0.22701134000000006,0.0809049,0.00015,0.00017266,0.0007801076975945017,4.120389474990913e-05
769c4a8a3c8a15660e6444b85ed654ff7d1e47488fcebbda1fba03222bc59af4,2016-08-23 22:31:14,0.00015942,0,84899.0,0.0029999999999930083,134,1,0.007462686567164179,135,18.002999999999993,3.109176,1.202e-05,0.013005815,0.13435074626865673,0.11516428520136106,18,18,18,18.0,18.0,0.0
5a35e33c33546968faf6ab1cab88643824e45b7d3e74a8738bb2ac08c92c5031,2016-09-08 19:55:00,0,0.00015126,1373026.0,0.0015000000000000013,1,424,424.0,425,0.0945,0.0945,0.0945,0.0945,0.0945,0.0,0.093,0.02170276,9.85e-05,0.00010831,0.00021933962264150943,1.1709056076607069e-06
2d61711cff0f73840e5713e9ca7945eb79dc7421326700cde6eb6a2034bda67e,2016-09-10 01:24:03,0.00015126,0,106143.0,0.00140000000000029,87,2,0.022988505747126436,89,13.011400010000001,2.72226492,0.0001,0.019528,0.14955632195402302,0.19123911657113432,13.01000001,13,0.01000001,6.505000005,6.505000005,42.18502493505
b6a22e0febfc7fdd80521bdccb755795d5bfe6aaffb095a9640deee8bb11dda4,2017-03-06 14:33:00,0,0.00012225,15340137.0,0.0005999999999999964,2,152,76.0,154,0.02904649,0.02524153,0.00380496,0.014523245,0.014523245,0.00011488163334122502,0.028446490000000005,0.00305599,0.00010793,0.000132595,0.0001871479605263158,6.128039020307741e-08
982ec180fed41076d165c3fe8987ffb101c1b0974e91d73b58966c00358c44f9,2017-03-06 16:10:48,0,0.00015237,5868.0,0.018438569999999987,1,291,291.0,292,0.42902981,0.42902981,0.42902981,0.42902981,0.42902981,0.0,0.41059124,0.34675099,0.00015003,0.00016122,0.0014109664604810995,0.0004112594692795231
94e2943dfc87e9c2bbe42c65ece614092eb66718104357780ca36aa180fade08,2017-03-29 00:24:03,0.00027462,0,1930395.0,0.0009999999999870113,523,1,0.0019120458891013384,524,10.000999999999987,1.95669505,3.145e-05,0.00095666,0.01912237093690249,0.010714384384725148,10,10,10,10.0,10.0,0.0
dd9558ef58d22697d703904ac9cc2b7cf574d8a02fcd4610ccc6bbeae2d03385,2017-05-30 08:26:03,0,0.00100045,5385720.0,0.0005649999999999978,1,2,2.0,3,0.01568223,0.01568223,0.01568223,0.01568223,0.01568223,0.0,0.01511723,0.01411678,0.00100045,0.007558615,0.007558615,4.3009528167225004e-05
40d872eb325eb58bf9f5c26cdfe6f37c1ba90c6aaacb6aa8aeba356b386530db,2017-07-01 08:45:03,0.00100045,0,2765940.0,0.004999999999999449,403,1,0.0024813895781637717,404,1.0049999999999994,0.115,5.231e-05,0.00103079,0.002493796526054591,5.0249693838713e-05,1,1,1,1.0,1.0,0.0
d787ddff37acc086b964494044fc1be5100295f07bc682b5e19a9aeda77e29c4,2017-11-21 22:16:57,0,0.00019648,12403914.0,0.00014385000000000786,1,36,36.0,37,0.03820286,0.03820286,0.03820286,0.03820286,0.03820286,0.0,0.03805900999999999,0.02845164,0.00015012,0.000218695,0.0010571947222222224,2.146262377529714e-05
18e50e82af38ec207a83a8c81575bd75d8092d8e4055605c702a2f77a5d4d32b,2017-12-02 08:43:17,0.00019648,0,901580.0,0.005000000000000782,279,1,0.0035842293906810036,280,1.5507000000000009,0.15050816,1.358e-05,0.00170463,0.0055580645161290325,0.0002603419095116921,1.5457,1.5457,1.5457,1.5457,1.5457,0.0
04b2ccc05ef294a746bea9cfeaaf39382091c533ec34175486887884c2ebf34f,2018-02-13 10:20:06,0,0.00020231,6313009.0,0.00013039999999994722,1,34,34.0,35,0.08770343,0.08770343,0.08770343,0.08770343,0.08770343,0.0,0.08757303000000005,0.07814777,0.0002,0.00021565,0.0025756773529411773,0.00017308715571840181
900c76bda514fbaeca1a788c49148994972343a2d9af76a29fdbcf80d6bf9d45,2018-03-23 23:16:43,0.00020231,0,3329797.0,0.008229980000000303,505,2,0.0039603960396039604,507,1.0089262800000003,0.0646744,2.012e-05,0.00110526,0.001997873821782178,1.5279289367629553e-05,1.0006963,1,0.0006963,0.50034815,0.50034815,0.2496519712084225
