txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
493bdafb03507b57973eebfdee405a9258c88f198d4a4b0f5ae5a9da59925d9a,2017-06-14 00:59:31,0,0.00402,,0.0023936000000000235,1,12,12.0,13,0.09193,0.09193,0.09193,0.09193,0.09193,0.0,0.08953639999999997,0.04272902,0.00034933,0.003405,0.007461366666666666,0.00013087341987958893
0f295d48bb8571a04615f2c75f6f4257532a5b66b7ea0f9b08e8e8dbc49e5ee2,2017-06-14 18:55:38,0.00012727,0,64567.0,0.01877400000000007,95,1,0.010526315789473684,96,2.018774,0.25377104,0.00012727,0.0118895,0.02125025263157895,0.0011304331037756674,2,2,2,2.0,2.0,0.0
5351c3d5dbf0cafd032d4440f80dc739ab1eb5e3ed5a0a4c7cfbc5e5cb08c44b,2017-06-15 02:54:27,0,0.00344,28729.0,0.012965400000000044,10,21,2.1,31,0.19980329,0.11992982,0.00135982,0.003326375,0.019980328999999998,0.0013239954610687488,0.18683788999999995,0.03627,0.00168,0.00355,0.00889704238095238,9.724310111541813e-05
b78c8d3c65cf6d16eaa717b8e1e6f918cfdc7425071ec6f7b9ce719d88896f1f,2017-06-16 08:55:00,0,0.00020154,108033.0,0.0040999999999995485,18,1042,57.888888888888886,1060,0.24033804000000003,0.08400655,0.00101746,0.004987435,0.013352113333333335,0.0004344945919471,0.23623804000000048,0.03052344,0.00015,0.00015557,0.00022671596928982725,8.990361114891277e-07
b7c73d077f448814c1215e655267149d24ef8ab8a63537b51e85a0774b23124e,2017-06-16 12:37:54,0,0.00020154,13374.0,0.0021000000000000185,16,454,28.375,470,0.09191357000000001,0.01379179,0.00010022,0.0058578,0.005744598125,1.7941098664752736e-05,0.08981357,0.00439619,0.00015,0.000153675,0.0001978272466960352,5.21711477882343e-08
432dc3d4df2bdc40f0213050bc2f2f0d155cb51d6cf4302d7fff769746a0213c,2017-06-16 15:02:21,0.01873223,0,8667.0,0.019999999999997797,526,1,0.0019011406844106464,527,2.019999999999998,0.025,0.00065895,0.0033894800000000003,0.003840304182509506,3.557378842943723e-06,2,2,2,2.0,2.0,0.0
42e4dcb360e82cb95e07cfd3c94679457f397e0a10fc894073b04702e79e6c76,2017-06-16 19:55:34,0,0.00344,17593.0,0.008496560000000042,6,47,7.833333333333333,53,0.41721826000000006,0.28230396,0.00765222,0.03036604,0.06953637666666668,0.009218256044027524,0.4087217,0.07984606,0.00020048,0.00344,0.008696206382978723,0.0002271365872347337
b7d1cbbe62c404acf8c82d3c84321945ddfee53108eae770e528d80924a89912,2017-06-18 03:07:21,0,0.00045,112307.0,0.004575620000007774,1,198,198.0,199,9.90330899,9.90330899,9.90330899,9.90330899,9.90330899,0.0,9.898733369999992,9.25508594,0.0003,0.0005,0.04999360287878786,0.4301866467512417
27ec58dc25e7589b73c3da22b4d505c59a06e3031a8d236fd5f2ea5f038e9b06,2017-06-18 20:40:00,0,0.000329,63159.0,0.004335299999997488,1,156,156.0,157,6.59996368,6.59996368,6.59996368,6.59996368,6.59996368,0.0,6.595628380000003,2.91146392,0.0003,0.0005918200000000001,0.04227966910256411,0.0809232631886975
a3250570860f6a58afb81a3d35b6cd1f4ca0cc143901a08ffe453ac594f15663,2017-06-19 03:53:18,0,0.0003275,25998.0,0.0054536400000007035,1,250,250.0,251,8.25776079,8.25776079,8.25776079,8.25776079,8.25776079,0.0,8.25230715,7.55898932,0.0003,0.00045084,0.0330092286,0.2276698638063142
