txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
9dfb974a3211d40bc2829b96771c14548160c700c2bcd0734b6125b55df741b2,2023-03-15 16:02:49,0,0.01106729,,5.1040000002444685e-05,1,3,3.0,4,41.84449354,41.84449354,41.84449354,41.84449354,41.84449354,0.0,41.8444425,39.90799928,0.01106729,1.92537593,13.9481475,337.56771514798106
475257edeb6b89ebb66f2db79acaf96781520880c7416fe6e67aeb6fcf0f65c0,2023-03-18 13:16:14,0.01106729,0,249205.0,0.0001816000000000005,1,2,2.0,3,0.01106729,0.01106729,0.01106729,0.01106729,0.01106729,0.0,0.01088569,0.01064622,0.00023947,0.005442845,0.005442845,2.7075111390624996e-05
f5944d2df574ea40a88e5e9fc45cb4b91121c68fd4db992cc0e0842e4c61d3b1,2023-03-20 14:18:58,0,0.01542382,176564.0,0.00016619999999997748,1,20,20.0,21,0.16371035,0.16371035,0.16371035,0.16371035,0.16371035,0.0,0.16354415000000003,0.03879399,0.0001816,0.002075755,0.0081772075,0.00012596579799267876
9f1871f7f237eaa89ff7db7f4207e0ffd2eef51a597916b861f52cb092b521e8,2023-03-20 23:56:12,0.01542382,0,34634.0,0.0001816000000000005,1,2,2.0,3,0.01542382,0.01542382,0.01542382,0.01542382,0.01542382,0.0,0.015242219999999999,0.01415993,0.00108229,0.0076211099999999995,0.0076211099999999995,4.275616699239999e-05
795db5a080246888890827ceade6c399c4a2c69bfe41e4f83e30b2320ac92781,2023-03-21 13:58:30,0,0.00211521,50538.0,0.00022419999999997997,1,29,29.0,30,0.160929,0.160929,0.160929,0.160929,0.160929,0.0,0.1607048,0.04139618,0.00010925,0.00222962,0.005541544827586207,7.982721501272839e-05
9362842df4159fdb2f3dbf38a8381634eea838c632171f61fcec38c296cc048f,2023-03-21 18:15:18,0.00211521,0,15408.0,0.00018160000000000008,1,2,2.0,3,0.00211521,0.00211521,0.00211521,0.00211521,0.00211521,0.0,0.00193361,0.0011165,0.00081711,0.000966805,0.000966805,2.240859302500001e-08
9df45aee449e3d586a1ec9b87700cf3624a7c642b9d1cef3de89cbd97376fe45,2023-04-17 03:08:36,0,0.00204216,2278398.0,2.9099999999997184e-05,1,2,2.0,3,0.03338034,0.03338034,0.03338034,0.03338034,0.03338034,0.0,0.033351240000000004,0.03130908,0.00204216,0.016675620000000002,0.016675620000000002,0.00021413815157160005
d0abd6a59aeba1f29265cfa21fa1b62f008dae50be89ed77246818044b0a2c0c,2023-04-17 21:18:56,0.00204216,0,65420.0,0.00018159999999999986,1,2,2.0,3,0.00204216,0.00204216,0.00204216,0.00204216,0.00204216,0.0,0.00186056,0.00100682,0.00085374,0.00093028,0.00093028,5.858371600000008e-09
4448b068994457a4ac75e6ba4d265e00c97561d62a3b42906c76dfcd814aa5ea,2023-06-04 14:31:18,0,0.00217609,4122742.0,0.00010472000000000259,2,2,1.0,4,0.02067986,0.01079231,0.00988755,0.01033993,0.01033993,2.0464766439999966e-07,0.02057514,0.01839905,0.00217609,0.01028757,0.01028757,6.57961077904e-05
283d3dc1e86381e6f8199c8f959293a82d10739824254e9bf919f6262a86ac54,2023-06-06 03:47:52,0.00217609,0,134194.0,0.0002807000000000009,2,1,0.5,3,0.006185380000000001,0.00400929,0.00217609,0.0030926900000000004,0.0030926900000000004,8.401555600000005e-07,0.00590468,0.00590468,0.00590468,0.00590468,0.00590468,0.0
