txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
92c83953c54a75204b635e154653d93f2144727b2860bf633b9b50c5ad5790e2,2014-05-10 21:29:08,0,0.05343,,9.999999999976694e-05,1,2,2.0,3,2.97843,2.97843,2.97843,2.97843,2.97843,0.0,2.97833,2.9249,0.05343,1.489165,1.489165,2.0613349902249998
ccb1e1ec336aa1fc8fd29bd9085f290b437cd8eaf89e3e35f1d8706b382d7ee9,2014-05-12 22:00:28,0.05343,0,174680.0,9.999999999999593e-05,1,2,2.0,3,0.05343,0.05343,0.05343,0.05343,0.05343,0.0,0.05333,0.03,0.02333,0.026665,0.026665,1.1122224999999997e-05
ef0293967c9e5330cc28d09538f998c89d9893c339dc1a532baba86721845847,2014-10-08 16:50:38,0,0.08393,12855010.0,9.999999999987796e-05,1,2,2.0,3,0.58017,0.58017,0.58017,0.58017,0.58017,0.0,0.5800700000000001,0.49614,0.08393,0.29003500000000004,0.29003500000000004,0.042479271025
c979b4dace8874adb1d6f899137311f971d4d205b94f707d07c00031dd9ab083,2014-10-08 17:53:12,0.08393,0,3754.0,0.00010000000000000286,1,2,2.0,3,0.08393,0.08393,0.08393,0.08393,0.08393,0.0,0.08383,0.05994,0.02389,0.041915,0.041915,0.000324900625
c850dba1d59ef298db640fcbe4957833154f8da5a09060b662ea0dc63422c8ca,2014-11-29 14:03:04,0,0.07509,4478992.0,9.999999999998899e-05,1,2,2.0,3,0.1219,0.1219,0.1219,0.1219,0.1219,0.0,0.1218,0.07509,0.04671,0.0609,0.0609,0.00020135610000000004
fb0d94e69efea98b4c6c827969045af77d993d0a00958298997ba5d7834781a0,2014-11-29 16:58:38,0.07509,0,10534.0,9.999999999998899e-05,3,2,0.6666666666666666,5,0.18013434,0.07509,0.05,0.05504434,0.06004478,0.00011742021676346668,0.18003434000000001,0.17,0.01003434,0.09001717000000001,0.09001717000000001,0.006397253094808901
6a53877ea4517f4d2077738d2dea1964fdbc55a4b325f9c7c1d1ab901f60ab31,2015-01-26 03:23:32,0,0.19812,4962294.0,9.999999999998899e-05,2,2,1.0,4,0.21423019999999998,0.19573,0.0185002,0.10711509999999999,0.10711509999999999,0.007852600502009999,0.2141302,0.19812,0.0160102,0.1070651,0.1070651,0.00829099481401
fb2fafa0eed8a98e5db79b7dbad7be9584fad9b736784efc88756d4fba4d45ba,2015-01-26 05:08:00,0.19812,0,6268.0,0.00040000000000001146,26,2,0.07692307692307693,28,0.36240001,0.19812,7.106e-05,0.000139675,0.013938461923076923,0.002017917759156192,0.36200001,0.352,0.01000001,0.181000005,0.181000005,0.02924099829000002
d597e9bded618a97ef2b007d80308b6fb8d907bba0356de51fce94838d4678e5,2015-09-23 03:53:20,0,0.18996,20731520.0,0.0001000000000000445,1,2,2.0,3,0.29014,0.29014,0.29014,0.29014,0.29014,0.0,0.29003999999999996,0.18996,0.10008,0.14501999999999998,0.14501999999999998,0.0020196035999999994
752aa9ec659aba5707c564a06aba1283ea4a8a5962e512ac967671f4a20cf006,2015-09-23 05:25:05,0.18996,0,5505.0,9.999999999998899e-05,4,2,0.5,6,0.65845599,0.42744668,0.01900461,0.10600235,0.1646139975,0.02781288428766112,0.65835599,0.648,0.01035599,0.329177995,0.329177995,0.10164747087222004
1093fbb0975315c6fa3cb04329cdbae3e5f0690f20fadf38839cf79a924711bd,2015-10-15 02:01:44,0,0.07941771,1888599.0,8.734000000032438e-05,1,2,2.0,3,2.54596318,2.54596318,2.54596318,2.54596318,2.54596318,0.0,2.54587584,2.46645813,0.07941771,1.27293792,1.27293792,1.424490491678444
e6b8ba6271bb133373e7b2a6925776a8aae297172e9b3bd6bcf241229cf401a8,2015-10-15 03:29:09,0.07941771,0,5245.0,9.999999999998899e-05,5,2,0.4,7,0.81046339,0.64332,0.00053551,0.07933163,0.162092678,0.05903063293918685,0.81036339,0.8,0.01036339,0.405181695,0.405181695,0.15588149396307305
b8af1b3b4e19fe61da9293e66c8b36a80007eefb71f3aabf5c5702a24ab2b5cb,2015-10-22 09:58:48,0,0.08524844,628179.0,8.776999999993151e-05,1,2,2.0,3,2.14575124,2.14575124,2.14575124,2.14575124,2.14575124,0.0,2.14566347,2.06041503,0.08524844,1.072831735,1.072831735,0.9753207645630572
f97c37ead6a4e668c014803013175ad3a5e8da87fce996fd1009cbc2fd63552f,2015-10-22 11:46:00,0.08524844,0,6432.0,0.00010000000000000286,1,2,2.0,3,0.08524844,0.08524844,0.08524844,0.08524844,0.08524844,0.0,0.08514843999999999,0.08134844,0.0038,0.042574219999999996,0.042574219999999996,0.0015034401366084
ce819674ee761e5cf7b497349a36c5d03b84b65b184a59afaf7ecf4d7b621bee,2015-10-26 23:48:58,0,0.20351276,388978.0,8.024999999989291e-05,1,2,2.0,3,4.02334093,4.02334093,4.02334093,4.02334093,4.02334093,0.0,4.02326068,3.81974792,0.20351276,2.01163034,2.01163034,3.269289183105057
da2b10183b0a2935ff44264b486852d90bd0bf822b87eeceaa5cc6c948b351b1,2015-10-27 01:28:40,0.20351276,0,5982.0,0.000200000000000089,11,2,0.18181818181818182,13,0.8074278300000001,0.22237417,0.00011836,0.05,0.07340253000000001,0.006370380782871527,0.80722783,0.7972028,0.01002503,0.403613915,0.403613915,0.15491221039554323
5f678dbf7c7dbbb0a8fcfb67f69bb2cbeda77619f9e0d5868c43fe08b889be1a,2015-11-06 16:12:30,0,0.03661689,917030.0,0.0004159999999999997,3,2,0.6666666666666666,5,0.055626949999999994,0.02565596,0.01109934,0.01887165,0.018542316666666666,3.5370094526288884e-05,0.055210949999999995,0.03661689,0.01859406,0.027605474999999997,0.027605474999999997,8.1205600302225e-05
6effac2b65f1ac2cac5657f136f322f6236765e348249c86eb53ba35544120af,2015-11-07 22:39:14,0.03661689,0,109604.0,9.999999999999593e-05,4,2,0.5,6,0.061525199999999995,0.03661689,6.269e-05,0.01242281,0.015381299999999999,0.00017856724364029997,0.0614252,0.05141388,0.01001132,0.0307126,0.0307126,0.00042854299363840004
8c5796c11d1f193a3eda69ce4fc5ac0078813d2dd0d5e29046d447c675146055,2015-11-20 11:26:01,0,0.12109333,1082807.0,0.00018080000000075813,1,2,2.0,3,10.42536506,10.42536506,10.42536506,10.42536506,10.42536506,0.0,10.42518426,10.30409093,0.12109333,5.21259213,5.21259213,25.923360030401437
d0782f3653c3281d6ab1da2a72601e0f18611e3522604e7f2ff0670c95f63391,2015-11-20 12:12:04,0.12109333,0,2763.0,0.00010000000000000286,1,2,2.0,3,0.12109333,0.12109333,0.12109333,0.12109333,0.12109333,0.0,0.12099333,0.08934776,0.03164557,0.060496665,0.060496665,0.000832385682699025
b921baacfbc668741e65c5800ee175c543ca4e80afc520e118c85e5a3c7a8263,2015-12-19 13:37:20,0,0.10386744,2510716.0,0.00020339999999974268,1,2,2.0,3,2.10373998,2.10373998,2.10373998,2.10373998,2.10373998,0.0,2.10353658,1.99966914,0.10386744,1.05176829,1.05176829,0.8985160214307224
38884a419ca0e1e85b751cd298c4026fbcdc33e2a8d0f702d391a0a338eaeb20,2015-12-19 14:34:46,0.10386744,0,3446.0,0.00010000000000000286,2,2,1.0,4,0.11386744,0.10386744,0.01,0.05693372,0.05693372,0.0022027740730384,0.11376744,0.10322581,0.01054163,0.05688372,0.05688372,0.0021475893055681004
