txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
c288b0b30f29c7176295d8b1eb1a3212a13a9e9f3fd9cf2309e135f53bd6ee66,2021-01-03 12:13:21,0,0.00521183,,0.03369299999997111,1,1681,1681.0,1682,55.4,55.4,55.4,55.4,55.4,0.0,55.36630700000003,3.64884476,0.00500018,0.00694981,0.03293653004164188,0.030780370512328858
2ef9cf9aa2116fcb580f3b7832d98694bed4b6b835278f4e12eae723066aa6c9,2021-01-03 20:57:34,0.00521183,0,31453.0,0.00032880000000001103,8,2,0.25,10,0.04090162000000001,0.02092,0.00188,0.0026559,0.0051127025,3.6643337751518744e-05,0.040572819999999996,0.02929525,0.01127757,0.020286409999999998,0.020286409999999998,8.115919814559997e-05
1d368da911f3c9944c7ec8ea5cfd193cc361ec341300cfec2b1bb5afe62f33ff,2021-01-10 11:49:29,0,0.00503842,571915.0,0.036773100000054626,2,1686,843.0,1688,57.12087822,57.1,0.02087822,28.56043911,28.56043911,814.5065357940176,57.08410511999995,3.68038602,0.00389308,0.00692417,0.033857713594306046,0.03008255775006138
50ef08803036c43ab81ce4bff1e42208ef876bad12411e7c3c4dd29761e9beb1,2021-01-10 13:49:57,0.00503842,0,7228.0,0.0004212000000000035,10,3,0.3,13,0.05789689,0.01644,0.0012854,0.00533008,0.005789688999999999,1.8913407764809003e-05,0.057475689999999996,0.02466413,0.00814743,0.02466413,0.019158563333333333,6.062252864222221e-05
f697f3189d319c56c38adb32d9b11a94a04ce2d5ab2b4fbc2d0f21f7d7e86e0e,2021-01-16 11:37:38,0,0.00506269,510461.0,0.04740960000000882,2,1702,851.0,1704,56.72374938,56.7,0.02374938,28.36187469,28.36187469,803.0493460852626,56.67633977999999,3.80171335,0.00417599,0.00691513,0.033299847109283194,0.029071913425640104
f1d9d7edd59fc8c7ebd7c3795db6d2cef7be5fdc35b2402d42e42e93a41ee394,2021-01-16 17:19:07,0.00506269,0,20489.0,0.0005699199999999946,8,2,0.25,10,0.05510461,0.01358277,0.00319874,0.0057709,0.00688807625,9.639959263973438e-06,0.054534690000000004,0.05361421,0.00092048,0.027267345000000002,0.027267345000000002,0.000694157295328225
cf5aff40f0342cb0f885ff62e1982fe1d7223ad30dc064fc259bbc3caba0c704,2021-01-31 10:32:09,0,0.00531908,1271582.0,0.05936705999999958,1,1746,1746.0,1747,53,53,53,53.0,53.0,0.0,52.94063294,3.38520198,0.00500212,0.00671476,0.030321095612829325,0.0234152137530268
6c04ab5bf94cdecc48fe79f2da8e6f2d1341cb320acbf2867e8603c98d144a3d,2021-02-01 15:16:34,0.00531908,0,103465.0,0.00024160000000003623,8,2,0.25,10,0.15663897000000002,0.12287041,0.00305399,0.00456614,0.019579871250000002,0.0015266656435948109,0.15639736999999998,0.08912951,0.06726786,0.07819868499999999,0.07819868499999999,0.00011948293518062496
f8d991b00b6542951c20f162a3abe6a500da57ed219d6dfccf9f46ea29bc8a69,2021-02-14 10:52:45,0,0.00515031,1107371.0,0.04964778000016423,1,1635,1635.0,1636,50.15,50.15,50.15,50.15,50.15,0.0,50.100352219999834,3.25477242,0.00500084,0.00684389,0.030642417259938836,0.02371975164493672
dd31ae2012e1a699da7f1defd4857eeb35d65569271211abf54b24975a386bbe,2021-02-15 03:16:40,0.00515031,0,59035.0,0.001772700000000016,16,2,0.125,18,0.27732518,0.12319612,0.0050789,0.00668271,0.01733282375,0.0008548523667322985,0.27555248,0.20553126,0.07002122,0.13777624,0.13777624,0.0045907427352004
