txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
d31d60f5c331924cf8cf66dcb7a84ffe582d89939385609e886d3ab3746ebf03,2020-07-30 02:34:59,0,0.02005875,,0.000338999999999999,1,2,2.0,3,0.02554724,0.02554724,0.02554724,0.02554724,0.02554724,0.0,0.02520824,0.02005875,0.00514949,0.01260412,0.01260412,5.5571508436900004e-05
3dec650c8836b119bc6f92d928853c7b66670add9e55be8303551967e55260fa,2020-07-30 08:55:00,0.02005875,0,22801.0,0.0016588399999999393,12,2,0.16666666666666666,14,0.33547324999999995,0.07589879,0.0017774,0.015029375000000001,0.027956104166666662,0.0007739946390739744,0.33381441,0.33047627,0.00333814,0.166907205,0.166907205,0.02675483902497423
b1f748893a555a051a4d07e9de1cfef8b187fa3171dad27370b19af8a79c32fe,2020-08-01 20:25:33,0,0.0121721,214233.0,0.0007227299999998937,1,10,10.0,11,0.50264575,0.50264575,0.50264575,0.50264575,0.50264575,0.0,0.5019230200000001,0.11079342,0.0040594,0.040102200000000005,0.050192302,0.001550252843552436
95848d42ed7bc2b0d038183e5c19da2dd41072200b444da7bb17e832c10d84ac,2020-08-01 22:33:47,0.0121721,0,7694.0,0.0015752200000000993,10,2,0.2,12,0.3868560200000001,0.10958406,0.00858847,0.017607225,0.038685602,0.001316796073995156,0.3852808,0.38142799,0.00385281,0.1926404,0.1926404,0.0356407541380081
1382191e2d405c5b8c094be28ea3229d91948050e864caf4e41cbebd84b668bb,2020-08-10 17:37:05,0,0.01089861,759798.0,0.001124380000000258,1,30,30.0,31,1.41335739,1.41335739,1.41335739,1.41335739,1.41335739,0.0,1.4122330099999998,0.81194925,0.00016695,0.0035555450000000002,0.047074433666666665,0.02358012535532341
1dd92f0b1f3b0ea74d86ea011b74ca8d9f1acd51cc97dfa865812c9a0487188f,2020-08-10 20:16:52,0.01089861,0,9587.0,0.0006468500000000044,5,2,0.4,7,0.03060828,0.011781,0.00068264,0.00543089,0.0061216560000000005,2.0690719360343998e-05,0.029961429999999997,0.02966182,0.00029961,0.014980714999999999,0.014980714999999999,0.00021553484402102497
31f38ff5a8f2250bd46b7be98c5577cd5b545b1b79715175e56f493d06b7e145,2020-08-10 23:30:40,0,0.007569,11628.0,0.00259740000000086,2,72,36.0,74,10.12819217,10,0.12819217,5.064096085,5.064096085,24.363147458112326,10.12559477,8.23479695,0.00031747,0.00714471,0.14063326069444446,0.9255088133689325
e4265dfe823b9e9c329c0cf7d6d005c9f2b899167b5f7c2898fff6672c1e6d13,2020-08-11 02:27:03,0.007569,0,10583.0,0.001586919999999964,12,2,0.16666666666666666,14,0.21239686999999996,0.11992862,0.000799,0.00963671,0.017699739166666662,0.0009856826317788244,0.21080995,0.20870185,0.0021081,0.105404975,0.105404975,0.010670244384765624
6915d09c6f216b52496cdbbc12e69ae33dfa3afee257d7d58951e0263cabcb2a,2020-08-19 23:20:33,0,0.00446812,766410.0,0.002895839999999872,1,57,57.0,58,0.85420997,0.85420997,0.85420997,0.85420997,0.85420997,0.0,0.8513141300000001,0.25,0.0001,0.0036323,0.014935335614035088,0.0012906324345291788
8a56d026b2a897628b429330a073ff7f07def7010f7dfec301771403582fee8d,2020-08-20 00:16:24,0,0.00499501,3351.0,0.0050653099999999895,4,85,21.25,89,3.5715644099999997,1.69982313,0.19079968,0.8404708000000001,0.8928911024999999,0.2882810310135093,3.5664990999999997,0.7,0.00014624,0.0064392,0.04195881294117647,0.011592313570452378
