txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
d80eb9cd3731994dedb3710f404aaad36668bc17111ccdd12b66427ab8ce42b5,2017-07-29 09:15:02,0.00216726,0,,0.018182720000000208,384,1,0.0026041666666666665,385,1.0181827200000002,0.01753702,0.0001006,0.002325875,0.0026515175,2.3152060701734377e-06,1,1,1,1.0,1.0,0.0
0dfe0c85032e6a5bf90a9e68865a2bf1cab602c20748abd0073c094813f45620,2017-07-29 09:15:02,0.024624570000000002,0,0.0,0.024507840000000503,514,1,0.0019455252918287938,515,1.0245078400000005,0.01028944,1.6e-05,0.00188652,0.0019932059143968873,3.2297351859147907e-07,1,1,1,1.0,1.0,0.0
17fc9300366aea8d03fb03c6145d2888b40bd5ef76a5d03068b7c08a033652a2,2017-07-29 11:22:48,0.00323456,0,7666.0,0.009785699999999786,409,1,0.0024449877750611247,410,0.5097856999999998,0.04384362,0.00030874,0.00108727,0.0012464198044009778,4.475962927938838e-06,0.5,0.5,0.5,0.5,0.5,0.0
9c7ee89187790e5c6143d8f372aea3e70e33c61b4fe940da1d119e7dba456ff0,2017-07-29 11:22:48,0.0066443399999999994,0,0.0,0.007018649999999904,267,1,0.003745318352059925,268,0.5070186499999999,0.06,0.00014308,0.00155384,0.001898946254681648,1.3089453981308068e-05,0.5,0.5,0.5,0.5,0.5,0.0
bfe5786fc6e7795d933ba3fe07c3f14d3218364f70d5ac02f4251d4864057119,2017-07-29 11:22:48,0.0020562899999999997,0,0.0,0.010405649999999933,390,1,0.002564102564102564,391,0.5104056499999999,0.0803528,0.000309,0.001,0.001308732435897436,1.6823952908873815e-05,0.5,0.5,0.5,0.5,0.5,0.0
46a0289ea22fab93654107f5a961b73d513dc782b323b54913728fa430854c66,2017-07-29 11:40:27,0.00918751,0,1059.0,0.00907694999999975,410,1,0.0024390243902439024,411,0.5090769499999998,0.00204897,0.00018984,0.0012,0.0012416510975609754,2.8341839532697798e-08,0.5,0.5,0.5,0.5,0.5,0.0
5a11ea4f2f9c58b546337e3f2d070cd7290ce292d71e89162f56291a3cd84ccb,2017-07-29 11:40:27,0.00469563,0,0.0,0.010161150000000063,458,1,0.002183406113537118,459,0.31016115000000005,0.00114992,0.0001044,0.00063812,0.0006772077510917031,1.1593649461099615e-08,0.3,0.3,0.3,0.3,0.3,0.0
f3b7abc4530791af43d621368b73a72a247ad33f718b7c0750ea47f0b95eb604,2017-07-29 11:40:27,0.00422699,0,0.0,0.008900849999999794,398,1,0.002512562814070352,399,0.3089008499999998,0.00141,0.00013865,0.000737865,0.0007761327889447236,1.8689303875387613e-08,0.3,0.3,0.3,0.3,0.3,0.0
ca52ecfd7490dc7428567558b1903729910480e65359f2243093afbb65cdf143,2017-07-29 11:40:27,0.0032678800000000004,0,0.0,0.013986299999999341,619,1,0.0016155088852988692,620,0.5139862999999993,0.00622203,0.00016437,0.00077791,0.0008303494345718902,7.381048123118271e-08,0.5,0.5,0.5,0.5,0.5,0.0
ca74538c36140af6ea58462504de320eafa751be5a748a8634d02aad907e66fd,2017-07-29 11:40:27,0.004258369999999999,0,0.0,0.008057549999999969,353,1,0.0028328611898017,354,0.50805755,0.00536714,0.00070196,0.00134698,0.0014392565155807364,1.2132047770202312e-07,0.5,0.5,0.5,0.5,0.5,0.0
