txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
079bfce97b32529db8dc2401859145b884c0c406abaa6695a97091e7065aeaaa,2019-10-08 22:40:44,0,3.065e-05,,2.0409999999859707e-05,1,52,52.0,53,1.07789537,1.07789537,1.07789537,1.07789537,1.07789537,0.0,1.0778749600000002,1.07589711,3e-05,3.0364999999999998e-05,0.020728364615384617,0.02183100205156294
4bdcfe9bbd1c78d47bb0bf3c499e83b637b80541f120670b4780cfd60dbcfadd,2019-10-15 07:50:41,3.065e-05,0,551397.0,0.00018546999999990987,8,2,0.25,10,3.00031552,1.0358654,7.5e-06,0.302735925,0.37503944,0.13550126956274905,3.00013005,3,0.00013005,1.500065025,1.500065025,2.2498049292282505
fa7fba1720a7b4d871e2659f16ceb8e7004e5a72442ef6f8b46e16bd0e41e6a8,2019-10-15 18:10:04,0,0.000102,37163.0,5.8779999999980515e-05,2,168,84.0,170,0.03501078,0.023,0.01201078,0.01750539,0.01750539,3.0190739052099996e-05,0.03495200000000002,0.01081998,0.0001,0.00010211500000000001,0.00020804761904761904,6.981421696109977e-07
d35199ccaad5ac3ff1438f084828e0475f5a03f090b162e9c6d9c60ddfd59820,2019-10-29 02:51:38,0.000102,0,1154494.0,0.005657279999999654,172,2,0.011627906976744186,174,1.0061327199999996,0.2318952,5.46e-06,0.000559075,0.005849608837209302,0.0003958546313002277,1.00047544,1,0.00047544,0.50023772,0.50023772,0.2497623365107984
4d77e997dd5b09298bb4474cb99be727f48b098aeea7c961864d97fc2cd54f3b,2019-11-01 15:04:41,0,0.00035067,303183.0,0.0007348600000000038,1,71,71.0,72,0.06146866,0.06146866,0.06146866,0.06146866,0.06146866,0.0,0.0607338,0.02936075,0.00035,0.00036244,0.0008554056338028168,1.1634042631996431e-05
e7b205875c3becd6c68a8cbfbc6b023b2810bb4b0b0e18338f6ada391f7b4c7b,2019-11-03 07:17:08,0.00035067,0,144747.0,0.0033330000000013627,120,2,0.016666666666666666,122,3.0100000000000016,0.30557297,1e-05,0.00175237,0.025083333333333332,0.004442511111684327,3.006667,3,0.006667,1.5033335,1.5033335,2.24001061222225
e7865eaff614f6cb4bac3978c453ae19c63d1374f47801cc5dacc3736ca47174,2019-11-06 21:35:17,0,0.00149235,310689.0,9.379999999992172e-05,1,5,5.0,6,1.26589934,1.26589934,1.26589934,1.26589934,1.26589934,0.0,1.2658055400000001,1.25453159,0.00071963,0.00255867,0.253161108,0.25068967239358164
44c1e71a62dd6020f6fc7cc46a07b93554daf4dda6999ec7bf96e7a49720225b,2019-11-07 06:39:34,0.00149235,0,32657.0,0.002862579999999504,90,2,0.022222222222222223,92,2.0099999999999993,0.57504561,1.647e-05,0.004176320000000001,0.022333333333333337,0.0051066843852638705,2.00713742,2,0.00713742,1.00356871,1.00356871,0.9928753156910641
a677a86dae4714af35b7143d9bb535244df36ac688f76cf315f7c9cf12259af8,2019-11-09 11:10:10,0,4.29e-05,189036.0,2.0740000000074588e-05,1,53,53.0,54,0.88265055,0.88265055,0.88265055,0.88265055,0.88265055,0.0,0.88262981,0.88024353,3e-05,3.032e-05,0.016653392641509432,0.014342077642896663
98723f9305c68a3b428b63a55404d2a9cfbcdbd36a20c81b697db2aa28975c88,2019-11-09 11:29:40,0,0.0001,1170.0,5.7060000000018485e-05,2,163,81.5,165,0.035,0.019,0.016,0.0175,0.0175,2.2499999999999988e-06,0.034942939999999985,0.0124678,0.0001,0.00010127,0.0002143738650306748,9.883369501329142e-07
47bd216e9d7a631457d47eba0126fbd5d0592865ac22320449031cc671fb6732,2019-11-13 06:53:30,4.29e-05,0,329030.0,0.0026791499999991863,130,2,0.015384615384615385,132,2.002790299999999,0.39484828,5.71e-06,0.0038687699999999997,0.015406079230769231,0.0019015373902876867,2.00011115,2,0.00011115,1.000055575,1.000055575,0.9998888530885807
212442815b7d51c40fbb45c9fa2b6b8cc926a9a51faacd9e3df6452264040455,2019-11-14 02:28:05,0.0001,0,70475.0,0.0016751999999993217,61,2,0.03278688524590164,63,3.011406209999999,0.926624,1.001e-05,0.00263097,0.04936731491803279,0.03072597703304504,3.00973101,3,0.00973101,1.504865505,1.504865505,2.235427158138905
4b9a06167983508d0fd507351d6b6c485112774d0b2877e65cb1b1a094f2d4ce,2019-11-23 18:12:14,0,0.00232438,834249.0,8.190000000007913e-05,1,4,4.0,5,0.90839813,0.90839813,0.90839813,0.90839813,0.90839813,0.0,0.90831623,0.88760565,0.00121418,0.0097482,0.2270790575,0.14547148793447662
d836a9dcde2505b74352ec74dbea7b8c67916a0c5c0e5229c24cbe9d038f0098,2019-11-24 20:59:02,0.00232438,0,96408.0,0.0009103500000007259,93,2,0.021505376344086023,95,3.0108888600000006,1.03277296,1e-05,0.00597067,0.03237514903225806,0.012656888006328953,3.00997851,3,0.00997851,1.504989255,1.504989255,2.235057127665455
