txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
b5b5382c475bca63d0e591e2999d31fdff7801c20b91b63361f345c41d5e08fe,2017-04-12 21:26:48,0,0.05687601,,0.0009049999999999336,1,6,6.0,7,2.44212139,2.44212139,2.44212139,2.44212139,2.44212139,0.0,2.44121639,1.63267289,0.01920271,0.049380455000000004,0.40686939833333335,0.35138452278479143
0c977e04662aa054783575fdc256dd305cbddbeb53700b2456a7fa779381b5ea,2017-04-12 21:26:48,0,0.0096668,0.0,0.0007349999999997081,1,4,4.0,5,5.03440808,5.03440808,5.03440808,5.03440808,5.03440808,0.0,5.033673080000001,4.97034042,0.0096668,0.02683293,1.2584182700000002,4.592951076123845
8d097bf306b1df66a17f6b66ab6200974314edba988be6d804e996fdebb649f3,2017-04-12 21:36:20,0,0.01503044,572.0,0.0006500000000002615,1,3,3.0,4,9.90160137,9.90160137,9.90160137,9.90160137,9.90160137,0.0,9.90095137,9.82886271,0.01503044,0.05705822,3.300317123333333,21.311248127641026
3e0a6f13bff20151fc6ccb04975e6622551cdeeb4d0de6099e0335117aede3ba,2017-04-12 21:36:20,0,0.15756126,0.0,0.0007349999999997081,1,4,4.0,5,4.47520019,4.47520019,4.47520019,4.47520019,4.47520019,0.0,4.47446519,3.65891475,0.1216547,0.34694787,1.1186162975,2.1774318886897195
66f0ed3c0a8b4cdecdbd26f1a18c46a5431f5a5b392110b8229872b753c0328d,2017-04-12 21:36:20,0,0.09828119,0.0,0.0005649999999999267,1,2,2.0,3,1.10332945,1.10332945,1.10332945,1.10332945,1.10332945,0.0,1.10276445,1.00448326,0.09828119,0.551382225,0.551382225,0.2053005479180712
9c111ff95400a4827129c216e5a48eb708d1e0481a057b99387a7a8b0e210f02,2017-04-12 21:36:20,0,0.04509134,0.0,0.0005649999999999267,1,2,2.0,3,7.82104801,7.82104801,7.82104801,7.82104801,7.82104801,0.0,7.82048301,7.77539167,0.04509134,3.910241505,3.910241505,14.93938579799953
9711a424e732f4bf4fb9d943018c800b197708d53eaba4a62da93afde4635df7,2017-04-12 21:36:20,0,0.0081901,0.0,0.0006500000000002615,1,3,3.0,4,5.29542426,5.29542426,5.29542426,5.29542426,5.29542426,0.0,5.29477426,5.26376087,0.0081901,0.02282329,1.7649247533333332,6.1209627740204695
a5e4724dabe77fb103bbe317656ac12c5b251629666ea42027d39ac55c91b5d9,2017-04-12 21:36:20,0,0.04095049,0.0,0.0006500000000002615,1,3,3.0,4,6.84626426,6.84626426,6.84626426,6.84626426,6.84626426,0.0,6.84561426,6.78184048,0.02282329,0.04095049,2.28187142,10.124915536375282
cbe63797c5d0ab25864906d10c178d2802b3302c8954c07e3d918bee62da7648,2017-04-12 21:36:20,0,0.01803653,0.0,0.0006500000000002615,1,3,3.0,4,5.27165383,5.27165383,5.27165383,5.27165383,5.27165383,0.0,5.27100383,5.23014401,0.01803653,0.02282329,1.7570012766666665,6.031364041898286
69ad83509c67c461a5750836a8cda42ed493fd2cede3f41ed997c00f6c4a1447,2017-04-12 21:36:20,0,0.10504084,0.0,0.0006500000000002615,1,3,3.0,4,4.97034042,4.97034042,4.97034042,4.97034042,4.97034042,0.0,4.96969042,4.37707615,0.10504084,0.48757343,1.6565634733333334,3.7249831423540325
a017ab2d62fbc11beb0d9d74e96cede2c48fd16bf32edaf201d72a942e9d5331,2017-04-12 21:36:20,0,0.05252042,0.0,0.0006499999999984851,1,3,3.0,4,8.74381841,8.74381841,8.74381841,8.74381841,8.74381841,0.0,8.743168410000001,8.67923635,0.01141164,0.05252042,2.91438947,16.61701143022172
d5d9bde23bee38bbd1b5f2b10b253971f6a0024ae83e4d2ffc8fd3e8129b1026,2017-04-12 21:36:20,0,0.04914059,0.0,0.0005650000000001487,1,2,2.0,3,1.63267289,1.63267289,1.63267289,1.63267289,1.63267289,0.0,1.63210789,1.5829673,0.04914059,0.816053945,0.816053945,0.588156094077356
5fca353e3d172f7781e96bac68c3f10a23c3b9e0d5f8ca4289ba62dd4f70440e,2017-04-12 21:48:40,0,0.02062107,740.0,0.0006499999999984851,1,3,3.0,4,10.431146,10.431146,10.431146,10.431146,10.431146,0.0,10.430496000000002,10.35627638,0.02062107,0.05359855,3.4768320000000004,23.663558741121324
d90228b4b5042d8ca87278f58501f217159e6c760f6f4cadda39b1f34f0a8f48,2017-04-12 21:48:40,0,0.03006089,0.0,0.0005650000000001487,1,2,2.0,3,1.5829673,1.5829673,1.5829673,1.5829673,1.5829673,0.0,1.5824022999999998,1.55234141,0.03006089,0.7912011499999999,0.7912011499999999,0.5793344953928675
6a446332cef2bf3eeb6bb0545b893d15f04d9fab54f15c5303d7025265f6f15f,2017-04-12 21:48:40,0,0.00515527,0.0,0.0007349999999988199,1,4,4.0,5,9.82886271,9.82886271,9.82886271,9.82886271,9.82886271,0.0,9.82812771,9.76533094,0.00515527,0.02882075,2.4570319275,17.80400198501797
5031cc9045606a9cbaf334ae83e7e7763ec3a417c8417ea8836bcf0580299162,2017-04-12 21:48:40,0,0.02616596,0.0,0.0006500000000002615,1,3,3.0,4,7.77539167,7.77539167,7.77539167,7.77539167,7.77539167,0.0,7.77474167,7.72713629,0.02143942,0.02616596,2.5915805566666665,13.186970068449831
3c8548efc8eef77072c52bc0f27ed9963411e49a377b14af78c92195aa909a64,2017-04-12 21:48:40,0,0.05233193,0.0,0.0005649999999990385,1,2,2.0,3,6.78184048,6.78184048,6.78184048,6.78184048,6.78184048,0.0,6.781275480000001,6.72894355,0.05233193,3.3906377400000003,3.3906377400000003,11.144285681079758
32c1a382c13786d4fc5da55f4e47e6ab48b4b7725c40e83c8d1d810e3551dc65,2017-04-12 21:48:40,0,0.01611021,0.0,0.0005649999999999267,1,2,2.0,3,4.37707615,4.37707615,4.37707615,4.37707615,4.37707615,0.0,4.37651115,4.36040094,0.01611021,2.188255575,2.188255575,4.718215486690983
6b5b196d5252adfd51b1b45206fbb737926d4f1d6b91570ef046532496bc46f7,2017-04-12 21:48:40,0,0.00966613,0.0,0.0006499999999993733,1,3,3.0,4,5.26376087,5.26376087,5.26376087,5.26376087,5.26376087,0.0,5.26311087,5.22485885,0.00966613,0.02858589,1.75437029,6.022205082098513
929bab9aecd3d2955cee077afe5e1279d68840e5569570d133aef672924f6c15,2017-04-12 21:48:40,0,0.05233192,0.0,0.0006499999999993733,1,3,3.0,4,5.23014401,5.23014401,5.23014401,5.23014401,5.23014401,0.0,5.229494010000001,5.15429337,0.02286872,0.05233192,1.7431646700000003,5.818044184007552
c524903cd329174cd2610832c08978ce5bd599e385d9d7a2166c71ba8c180116,2017-04-12 21:48:40,0,0.01288817,0.0,0.0005649999999999267,1,2,2.0,3,8.67923635,8.67923635,8.67923635,8.67923635,8.67923635,0.0,8.67867135,8.66578318,0.01288817,4.339335675,4.339335675,18.718148013520725
cd5aedaea8bb506eda791e609d002ce05e0ed7b67d54d319696c2c8052cb141a,2017-04-12 21:48:40,0,0.03939031,0.0,0.0005649999999999267,1,2,2.0,3,1.00448326,1.00448326,1.00448326,1.00448326,1.00448326,0.0,1.00391826,0.96452795,0.03939031,0.50195913,0.50195913,0.2139699132361924
648d056c5462eda5fbe47e80f9213c3d53872ae1fcbbee942286489a14f8296b,2017-04-12 21:48:40,0,0.11817094,0.0,0.0005649999999999267,1,2,2.0,3,3.65891475,3.65891475,3.65891475,3.65891475,3.65891475,0.0,3.65834975,3.54017881,0.11817094,1.829174875,1.829174875,2.9275344655854845
1030940e6c454a51e08da60485c8f26baf4ec4a3816c96ae37b9668c375eb4e3,2017-04-12 21:48:40,0,0.00523319,0.0,0.0005649999999999267,1,2,2.0,3,9.95429073,9.95429073,9.95429073,9.95429073,9.95429073,0.0,9.95372573,9.94849254,0.00523319,4.976862865,4.976862865,24.717101625340604
598981829955f51c94aa758be856a31fe91f2806df70bb7dee2b968497d7f907,2017-04-12 22:26:36,0,0.0188617,2276.0,0.0005649999999999267,1,2,2.0,3,13.76049911,13.76049911,13.76049911,13.76049911,13.76049911,0.0,13.75993411,13.74107241,0.0188617,6.879967055,6.879967055,47.07476669240967
db121fe7c168f07e107d00fe777008f9ce152d22e8efee33169cafd1a353d61f,2017-04-12 22:26:36,0,0.00978141,0.0,0.0005649999999999267,1,2,2.0,3,15.14063015,15.14063015,15.14063015,15.14063015,15.14063015,0.0,15.14006515,15.13028374,0.00978141,7.570032575,7.570032575,57.15739767788385
bde8383b3bd561667679c7476990a78180278be7cbfcdab7657df98607379e2d,2017-04-12 22:26:36,0,0.0117377,0.0,0.000565000000001703,1,2,2.0,3,14.21336495,14.21336495,14.21336495,14.21336495,14.21336495,0.0,14.212799949999999,14.20106225,0.0117377,7.1063999749999995,7.1063999749999995,50.33423279630817
5178088f5d999c18fc353f17ea41d94c3f289e5effca73381fecdaae57cea335,2017-04-12 22:26:36,0,0.03485282,0.0,0.0005649999999999267,1,2,2.0,3,1.55234141,1.55234141,1.55234141,1.55234141,1.55234141,0.0,1.55177641,1.51692359,0.03485282,0.775888205,0.775888205,0.5491334418220982
986ea0d79acb830d43197f513c32712a50f25fc5090004d2e4f1b3ad981f0239,2017-04-12 22:26:36,0,0.00628724,0.0,0.0005649999999999267,1,2,2.0,3,13.71961048,13.71961048,13.71961048,13.71961048,13.71961048,0.0,13.71904548,13.71275824,0.00628724,6.85952274,6.85952274,46.96683681846025
6532302f89e74866e4de432e69f80f34a585cbffc270a5106fa61a99068d0848,2017-04-12 22:26:36,0,0.04068032,0.0,0.0005649999999999267,1,2,2.0,3,15.13165482,15.13165482,15.13165482,15.13165482,15.13165482,0.0,15.13108982,15.0904095,0.04068032,7.56554491,7.56554491,56.623587097835866
93cb49b00c406417775ce406c0e511d96513cad3ae7ae2b264dea583bf76d357,2017-04-12 22:26:36,0,0.00726131,0.0,0.0005649999999999267,1,2,2.0,3,15.18543724,15.18543724,15.18543724,15.18543724,15.18543724,0.0,15.18487224,15.17761093,0.00726131,7.59243612,7.59243612,57.53487689825854
6b8456ac6db062241b640a20f588e6fcec42662aceed86e9afadc24dc2638060,2017-04-12 22:26:36,0,0.05334565,0.0,0.0005649999999999267,1,2,2.0,3,14.08,14.08,14.08,14.08,14.08,0.0,14.079435,14.02608935,0.05334565,7.0397175,7.0397175,48.80939162647242
6a726f88a85d5a1c63be6fb9e9a3b8ebe06de49326a4eec98f277d677c9fc061,2017-04-12 22:26:36,0,0.00628723,0.0,0.0005649999999999267,1,2,2.0,3,13.64214503,13.64214503,13.64214503,13.64214503,13.64214503,0.0,13.64158003,13.6352928,0.00628723,6.820790015,6.820790015,46.43744820677276
b975da70df4a64a028e1d66c3b62db8e9cdbccf4e248daf8c3c7f126058b668e,2017-04-12 22:26:36,0,0.01161761,0.0,0.0008200000000000429,1,5,5.0,6,5.22485885,5.22485885,5.22485885,5.22485885,5.22485885,0.0,5.22403885,5.1423488,0.01090833,0.0273478,1.04480777,4.1975297879743865
256fe7639d852ad5103485ae0135bea2281dbbd5fbecb7d81e40255c0d8ed399,2017-04-12 22:26:36,0,0.02347541,0.0,0.0005649999999999267,1,2,2.0,3,14.712847,14.712847,14.712847,14.712847,14.712847,0.0,14.712282,14.68880659,0.02347541,7.356141,7.356141,53.76798465477005
94c771d661be815afaeadce893771caf3dd73b9aa6baf93e8da6de1ec39ef9a6,2017-04-12 22:26:36,0,0.00406208,0.0,0.0005649999999999267,1,2,2.0,3,3.54017881,3.54017881,3.54017881,3.54017881,3.54017881,0.0,3.53961381,3.53555173,0.00406208,1.769806905,1.769806905,3.1178547870142808
f9192c70828eb593679df89788c0fd13622553a44456b62c57df310e6430b9ab,2017-04-12 22:26:36,0,0.00978142,0.0,0.000565000000001703,1,2,2.0,3,14.95268706,14.95268706,14.95268706,14.95268706,14.95268706,0.0,14.952122059999999,14.94234064,0.00978142,7.476061029999999,7.476061029999999,55.74533121470174
56bda1d6e1fdc356a372188005ad4ff41fd1dd299340542dba67ba965167c0b2,2017-04-12 22:26:36,0,0.01778188,0.0,0.0005649999999999267,1,2,2.0,3,13.74898101,13.74898101,13.74898101,13.74898101,13.74898101,0.0,13.74841601,13.73063413,0.01778188,6.874208005,6.874208005,47.010579207582516
faf0a1dc46846c304e41d767052187a083f2a97b664f4b1b5d904bff2eddf5d3,2017-04-12 22:26:36,0,0.00726131,0.0,0.0005649999999999267,1,2,2.0,3,14.76479044,14.76479044,14.76479044,14.76479044,14.76479044,0.0,14.76422544,14.75696413,0.00726131,7.38211272,7.38211272,54.38843331957899
5e3b6d7f5f9c57506f16b978626a68171b2a5f7e6551c2ee2df2e117db4da7e0,2017-04-12 22:26:36,0,0.0050776,0.0,0.0008200000000009311,1,5,5.0,6,5.15429337,5.15429337,5.15429337,5.15429337,5.15429337,0.0,5.1534733699999995,5.05885876,0.0050776,0.0273478,1.0306946739999998,4.056742295731164
67282f4ae9c2c4e943e58ccb57e8277dde4b607bc5eafebc1d8c4f97b63cf0ec,2017-04-12 22:26:36,0,0.00338507,0.0,0.0006500000000002615,1,3,3.0,4,9.76533094,9.76533094,9.76533094,9.76533094,9.76533094,0.0,9.76468094,9.73850603,0.00338507,0.02278984,3.2548936466666665,21.018677526173132
c6a499727882d1d5cbeafbb1094922a25a71a364976e54c26a7ff286071238ee,2017-04-12 22:26:36,0,0.04741836,0.0,0.0006500000000002615,1,3,3.0,4,10.98476703,10.98476703,10.98476703,10.98476703,10.98476703,0.0,10.98411703,10.891119,0.04557967,0.04741836,3.6613723433333334,26.134618923254905
e1a1c35446997073377b2a1dc908117d6c90c250cede6fc3daf8928e1ea6f0ee,2017-04-12 22:26:36,0,0.0116176,0.0,0.0005649999999999267,1,2,2.0,3,4.36040094,4.36040094,4.36040094,4.36040094,4.36040094,0.0,4.35983594,4.34821834,0.0116176,2.17991797,2.17991797,4.7015264945421364
