txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
bc0f0d82b6b5085f59999ac8f27503079d312c9b16383b8da2dfa945198a0844,2017-08-03 17:58:07,0,0.00978093,,0.0003390000000003113,1,2,2.0,3,3.83618511,3.83618511,3.83618511,3.83618511,3.83618511,0.0,3.83584611,3.82606518,0.00978093,1.917923055,1.917923055,3.641006369199516
e8551e91ac217a7956129f44aefc7ae0286d2d5a0ceadd68187bcadcd273e513,2017-08-04 07:12:05,0,0.00019,47638.0,0.009568199999999916,2,941,470.5,943,0.77394582,0.5,0.27394582,0.38697291,0.38697291,0.012775123073868098,0.7643776200000001,0.2311336,9e-05,0.00018285,0.0008123035281615302,6.302674022784578e-05
f20a80f41812bb14c77a296c6bee1cbd5702b39ff612f299e57d8badb0790eb1,2017-08-04 16:24:06,0.00019,0,33121.0,0.004698200000000874,302,2,0.006622516556291391,304,5.014698210000001,0.75534501,5.383e-05,0.005750755,0.0166049609602649,0.00236538772961531,5.01000001,5,0.01000001,2.505000005,2.505000005,6.225024975049999
ce779f93be96c3f59f6d8ad4eee537df37c5b77de3e1fa7d528c2ebcc2530755,2017-08-05 04:02:54,0,0.0010395,41928.0,0.016256799999999738,49,476,9.714285714285714,525,0.60774034,0.4,8.113e-05,0.00184831,0.012402864081632653,0.003172039811345775,0.5914835400000003,0.0499999,0.0003969,0.000675955,0.0012426124789915967,7.495629272397216e-06
3129fd98067e380e002e8026fe7e44fd7d39dea8adcfacb4ce0514486b61c5bc,2017-08-08 23:29:22,0.00978093,0,329188.0,0.09999999999999964,454,1,0.0022026431718061676,455,5.1,0.58740653,5.127e-05,0.00289,0.011233480176211452,0.0012941766348071998,5,5,5,5.0,5.0,0.0
faac74bee7e1222a2dcb7cabfe4b105e71612415661c300b83661d01ee4238d3,2017-08-11 09:24:01,0,0.000916,208479.0,0.011844000000000132,6,481,80.16666666666667,487,0.3023075,0.25537817,4.3e-05,0.01263856,0.05038458333333334,0.00846310938795169,0.2904634999999999,0.01590536,0.00039946,0.00053,0.0006038742203742203,5.053525281125419e-07
ca29113fd69d732d579605b22fb6f309dedfb6b69372d9bd648f8c75b8c10f24,2017-08-12 08:28:32,0.0010395,0,83071.0,0.02804498999999927,206,1,0.0048543689320388345,207,2.0280449899999993,0.0719,5.43e-05,0.0031386599999999997,0.009844878592233009,0.00027635990607178786,2,2,2,2.0,2.0,0.0
7ba2b59fc6cade645f571696f709905355213c690de8be730226ed59d38a5f57,2017-08-12 08:49:49,0.000916,0,1277.0,0.05643686999999975,465,1,0.002150537634408602,466,5.05643687,0.30229,5.142e-05,0.00397602,0.010874057784946236,0.0005845988835478255,5,5,5,5.0,5.0,0.0
9b8791815a1008f0ba9b173032e2291458fd0f3268e8b0323b21360b5df0f9bf,2017-08-13 05:22:56,0,0.0005,73987.0,0.008396999999999988,1,830,830.0,831,1.07765412,1.07765412,1.07765412,1.07765412,1.07765412,0.0,1.06925712,0.70438102,9e-05,0.0002,0.0012882615903614459,0.000597131909111859
1ee8384a1d4425cbd5be3412043915ae8a761c207a16b5b29e8c6e06b2b03d39,2017-08-18 07:16:36,0.0005,0,438820.0,0.011665939999998542,350,2,0.005714285714285714,352,2.0216659499999987,0.25,5.156e-05,0.002395745,0.005776188428571429,0.0002791909743110938,2.01000001,2,0.01000001,1.005000005,1.005000005,0.9900249900500001
