txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
3638b119c3b5902303cd527d9aa65fc93457839cda9d510ad418bdbc04ad5410,2017-04-17 03:50:02,0,0.00018,,0.006055860000000024,1,127,127.0,128,1.6093967,1.6093967,1.6093967,1.6093967,1.6093967,0.0,1.60334084,1.37856396,7.845e-05,0.00031852,0.012624731023622047,0.014851663649006983
a9c0c7fc89dadb6e6e348a133a77dca50f2625ce01984dae17529d005f4ca135,2017-04-17 04:01:42,0,0.000108,700.0,0.005671460000001405,1,119,119.0,120,1.17238788,1.17238788,1.17238788,1.17238788,1.17238788,0.0,1.1667164199999986,1.02369888,5.913e-05,0.000495,0.009804339663865543,0.008718122506388173
3ce78a3b92b475980ae816518a2359565b0d84b27f6ac1ba8dfd708008d9edf5,2017-04-17 04:34:22,0,0.00018,1960.0,0.006009780000002518,1,126,126.0,127,1.2847104,1.2847104,1.2847104,1.2847104,1.2847104,0.0,1.2787006199999975,1.05572374,7.845e-05,0.00031691,0.010148417619047615,0.008789976394883225
4d25ba4796749663485ba9ec903f56340ec59f31c217fae0252bdb3c2dca3a63,2017-04-17 04:40:01,0,9e-05,339.0,0.003212499999999896,1,65,65.0,66,0.16639459,0.16639459,0.16639459,0.16639459,0.16639459,0.0,0.1631820900000001,0.06221734,9e-05,0.0003843,0.0025104936923076924,6.401850341056789e-05
24794974bc9edda2b2a169cdbf6cb035d30c5fa2054eb3a820b44cef09158306,2017-04-17 05:29:15,0,0.000108,2954.0,0.006479729999999878,5,119,23.8,124,0.15954508,0.1,0.00604348,0.02,0.031909016,0.001185578068525824,0.15306535000000013,0.01881,5.913e-05,0.000495,0.0012862634453781514,7.060012952646113e-06
470bd4979f7f4af0707913f6f6ca0fd585530fff8aac9f46791e81b233fd735a,2017-04-17 05:46:56,0,0.00018,1061.0,0.005919679999999872,1,124,124.0,125,0.64961158,0.64961158,0.64961158,0.64961158,0.64961158,0.0,0.6436919000000001,0.42166354,7.845e-05,0.00031515000000000004,0.0051910637096774185,0.0014549951242357393
bd2b2cceeae408d58b144cb0251ade8174f0e98c82ada07fc6caa6155b0134f6,2017-04-17 05:46:56,0,9e-05,0.0,0.0032125200000014953,1,65,65.0,66,1.22204525,1.22204525,1.22204525,1.22204525,1.22204525,0.0,1.2188327299999986,1.11786798,9e-05,0.0003843,0.01875127276923077,0.018884215825563665
5d3453594d0c14c077aec3f36006b719524f8e899ab977444941fa1f17d6dd8f,2017-04-17 06:02:16,0,0.000108,920.0,0.005671090000001211,1,119,119.0,120,1.41696459,1.41696459,1.41696459,1.41696459,1.41696459,0.0,1.4112934999999989,1.26827596,5.913e-05,0.000495,0.011859609243697474,0.01338422341761159
38c2be412ed5dc5f38f5599386208ee69dffaacd0c6b1080e9b63c5d926f4dcd,2017-04-17 06:44:37,0,0.00018,2541.0,0.005734339999999838,1,120,120.0,121,0.97294543,0.97294543,0.97294543,0.97294543,0.97294543,0.0,0.9672110900000002,0.75246373,7.845e-05,0.000315,0.008060092416666668,0.004702852185957428
5e9a4932335e18f3087af5eee8b5c19eec1fb2a87791630bd89146de59b807b7,2017-04-17 06:44:37,0,9e-05,0.0,0.0030734299999992665,1,62,62.0,63,3.01605774,3.01605774,3.01605774,3.01605774,3.01605774,0.0,3.0129843100000007,2.91477806,9e-05,0.00041715000000000003,0.04859652112903227,0.13468072987287755
