txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
50dd77b07d9f0cf6beaa2861ed0d9b76913256a474f256be2241ba395d9499f5,2018-09-06 05:32:36,1e-05,0,,0.0021979999999997,148,2,0.013513513513513514,150,1.0099999999999998,0.4471269,1e-05,0.0020996499999999998,0.006824324324324324,0.0013409028374453094,1.007802,1,0.007802,0.503901,0.503901,0.246114217801
9236b1309b416de9d28c2f810c2627cff6096860e548e6daea809606ff39d042,2018-09-15 13:10:05,0,1e-05,805049.0,0.0008965200000025098,1,2568,2568.0,2569,0.53871045,0.53871045,0.53871045,0.53871045,0.53871045,0.0,0.5378139299999974,0.31534941,1e-05,2.0035e-05,0.00020942910046728975,3.888046526326995e-05
0b5609a974cc5ec54040566eccb17e329a3288199dd08dd83865ffd0d95c7a5d,2018-09-15 23:30:57,1e-05,0,37252.0,0.0983892000000004,243,2,0.00823045267489712,245,1.1000000000000003,0.242,1e-05,0.00147609,0.004526748971193416,0.00029501154560259107,1.0016108,1,0.0016108,0.5008054,0.5008054,0.24919524866915999
9ca024379367957a916caa296dda951166ebf9c95ec0fcacb3427b99ee1b9ac3,2018-09-27 19:54:09,0,1e-05,1023792.0,0.0009227399999982566,1,2637,2637.0,2638,0.33190847,0.33190847,0.33190847,0.33190847,0.33190847,0.0,0.33098573000000175,0.15491007,1e-05,2e-05,0.0001255160144103148,9.11894379290535e-06
b2fb908bb91bc3fa1b7696b377318ec2322d8692d0dab9f75dd9f5ca576526c9,2018-10-07 06:11:06,1e-05,0,814617.0,0.0016472000000002929,116,2,0.017241379310344827,118,2.9416826,1,1e-05,0.0045512999999999994,0.02535933275862069,0.011017044840073964,2.9400353999999997,2.94,3.54e-05,1.4700176999999999,1.4700176999999999,2.16084796231329
e108e4f768fb024f440cafe6568a64e0d2ee8c14f27c02222f8ff37bafb343aa,2018-10-08 16:03:49,0,1.2e-05,121963.0,0.0009117999999997406,1,2604,2604.0,2605,0.47826204,0.47826204,0.47826204,0.47826204,0.47826204,0.0,0.47735024000000026,0.29788659,1e-05,1.898e-05,0.0001833142242703533,3.411108283181204e-05
68930f4c628c2374091e4bb55b396ab3be5d6dc686248a70f0ce458ce612900a,2018-10-10 06:24:08,1.2e-05,0,138019.0,0.002722700000000522,187,1,0.0053475935828877,188,4.0027227000000005,1.32529305,1e-05,0.002,0.021404934224598934,0.010431097094929507,4,4,4,4.0,4.0,0.0
98c58bcdb1c675ce840ad3b909d88d00947f6489ff904575ec2b11c4dc3c3463,2018-10-17 04:47:15,0,1e-05,598987.0,0.0009279600000061672,1,2650,2650.0,2651,0.64053439,0.64053439,0.64053439,0.64053439,0.64053439,0.0,0.6396064299999938,0.40814343,1e-05,2.091e-05,0.00024136091698113206,6.288713224187154e-05
06e72337846ef1357d2d4cc80903d001e0b9b8f943e9e6ffe574ef68e7bc5b22,2018-10-17 22:20:49,1e-05,0,63214.0,0.0012392000000001069,85,2,0.023529411764705882,87,3.9012951,1.008,1e-05,0.00753315,0.04589758941176471,0.016268597463201508,3.9000559,3.9,5.59e-05,1.95002795,1.95002795,3.8023909957812023
5ef9e58cefec1c8b94669f6586652676976120c2e8bdd78ef134ccc63f5cbbd9,2018-10-23 05:28:02,0,0.00153166,457633.0,0.0003952199999999739,1,74,74.0,75,0.3995,0.3995,0.3995,0.3995,0.3995,0.0,0.39910478000000005,0.22847549,0.00153152,0.001570415,0.005393307837837838,0.0006872478244277979
