txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
381b9153ca5b2f5fcbe4e00c2fa34183b67be0a3164be162d5edb344dd60727f,2018-06-25 20:37:25,0,0.16241755,,0.0005219999999999947,3,2,0.6666666666666666,5,0.23615672,0.092745,0.05066672,0.092745,0.07871890666666666,0.00039346258839075547,0.23563472,0.16241755,0.07321717,0.11781736,0.11781736,0.0019891769480360998
3e6eaa3a12539a4cfdc9e3d6f13ba8dfb23a5f1ab9167f651361b810a13db12a,2018-06-29 02:49:52,0.16241755,0,281547.0,0.0007179999999995523,48,2,0.041666666666666664,50,2.0034377999999995,0.43182944,6.132e-05,0.01681922,0.0417382875,0.005087330364221694,2.0027198,2,0.0027198,1.0013599,1.0013599,0.9972820493280099
64e8a0b1d91cd18121a32ce94eeea400b619f8e28a7f13d98f207833ff812a36,2018-08-13 02:08:46,0,0.07954788,3885534.0,0.00037399999999998546,2,2,1.0,4,0.16596217,0.092745,0.07321717,0.082981085,0.082981085,9.533403612722496e-05,0.16558817,0.08604029,0.07954788,0.082794085,0.082794085,1.0537846902025013e-05
1383415f39f7e7ca6197f2f8c53b3cde94b4b149f1b065850f08f15dcde5bfe7,2018-08-16 00:34:27,0.07954788,0,253541.0,0.00185760000000057,125,2,0.016,127,3.0029938000000005,0.49377847,6.423e-05,0.00568,0.024023950399999997,0.0036043841139539175,3.0011362,3,0.0011362,1.5005681,1.5005681,2.2482960227376103
d5038d31c902dc9c8d359843ad99e34daf686d511172e5a990ab7eeb76c9d596,2018-09-25 02:53:13,0,0.07547494,3464326.0,0.00022600000000000398,1,2,2.0,3,0.08604029,0.08604029,0.08604029,0.08604029,0.08604029,0.0,0.08581429,0.07547494,0.01033935,0.042907145,0.042907145,0.001060661271162025
fd2e9b006f91d1be7603d8d9bd48f9d87b98e857de434053ca1738645cfc67e6,2018-09-28 00:58:04,0.07547494,0,252291.0,0.0033225999999992872,224,2,0.008928571428571428,226,2.003699099999999,0.27442413,1e-05,0.001486575,0.008945085267857143,0.0006308921629281677,2.0003765,2,0.0003765,1.00018825,1.00018825,0.9996235354380625
da944aa50a8a921dd824c04eb5ba22668378c605c6ada04f0f48ccd2ba53c296,2021-06-30 19:57:34,0,0.003,86986770.0,2.6999999999999247e-05,1,2,2.0,3,0.009009,0.009009,0.009009,0.009009,0.009009,0.0,0.008982,0.005982,0.003,0.004491,0.004491,2.2230810000000005e-06
0a97b3c3186d84ba03cb482fcffe1d96d65ccdfc116239f5fb9bc03ceb177f5a,2021-06-30 22:20:31,0.003,0,8577.0,0.00033092000000000017,2,1,0.5,3,0.0032745,0.003,0.0002745,0.00163725,0.00163725,1.8570875625000001e-06,0.00294358,0.00294358,0.00294358,0.00294358,0.00294358,0.0
8bd98a0741139d7a3f5a4f39a85f9b6c953a2942e5afe38d30bf8ea503725804,2021-08-13 09:54:04,0,0.0005,3756813.0,2.000000000001133e-06,1,2,2.0,3,0.005982,0.005982,0.005982,0.005982,0.005982,0.0,0.005979999999999999,0.00548,0.0005,0.0029899999999999996,0.0029899999999999996,6.2000999999999985e-06
117967d6dd74bb276a94d82110611a7ccea0d6efae046d3400bd9b13f9948a64,2021-08-13 17:04:27,0.0005,0,25823.0,0.0001589,1,2,2.0,3,0.0005,0.0005,0.0005,0.0005,0.0005,0.0,0.0003411,0.00021612,0.00012498,0.00017055,0.00017055,2.0766248999999997e-09
a64a9327b7e07d31373d1869d79e5f4f6ae28d21c42571b1a701b0efdd66ee8e,2022-01-22 00:37:46,0,0.02571197,13937599.0,1.8150000000022315e-05,1,2,2.0,3,0.24768179,0.24768179,0.24768179,0.24768179,0.24768179,0.0,0.24766364,0.22195167,0.02571197,0.12383182,0.12383182,0.0096275049640225
b84a2eb96569e68d7687f10d828ff3dbb4219dd1581cc509a70cca7929935be6,2022-01-24 19:18:51,0.02571197,0,240065.0,0.0002631999999999912,2,2,1.0,4,0.09262368,0.06691171,0.02571197,0.04631184,0.04631184,0.00042435464401689997,0.09236048000000001,0.08900262,0.00335786,0.046180240000000004,0.046180240000000004,0.0018337562288644003
a9f90f4bcfa199777f30a1b192b14af13815251d39bf016556ed550352b21619,2022-02-17 01:19:26,0,1e-05,2008835.0,1.0079999999999985e-05,1,2,2.0,3,0.00228929,0.00228929,0.00228929,0.00228929,0.00228929,0.0,0.00227921,0.00226921,1e-05,0.001139605,0.001139605,1.2760074560249998e-06
4e551c45a3cf0a9ce401a9e6481f79926d5e896a88b17a57dbf1f2dee1ff48b6,2022-02-21 07:01:53,0,0.44113172,366147.0,6.159999999999499e-05,1,18,18.0,19,1.37607244,1.37607244,1.37607244,1.37607244,1.37607244,0.0,1.37601084,0.44113172,0.0007796,0.010047325,0.07644504666666668,0.014111824078425298
0d69f40c9f7457b2450a4b81494ae9107797c62e425e4c205978de539b6e74fe,2022-02-27 20:26:44,0.44113172,0,566691.0,0.00026319999999996346,2,2,1.0,4,0.44127665,0.44113172,0.00014493,0.220638325,0.220638325,0.04861733723862603,0.44101345000000003,0.26387996,0.17713349,0.22050672500000001,0.22050672500000001,0.0018812375143652258
