txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
726595f6b991432b7bd88fa88f10313c96c987aa954e96d162c53f2796932d9d,2020-05-03 06:37:13,0,0.001,,0.00047656999999290406,1,12,12.0,13,27.22879591,27.22879591,27.22879591,27.22879591,27.22879591,0.0,27.228319340000006,27.05854198,0.0003737,0.003621355,2.2690266116666673,55.86587491468199
216c3ebd36291ff52d609b7fd867f2c45eaa88bed6fdf9dda6bfaba2f04dd287,2020-05-03 08:57:36,0,0.01223934,8423.0,0.000513140000000023,1,13,13.0,14,1.78617664,1.78617664,1.78617664,1.78617664,1.78617664,0.0,1.7856635,1.50764902,0.00017572,0.0029661,0.13735873076923077,0.15924029583134264
5c84b3242a12b489c83a9a34f75b594415ad1a3a175d511739860b82ff0354f7,2020-05-04 13:45:21,0.013239339999999999,0,103665.0,0.011206199999999278,144,2,0.013888888888888888,146,4.012095399999999,0.27667218,5.8e-06,0.008449945,0.02786177361111111,0.0022166381496144245,4.0008892,4,0.0008892,2.0004446,2.0004446,3.99822179766916
04d3937657a900d2388a08cdd0185cf57e364b7c1dc61605ab973c0b40da6b3e,2020-06-08 00:31:44,0,0.02612117,2976383.0,0.0008709100000015013,1,52,52.0,53,5.53653026,5.53653026,5.53653026,5.53653026,5.53653026,0.0,5.535659349999999,4.57229038,0.00010561,0.003534,0.10645498749999999,0.39360353244667395
5891d10063615e50e387b2f4d291400d7517d945c92a8c83d71b8f54216063d8,2020-06-08 02:15:45,0.02612117,0,6241.0,0.0014104000000001449,54,2,0.037037037037037035,56,1.01159963,0.46,1.987e-05,0.0072166999999999995,0.018733326481481478,0.003788976214680805,1.01018923,1,0.01018923,0.505094615,0.505094615,0.24493134010199824
5ea04e59788e8bf3e3a8a870b5b942d43e07068a8b7ba2dcad23627ef5d04b01,2020-07-03 16:46:38,0,0.05370121,2212253.0,0.0006043700000000207,1,33,33.0,34,2.43945289,2.43945289,2.43945289,2.43945289,2.43945289,0.0,2.43884852,1.64424924,0.0001,0.002496,0.0739045006060606,0.0822594752524378
d3cde7ef5f78b27bc2d964e7f60c6e3d17bce68bbd71127c27d276eedab4ed63,2020-07-03 19:18:22,0.05370121,0,9104.0,0.0007034800000000063,12,2,0.16666666666666666,14,0.20386459,0.07078027,0.0001011,0.00445161,0.016988715833333338,0.0005944228292132411,0.20316111,0.19909789,0.00406322,0.101580555,0.101580555,0.009509630625502224
c129062c1b88536c7cf49e025f9ff9031ef8090545120bd69119429846340228,2020-07-21 02:06:22,0,0.04019637,1493280.0,0.0014717600000007103,1,40,40.0,41,3.51558031,3.51558031,3.51558031,3.51558031,3.51558031,0.0,3.514108549999999,1.5,0.00064152,0.006681415,0.08785271375,0.09157019247521905
391d73d9d168ef86fefdc19644b9de9794634ac599c048b225415c2e4241ba5f,2020-07-21 04:23:00,0.04019637,0,8198.0,0.001373269999999982,11,2,0.18181818181818182,13,0.31095984,0.0981,0.002,0.0196,0.02826907636363636,0.0008193747697971868,0.30958657,0.3064907,0.00309587,0.154793285,0.154793285,0.023012105717682224
8a43668853e342b5be08a574fd6cf7ba9c287394fcb5216a4b07e9304cae21b3,2020-09-26 22:31:59,0,0.03500855,5854139.0,0.0008846199999972271,1,38,38.0,39,23.52925339,23.52925339,23.52925339,23.52925339,23.52925339,0.0,23.528368770000004,22.76502195,0.00046603,0.003288895,0.6191675992105264,13.256961080950596
ff724331c635593d1b9f76d63ac25d4003ef4721a5553de1b36f521c411cfc7a,2020-09-27 00:30:05,0.03500855,0,7086.0,0.00033758999999966566,25,15,0.6,40,0.9454188000000001,0.19903117,0.00970061,0.019012,0.037816752,0.0022776495641860716,0.9450812100000004,0.0651565,0.03289021,0.0651565,0.06300541400000002,6.478039371154401e-05
7153b4c9024177cf6d61189da80749ddad9c3092f08fc89aa81fcce2f0e19fc6,2021-06-01 01:34:05,0,0.00314258,21344640.0,1.4740000000000066e-05,1,1,1.0,2,0.00315732,0.00315732,0.00315732,0.00315732,0.00315732,0.0,0.00314258,0.00314258,0.00314258,0.00314258,0.00314258,0.0
da38c9421f2d752e8489aee2f5c34553ed6a812f7e6b459c0068b626950b6a95,2021-06-01 13:56:23,0.00314258,0,44538.0,0.0001589,1,2,2.0,3,0.00314258,0.00314258,0.00314258,0.00314258,0.00314258,0.0,0.00298368,0.0026592,0.00032448,0.00149184,0.00149184,1.3627293696e-06
208f49043bd359884cfc317ded6d37d404c4b6186e746d199ef071935b94296c,2021-06-01 15:07:10,0,5.47e-06,4247.0,0.0027675200000001343,1,608,608.0,609,1.07964403,1.07964403,1.07964403,1.07964403,1.07964403,0.0,1.07687651,1.07355622,5.47e-06,5.47e-06,0.0017711784703947368,0.0018924599262711988
54dca7882c0196cad3b14e3b408a16b65f6050c0e117f3a5332885ee25fd225a,2021-07-26 01:35:39,0,0.00143442,4703309.0,1.4739999999999849e-05,1,1,1.0,2,0.00144916,0.00144916,0.00144916,0.00144916,0.00144916,0.0,0.00143442,0.00143442,0.00143442,0.00143442,0.00143442,0.0
c26c937ff0996e4c507c8ed82af115c42b79e2adb67953a582e837a70b95dd33,2021-07-27 11:21:44,0.00143442,0,121565.0,0.00025129999999999944,2,1,0.5,3,0.0043476899999999995,0.00291327,0.00143442,0.0021738449999999998,0.0021738449999999998,5.467493306249999e-07,0.00409639,0.00409639,0.00409639,0.00409639,0.00409639,0.0
