txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
52589081de500a5e3d989c85228b339067ae0d50973c4777c94ef90b8944395c,2017-01-07 22:25:12,0,0.00105155,,0.00039084000000003116,1,8,8.0,9,0.19582751,0.19582751,0.19582751,0.19582751,0.19582751,0.0,0.19543666999999998,0.19345171,8.191e-05,0.00010625000000000001,0.02442958375,0.004081312245404823
a0bca6b10d330ea8613cc6a97e1ac719ad8657719e521fa3351585208a7f9ffc,2017-01-07 23:12:21,0,0.00105155,2829.0,0.0003598200000000107,1,7,7.0,8,0.55579,0.55579,0.55579,0.55579,0.55579,0.0,0.55543018,0.55357272,8.191e-05,8.5e-05,0.07934716857142857,0.03748175690124716
c3d91a1ad02fd82f5642a8abd3a9b1e76a25fb57b08f327c6e3114f86dc2c82b,2017-01-08 00:15:39,0,0.00105155,3798.0,0.00029773999999999946,1,5,5.0,6,0.01265052,0.01265052,0.01265052,0.01265052,0.01265052,0.0,0.01235278,0.01066532,8.191e-05,0.000469,0.002470556,1.6914093721464e-05
881f8e46d9b218d1647ac53f7e05fd3c1f06a7a2942706c026a8a59d3b3e108a,2017-01-08 01:15:48,0,0.00105155,3609.0,0.00035985999999999657,1,7,7.0,8,0.02074846,0.02074846,0.02074846,0.02074846,0.02074846,0.0,0.020388600000000003,0.01457722,8.191e-05,0.00105155,0.002912657142857143,2.3491328903220407e-05
0b2c556fc902985a5f4dc44abca1c61fa21857fd37a71152d1c943b4c7d11f6a,2017-01-08 02:35:29,0,0.00105155,4781.0,0.00035896999999999665,1,7,7.0,8,0.03,0.03,0.03,0.03,0.03,0.0,0.029641030000000002,0.02766146,8.191e-05,0.00020711,0.004234432857142857,9.157617002610613e-05
7e6d3cb8630172dda559470a6b1bbe9c6dce31959d03834dca73b6ff2bba1603,2017-01-08 03:53:04,0,0.00105155,4655.0,0.00048411000000003757,1,11,11.0,12,0.55112338,0.55112338,0.55112338,0.55112338,0.55112338,0.0,0.55063927,0.5485082,8.191e-05,0.000102,0.05005811545454544,0.024845321522111462
872a32f1c1eed6582a0a96f04afeb6e9ac24a6bc7cbca688ce839d8c2b0e3173,2017-01-08 04:32:38,0,0.00105155,2374.0,0.0004841700000000008,1,11,11.0,12,0.01475726,0.01475726,0.01475726,0.01475726,0.01475726,0.0,0.014273089999999999,0.01214202,8.191e-05,0.000102,0.0012975536363636362,1.1833088845586778e-05
b6dbc290a0edbf268b8c75aec38586ea53204b3ca427c8e4acee382da657a8bb,2017-01-08 05:18:06,0,0.00105155,2728.0,0.00047205999999999984,1,12,12.0,13,0.03160352,0.03160352,0.03160352,0.03160352,0.03160352,0.0,0.031131460000000003,0.02890689,8.191e-05,9.774999999999999e-05,0.0025942883333333337,6.300903964143057e-05
de94914d068a559b605bb28d9b77a67388bcf67245579dec56685e5f0748404b,2017-01-08 06:29:40,0,0.00105155,4294.0,0.00047205999999999637,1,12,12.0,13,0.15169562,0.15169562,0.15169562,0.15169562,0.15169562,0.0,0.15122356,0.14899899,8.191e-05,9.774999999999999e-05,0.012601963333333334,0.0016913541193722223
30fb11f84d43de312c6f05849e9df6bb19c8eb4dc0879457d67343364e1dd49f,2017-01-08 07:20:29,0,0.00105155,3049.0,0.0006143299999999963,1,17,17.0,18,0.1434635,0.1434635,0.1434635,0.1434635,0.1434635,0.0,0.14284917,0.1400976,8.191e-05,8.5e-05,0.008402892352941177,0.0010840187862497473
89d8724e017a9565600bf46bb5a068ce61c6a683587e63cb2ecbbf427b91bdd8,2017-01-08 08:25:52,0,0.00105155,3923.0,0.0006143400000000049,1,17,17.0,18,0.06330657,0.06330657,0.06330657,0.06330657,0.06330657,0.0,0.06269223,0.05994066,8.191e-05,8.5e-05,0.0036877782352941176,0.00019782445403660278
4974f38029b58821ff24f89863da4cc4f511341bc02c9f53e3ac1ddb11856856,2017-01-08 09:30:12,0,0.00105155,3860.0,0.0005574299999999976,1,15,15.0,16,0.04695581,0.04695581,0.04695581,0.04695581,0.04695581,0.0,0.04639838,0.04381681,8.191e-05,9.35e-05,0.0030932253333333334,0.00011851371885581151
4df5f5f0079c78fd0a3d9cda15cda9b4f224f9ba0ad648001a41aef836c84cb8,2017-01-08 10:28:08,0,0.00105155,3476.0,0.0005574799999999921,1,15,15.0,16,0.05323093,0.05323093,0.05323093,0.05323093,0.05323093,0.0,0.05267345000000001,0.05009188,8.191e-05,9.35e-05,0.003511563333333334,0.00015503625833179557
4d1353d2f1cc05ef9f0b743d10fa985346c41e263e36ffef78a1c895dbc4f96f,2017-01-08 11:33:28,0,0.00105155,3920.0,0.0005574700000000026,1,15,15.0,16,0.0145,0.0145,0.0145,0.0145,0.0145,0.0,0.013942529999999998,0.01136096,8.191e-05,9.35e-05,0.0009295019999999999,7.828359420282667e-06
84cbab8fd56ed4e36db1e097796d5e2d7fd80fabbff3c2c069ff808c028cd5b1,2017-01-08 12:30:19,0,0.00105155,3411.0,0.0005566200000000007,1,15,15.0,16,0.01913792,0.01913792,0.01913792,0.01913792,0.01913792,0.0,0.0185813,0.01599973,8.191e-05,9.35e-05,0.0012387533333333331,1.561915343086222e-05
a8fbd34fb28be27c0312e2f221f02339d1b34b73a2033a4cfbc347edf594e53f,2017-01-08 13:26:49,0,0.00105155,3390.0,0.000557419999999989,1,15,15.0,16,0.05183833,0.05183833,0.05183833,0.05183833,0.05183833,0.0,0.05128091000000001,0.04869934,8.191e-05,9.35e-05,0.0034187273333333343,0.00014650825709620625
6120094440c111e898d0a4d4ad19ccf8488c25612d323ef96db48963c426c362,2017-01-08 14:32:43,0,0.00105155,3954.0,0.0005574199999999752,1,15,15.0,16,0.07640066,0.07640066,0.07640066,0.07640066,0.07640066,0.0,0.07584324000000002,0.07326167,8.191e-05,9.35e-05,0.0050562160000000005,0.0003323404050874508
0c1b8db67afa9bf0f5f43f233609687077d5106d8098468b03cbea55d4fe80cf,2017-01-08 15:49:59,0,0.00105155,4636.0,0.0004712000000000015,1,12,12.0,13,0.01542257,0.01542257,0.01542257,0.01542257,0.01542257,0.0,0.014951369999999999,0.0127353,8.191e-05,8.925e-05,0.0012459474999999998,1.2068611789135413e-05
4dbf9f7986af1ad3eaeaf3568e0bbd9779be1631c038cee3dbd2635c15780b50,2017-01-08 16:36:21,0,0.00105155,2782.0,0.0006988499999999731,1,20,20.0,21,0.28583367,0.28583367,0.28583367,0.28583367,0.28583367,0.0,0.28513482,0.27649881,8.191e-05,8.925e-05,0.014256741,0.003620331417536448
