txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
41684d2752ea4789afe12e37072a3562ea4e79b330b09e00619579fa2af43256,2017-02-16 02:27:35,0.49656526,0,,0.0014569999999993755,16,1,0.0625,17,5.001456999999999,2.05,0.00012186,0.10453291,0.3125910625,0.24994490887451842,5,5,5,5.0,5.0,0.0
b7510ccaaa9c609517f3a5e8cd17dfdeb51893c36f2d6581e1c8d9ebf5f664fe,2017-02-16 12:57:02,0.54092233,0,37767.0,0.0014569999999993755,176,1,0.005681818181818182,177,7.813281299999999,1.75500954,4.997e-05,0.018851609999999998,0.044393643749999996,0.021025261991166472,7.8118243,7.8118243,7.8118243,7.8118243,7.8118243,0.0
88cc168c9c5ea525faf402d8ff5b5eeb190c905b7858198db1dd1cd211780480,2017-02-16 23:22:07,0,0.01607,37505.0,0.0018632300000001045,2,15,7.5,17,1.04596153,1,0.04596153,0.522980765,0.522980765,0.2275473505599852,1.0440983,0.64159266,0.001,0.0078125,0.06960655333333333,0.026176910623479786
c3f174e6e31de28cbae31ada90984dcd12b03aaa617e1b4a25aaefe40f91419a,2017-02-17 06:45:08,0,0.03475,26581.0,0.001133180000000511,2,22,11.0,24,2.1812533800000002,1.99730603,0.18394735,1.0906266900000001,1.0906266900000001,0.8220674255828357,2.1801201999999997,0.80557737,0.001,0.00833,0.09909637272727273,0.04083784854039504
1f1230355ea0aab9516f2c0854cdae793c9e5c317552a763c020faf6f30dd898,2017-02-18 09:24:40,0,0.02351825,95972.0,0.00024310000000000304,2,2,1.0,4,0.023793590000000003,0.01762479,0.0061688,0.011896795000000002,0.011896795000000002,3.280992672002501e-05,0.02355049,0.02351825,3.224e-05,0.011775245,0.011775245,0.00013789816643002502
cce64ca0a2fb38b6afbe50c6b870c4141a8fc8b3a99d3129982c33a3428c3e68,2017-02-19 09:26:03,0.050820000000000004,0,86483.0,0.0014570000000029282,93,1,0.010752688172043012,94,5.001457000000003,0.8371405,0.00020987,0.0202,0.053779107526881725,0.014715222683372588,5,5,5,5.0,5.0,0.0
491b82944e69c1bd825019a39df29c3428b9d2b2555592c26296551042c05afe,2017-02-20 15:53:56,0,0.49,109673.0,0.0008982199999999496,3,2,0.6666666666666666,5,0.7392966599999999,0.29184916,0.16158125,0.28586625,0.24643221999999998,0.0036058094236484655,0.73839844,0.49,0.24839844,0.36919922,0.36919922,0.014592828448608399
148794a5fee0b47660c06955719ebc58f8b53c01c7a553f25dfe739b73250384,2017-02-20 16:20:09,0,0.00428826,1573.0,0.0024417999999992723,1,76,76.0,77,3,3,3,3.0,3.0,0.0,2.9975582000000007,0.93026802,0.00013797,0.005788475,0.0394415552631579,0.014843836870268749
9427375381f84637a2ea5305d76fea332e1dd88c5857da9b893c6ff92ad0059c,2017-02-24 02:31:19,0,0.00855388,295870.0,0.01287884000001327,28,32,1.1428571428571428,60,107.07096386999999,38.5120083,0.521,1.31587645,3.8239629953571423,52.835394123308184,107.05808502999997,100,0.00024615,0.004226545,3.3455651571875005,302.7169685008377
b03bf81be4072f33339e8fc40619325c4689e5d3353d988c0b780f096ee67e41,2017-02-25 02:32:17,0,0.26769506,86458.0,0.000271200000000027,1,2,2.0,3,0.3095435,0.3095435,0.3095435,0.3095435,0.3095435,0.0,0.3092723,0.26769506,0.04157724,0.15463615,0.15463615,0.012782317130388098
7edd1da1b3da0250e1b2e854fb90774bd35bc873eee157435450e28d7b5e2e97,2017-02-25 03:52:50,0,0.0036112,4833.0,0.005974559999998519,6,76,12.666666666666666,82,25.34410345,25.12737169,0.01004731,0.048472724999999994,4.224017241666666,87.39066430268025,25.33812889,23.36312498,0.00013309,0.0041185300000000005,0.3333964327631578,7.07531738099167
adf2d9226ebad2c2e9241971d29c08bd5c1cb2f9459beaf3e4d2fbfba6944541,2017-02-25 10:40:24,0,0.06812447,24454.0,0.00014999999999987246,1,2,2.0,3,1.71613,1.71613,1.71613,1.71613,1.71613,0.0,1.71598,1.64785553,0.06812447,0.85799,0.85799,0.6238875554821809
b2c38e6e0e3303784f7203fc360cd854f4db1380135a08eb85ffa2f95682bcfc,2017-02-25 20:36:14,0,0.0965457,35750.0,0.0013196800000000453,2,11,5.5,13,0.31267736,0.31238195,0.00029541,0.15633868,0.15633868,0.024349502112292903,0.31135767999999997,0.10551315,0.0009,0.0034,0.028305243636363633,0.0017363131940134958
a68e5cad5e550528bb3077fde4c2dc91f8adcd293a501694f5c4479a189ec59a,2017-02-26 00:34:15,0,0.01271874,14281.0,0.0006264000000000009,3,2,0.6666666666666666,5,0.01393714,0.00529939,0.00431679,0.00432096,0.004645713333333333,2.1364949042222222e-07,0.01331074,0.01271874,0.000592,0.00665537,0.00665537,3.6764455756899996e-05
7cb4c6300d95f86c35c37e51f06a2a3ceb3e9c0e236858d7b34a77f4ecfdef0b,2017-02-26 05:02:33,0.08296825000000001,0,16098.0,0.0004999999999997229,184,1,0.005434782608695652,185,5.0005,1.9,3.577e-05,0.0048541899999999995,0.027176630434782606,0.02024688105548884,5,5,5,5.0,5.0,0.0
421d54db6e7a9f3b65e3219c7d5b533b66c6edd15daf0977c47fd84d08d1ceb1,2017-02-26 07:05:41,0.00540104,0,7388.0,0.0005000000000023874,250,1,0.004,251,5.000500000000002,2.2333612,2.92e-05,0.0008178,0.020002,0.020759635225605526,5,5,5,5.0,5.0,0.0
8920d203c4c1a28dfc1f114a6c9ae30bd92e6c607f89681727dae32947fb0cee,2017-02-26 08:03:25,0.49,0,3464.0,0.0004999999999997229,20,1,0.05,21,5.0005,1.00134507,0.000504,0.1895521,0.25002500000000005,0.048270053461367826,5,5,5,5.0,5.0,0.0
9c68366c3bb5bce323493f946b9b72f83f843c95e5929b7636590f2d9e375644,2017-02-26 12:34:46,0.00428826,0,16281.0,0.0004999999999979465,206,1,0.0048543689320388345,207,5.000499999999998,0.73489,4.552e-05,0.001886325,0.024274271844660193,0.005347827962904455,5,5,5,5.0,5.0,0.0
01c002e8c612b868592b5f2cdbac6fff60f209f39a71b1ed03d2259176636d70,2017-02-27 01:18:02,0.26769506,0,45796.0,0.0004999999999988347,84,2,0.023809523809523808,86,5.010500059999999,1.309705,0.0001,0.00842181,0.05964881023809524,0.027558239312237814,5.01000006,5,0.01000006,2.50500003,2.50500003,6.225024850300001
329cb58777197e3ed2d1cb48eff2cd5f13fc579c698357f4532bb96506c417e2,2017-02-27 02:13:38,0.01216508,0,3336.0,0.0004999999999970584,146,1,0.00684931506849315,147,5.000499999999997,0.52247771,5.446e-05,0.0088161,0.03425,0.0053059389267529145,5,5,5,5.0,5.0,0.0
465827ecfbb8c091382431fe356fd0afa0659562a09645023abf06fe05488529,2017-02-27 03:30:08,0.16467017,0,4590.0,0.0004999999999988347,115,2,0.017391304347826087,117,5.010500049999999,0.99986445,2.991e-05,0.0127,0.0435695656521739,0.011167984076341939,5.01000005,5,0.01000005,2.505000025,2.505000025,6.225024875250001
c76c75eda790f0be872a74c00098c5ed9f44b60d063949d46510a202db1db11b,2017-02-27 16:39:27,0,0.01433638,47359.0,0.0030249599999994103,6,13,2.1666666666666665,19,2.93886566,2,0.0005952,0.17053613,0.4898109433333333,0.47681385696770134,2.9358407000000004,1.82846046,0.0017,0.01607376,0.22583390000000003,0.24547053967590043
48d87756d2a6e97161834009ec95b433625e3b34ae42bbe031d3b7f0feefaa8a,2017-02-28 05:09:43,0,0.16906,45016.0,0.000271200000000027,1,2,2.0,3,0.2,0.2,0.2,0.2,0.2,0.0,0.19972879999999998,0.16906,0.0306688,0.09986439999999999,0.09986439999999999,0.0047880310593599994
27679080572f7d7408382ebd63e93a15b5971e09a98769fd6f5fcd4e2ab06ef3,2017-02-28 19:59:14,0,0.03038,53371.0,0.002168070000003297,4,12,3.0,16,12.74607181,12.51558881,0.001667,0.11440800000000001,3.1865179525,29.01267268745676,12.743903739999997,12.44234442,0.0017,0.026135014999999998,1.0619919783333331,11.775052558820503
