txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
0f3ec12a9fdbae7be2894bf7a8d2f47c70a76f3bc2fe3d5bc2700c8be96e0cd9,2018-03-08 18:35:17,0,0.00020787,,0.0005210399999997506,1,778,778.0,779,2.87264099,2.87264099,2.87264099,2.87264099,2.87264099,0.0,2.87211995,2.53412297,0.0001,0.00017004999999999999,0.00369167088688946,0.008243754740033282
091c54f20c481c6773c41b3f538fe77b2f286c0817e3e83f170bf831b759069f,2018-03-23 21:02:02,0,0.00010105,1304805.0,0.0005613199999999208,1,839,839.0,840,0.48599444,0.48599444,0.48599444,0.48599444,0.48599444,0.0,0.4854331200000001,0.1396311,0.0001,0.00014872,0.0005785853635280096,2.464363705414859e-05
d26b7225ed68e5ea5919e76fe551fe59c71fa3c746bb15950dc2d37dba9cee88,2018-04-02 13:57:50,0.00010105,0,838548.0,0.01181790999999989,597,1,0.0016750418760469012,598,0.1118179099999999,0.002177,1e-05,0.00010908,0.00018729968174204355,4.096260719269603e-08,0.1,0.1,0.1,0.1,0.1,0.0
ce7781c5b7aee7db96d0c4d2902817013fd307ef1435b4613bbfd829f1ecfe93,2018-04-02 20:03:33,0,0.0001,21943.0,0.0006541199999996472,1,975,975.0,976,2.02332242,2.02332242,2.02332242,2.02332242,2.02332242,0.0,2.0226683000000003,1.5394045,0.0001,0.00013783,0.0020745315897435896,0.002430993674750084
fa6e7b12471eb9f05ee4df615351d8ba35360bf44132ba376a78f213ea9b6d24,2018-04-10 18:46:08,0,0.0001,686555.0,0.0006569999999994636,1,980,980.0,981,1.07593441,1.07593441,1.07593441,1.07593441,1.07593441,0.0,1.0752774100000004,0.45076668,0.0001,0.000137325,0.0010972218469387754,0.00022390895953219544
4ebf4215a114c86a5fe3a64120a41714896c4f911ccf7125161c0bc4e3c27465,2018-04-14 04:50:28,0.0001,0,295460.0,0.005967260000000696,308,1,0.003246753246753247,309,2.0059672600000007,0.2496682,1e-05,0.0004,0.0065128807142857134,0.0004650287310761099,2,2,2,2.0,2.0,0.0
e246b525c0dfb6123f3733122079237a0c6df9a8b1e5d8ac318766e21aa7a1fa,2018-04-14 18:51:09,0.0001,0,50441.0,0.003361150000000035,172,1,0.005813953488372093,173,0.60336115,0.0595056,1e-05,0.00109497,0.003507913662790698,4.703866411860577e-05,0.6,0.6,0.6,0.6,0.6,0.0
89835a81ddfcbcc5ba7a00f9d24d5f10a13010f4746439744c9821aaa11bef71,2018-04-19 17:36:59,0,0.00010035,427550.0,0.00017895999999995027,1,266,266.0,267,3.61275238,3.61275238,3.61275238,3.61275238,3.61275238,0.0,3.61257342,3.45250382,0.0001,0.000140915,0.013581103082706767,0.04463276687418848
35e9664516f271fc9e9dcdc2b4ea821d8881cfa3a8ecb8bf33577772f3794ca1,2018-04-20 03:06:50,0.00030822,0,34191.0,0.003457610000000333,174,1,0.005747126436781609,175,1.0034576100000003,0.22568306,1e-05,0.00123983,0.005766997758620689,0.0003304819281862622,1,1,1,1.0,1.0,0.0
5a116d0bf9e5c0131ea64260939ec5613784cf811a06d72fbe5af83530647cd6,2018-04-27 20:50:38,0,0.00010225,668628.0,0.00021108000000014115,1,315,315.0,316,2.3846199,2.3846199,2.3846199,2.3846199,2.3846199,0.0,2.38440882,2.22301441,0.0001,0.00014237,0.00756955180952381,0.015634569753934725
