txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
380be0e5e29fd194792bfd32e34c75bc850dbff368b335daf48f0b5899651863,2017-10-21 08:18:41,0.00809522,0,,0.020000000000003126,156,1,0.00641025641025641,157,5.020000000000003,0.4097,0.0002219,0.0110771,0.032179487179487175,0.0037596806436380192,5,5,5,5.0,5.0,0.0
ba137cd6bd0b4e56c9b1a43256f524e247ee1d25fe6ed58cc18d3653c7871d51,2017-10-21 10:32:04,0,0.00782479,8003.0,0.005271870000029821,1,101,101.0,102,242.47145864,242.47145864,242.47145864,242.47145864,242.47145864,0.0,242.46618676999998,241.66966466,0.00763793,0.00797654,2.400655314554455,572.4965883694298
3ffbae0319774d9f6b394ac270e5dbfabb108981c7c6c9f86a8c4aa2edcfd9c7,2017-10-21 14:33:52,0.00759719,0,14508.0,0.019999999999999685,377,1,0.002652519893899204,378,0.5199999999999997,0.019998,0.00047609,0.00095904,0.0013793103448275863,3.961935305674948e-06,0.5,0.5,0.5,0.5,0.5,0.0
c7ddd18afdbba72b2e438b7fc307e8f00233711c49161c8b33280a59ae532907,2017-10-21 14:33:52,0.01587075,0,0.0,0.006050880000000092,113,1,0.008849557522123894,114,1.00605088,0.07,0.000861,0.00532095,0.008903105132743363,9.866802856672589e-05,1,1,1,1.0,1.0,0.0
9018261837e7efab97ad7697f1ba842e65395a2fddf8aa62b5f4b9f887a6ec78,2017-10-22 09:04:14,0,0.00768708,66622.0,0.004768850000004932,1,101,101.0,102,853.59336923,853.59336923,853.59336923,853.59336923,853.59336923,0.0,853.58860038,852.81700621,0.00743032,0.0077044,8.4513722809901,7129.5332376299675
58559ec82623f4d2a85a4da4abcfabc64502a120daaa6422027336b3616743cc,2017-10-23 10:22:28,0,0.0075911,91094.0,0.004744759999937287,1,101,101.0,102,128.13714804,128.13714804,128.13714804,128.13714804,128.13714804,0.0,128.13240328000006,127.38741674,0.00713287,0.00743419,1.268637656237624,159.0594644042058
d9ab0808140c314d2a076636bf0b2792ea3d7c12c30b70c684499350e0723198,2017-10-24 09:35:58,0.00768708,0,83610.0,0.020000000000000073,195,1,0.005128205128205128,196,0.32000000000000006,0.03443874,0.00010298,0.00050707,0.0016410256410256412,1.5059865220697408e-05,0.3,0.3,0.3,0.3,0.3,0.0
4e0c0ddf2f5c2e16447e493e940c496f0c5d469e595e9a681ecaf198df6f48a0,2017-10-24 10:44:05,0.0075911,0,4087.0,0.019999999999999907,333,1,0.003003003003003003,334,0.5199999999999999,0.030118,0.00015091,0.000516,0.0015615615615615615,1.1666449875431797e-05,0.5,0.5,0.5,0.5,0.5,0.0
10a87d192f30aba4b708ab2ee61e39eedd7af71ab16f7c2db75d60b87a24c3ed,2017-10-24 10:45:54,0.00782479,0,109.0,0.02000000000000024,373,1,0.002680965147453083,374,1.0200000000000002,0.07104,9.881e-05,0.00121584,0.002734584450402145,3.1197554504418266e-05,1,1,1,1.0,1.0,0.0
69be788c70e94c006119e5b9756920c799681369eb32df3fd343f80c1ec4ed06,2017-10-24 12:45:51,0,0.00777824,7197.0,0.004761859999916851,1,101,101.0,102,736.06927715,736.06927715,736.06927715,736.06927715,736.06927715,0.0,736.06451529,735.26549513,0.00770881,0.00799514,7.287767478118812,5299.515719597086
28c0fbc45cfc1a2afac0e87b07d8b86065fd6007781ca3b50e430ca9ee968e56,2017-10-25 09:21:14,0,0.00606845,74123.0,0.004763029999992341,1,101,101.0,102,349.50249452,349.50249452,349.50249452,349.50249452,349.50249452,0.0,349.49773149000004,348.88755927,0.00606543,0.00610331,3.4603735791089107,1193.1994061437924
620c369c53449134ec05e6695e672746123f31b263ba34af4cc3a26f0677d5eb,2017-10-26 10:56:32,0,0.00743519,92118.0,0.004798720000053436,1,101,101.0,102,308.82233159,308.82233159,308.82233159,308.82233159,308.82233159,0.0,308.8175328699999,308.08064425,0.00704564,0.00737408,3.057599335346534,930.3905793287181
43df9f4697b9e148f826f8f0bc8cd259b683e8fb8c446fb8e2778faab2e1c804,2017-10-27 09:18:18,0,0.00692358,80506.0,0.004797910000206684,1,101,101.0,102,927.4138003,927.4138003,927.4138003,927.4138003,927.4138003,0.0,927.4090023899998,926.70908946,0.00671613,0.00701389,9.182267350396039,8418.554692929078
7c74bf9508099432980e91061d4899b5247bd839f66b8fa83abb24d5b47779b4,2017-10-28 10:14:52,0,0.00694753,89794.0,0.004783710000026531,1,101,101.0,102,306.20106128,306.20106128,306.20106128,306.20106128,306.20106128,0.0,306.19627756999995,305.49738313,0.00681411,0.00699075,3.0316463125742574,914.8552194935016
7718735d7540e22ab6069d77a25fe7a829057d16dcb0de048472272546be098b,2017-10-29 12:11:20,0,0.00697495,93388.0,0.0048043399999997405,1,101,101.0,102,35.06648798,35.06648798,35.06648798,35.06648798,35.06648798,0.0,35.06168364,34.36332791,0.00675293,0.00697495,0.3471453825742575,11.571006753191815
13ccf2fddfec6d2b5843bc06118135e8029d563f2ae7ae3c3ff8ab156a0a12cb,2017-10-29 20:23:48,0.028205459999999998,0,29548.0,0.019999999999999574,442,1,0.0022624434389140274,443,5.02,0.34,1e-05,0.00430295,0.011357466063348415,0.0006934181358137727,5,5,5,5.0,5.0,0.0
