txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
ae591ebea86135bda0edb3c32715e4e33abca70b8a8ce578f5a039c657c5124b,2018-04-07 14:32:40,0,1.11e-05,,0.000377959999999955,1,1106,1106.0,1107,0.22970281,0.22970281,0.22970281,0.22970281,0.22970281,0.0,0.22932485000000005,0.19285762,1e-05,1.523e-05,0.00020734615732368898,3.359290241687466e-05
909b132b7fbb8de1b96bf79cc2f16ad2e3c6546e40e73e08383c50fda9e1a88a,2018-04-20 03:06:50,1.11e-05,0,1082050.0,0.001729650000000138,89,1,0.011235955056179775,90,0.5017296500000001,0.04327698,1e-05,0.00098511,0.005637411797752809,7.90276189073698e-05,0.5,0.5,0.5,0.5,0.5,0.0
af7d524e43c282e8ed16871c2c9bfbdabdd08aeab7da64ed8826e1080812a465,2018-11-22 11:04:07,0,7.63e-05,18691037.0,0.0018554799999961347,1,1814,1814.0,1815,1.95315881,1.95315881,1.95315881,1.95315881,1.95315881,0.0,1.9513033300000038,1.81220937,1e-05,2.153e-05,0.0010756909206174198,0.00180931139695243
cb155b4781b604a3919af0f6341214697f93a29518b8d4e4cedd34b9e7833e16,2019-01-22 05:44:17,7.63e-05,0,5251210.0,0.004990899999999243,340,2,0.0058823529411764705,342,3.0050345999999992,0.492594,1e-05,0.001927885,0.00883833705882353,0.0010499299535903842,3.0000437,3,4.37e-05,1.50002185,1.50002185,2.2499344504774226
14a79b7ee74720b1881976b2faa9bd69db75d9744233fd25864d3dc5acd3cf18,2019-10-21 17:46:41,0,0.002,23544144.0,0.00027855999999992775,1,416,416.0,417,0.71186449,0.71186449,0.71186449,0.71186449,0.71186449,0.0,0.71158593,0.49655998,0.0001,0.00017265500000000002,0.0017105431009615385,0.0005940478416102753
f513394c5b04e1b36914304f65948ed35c759163268fb8bff08d22a7c17b18f1,2019-10-22 07:05:26,0.002,0,47925.0,0.0016167999999994187,218,2,0.009174311926605505,220,2.0115634999999994,0.1792,2e-05,0.002835635,0.009227355504587155,0.00045641941549244314,2.0099467,2,0.0099467,1.00497335,1.00497335,0.9900780342102226
d67092b1d91bc3d4f492cb1102c3d1c7925145a2595bb82982151b2289736889,2019-11-25 05:06:47,0,0.0015201,2930481.0,0.0013575100000002838,33,480,14.545454545454545,513,0.5511208200000001,0.27067435,3.622e-05,0.00431149,0.016700630909090908,0.002153005087769076,0.5497633099999998,0.0024985,0.00080199,0.00110316,0.0011453402291666667,4.7346859748072485e-08
f0729834c3e27be8a7ff35a76e99185740c3b9bd956119dedda0d5f3ff7d485a,2019-11-30 07:55:18,0.0015201,0,442111.0,0.0013359999999997818,90,2,0.022222222222222223,92,3.0105814,0.51,1.035e-05,0.009154124999999999,0.03345090444444445,0.005224795584937119,3.0092454,3,0.0092454,1.5046227,1.5046227,2.23615326935529
57dd2fd9ed3c6edce3c7c968cebe2ad68c7805b9df587f1859829ee4af8a907c,2020-01-07 22:05:43,0,0.00068963,3334225.0,2.1140000000000113e-05,1,2,2.0,3,0.00083516,0.00083516,0.00083516,0.00083516,0.00083516,0.0,0.0008140199999999999,0.00068963,0.00012439,0.00040700999999999997,0.00040700999999999997,7.98740644e-08
cb54d05bff481060978b50f00665d376e8d6cd446caaccda17b26fb433902cee,2020-01-18 05:51:16,0.00068963,0,891933.0,0.0009366000000001762,42,2,0.047619047619047616,44,1.51000006,0.65977,1.329e-05,0.008592105,0.035952382380952386,0.011405973194372254,1.50906346,1.5,0.00906346,0.75453173,0.75453173,0.5557229415767928
1b590913afc88d1b489dd4949a76cc13bc8ae5570d499569de1f7f0972b6ff3d,2020-06-21 18:53:48,0,0.0001385,13438952.0,0.0002092399999999925,1,15,15.0,16,0.03352594,0.03352594,0.03352594,0.03352594,0.03352594,0.0,0.033316700000000005,0.02873561,0.0001385,0.00023156,0.002221113333333334,5.02715081859289e-05
ce72f83c3b87f8edd88d73b8dd1b1b1173ba43d065810c0ac6de1551a297d57a,2020-12-27 17:22:29,0,0.0128,16324121.0,0.000324579999999991,1,6,6.0,7,0.14378197,0.14378197,0.14378197,0.14378197,0.14378197,0.0,0.14345739000000002,0.1290936,0.00021781,0.000527315,0.023909565000000004,0.002233282127356358
0a4ce18f2983dde0fdbd96e2147852d4327771f45a83b5b12f80e31b57c502f5,2020-12-27 18:01:37,0.0128,0,2348.0,0.000295920000000012,8,2,0.25,10,0.05483768000000001,0.0128,0.0035,0.0056,0.00685471,1.1564606797925003e-05,0.054541759999999995,0.05396739,0.00057437,0.027270879999999997,0.027270879999999997,0.0007127036461801
bdc5358968712a3d4fced2450a65c8ce17f240026254cd756a374800a575b50f,2021-06-29 15:16:28,0,0.00137781,15887691.0,4.0000000000000105e-05,1,4,4.0,5,0.00882098,0.00882098,0.00882098,0.00882098,0.00882098,0.0,0.00878098,0.00669027,0.0002129,0.000938905,0.002195245,6.919249259725e-06
5f5e5831f74cc94719f10cd3f6c28fe11f4096d8f8d8bd3cbee84f89d4957008,2021-06-30 01:54:08,0.00137781,0,38260.0,0.00025348000000000037,2,1,0.5,3,0.00818696,0.00680915,0.00137781,0.00409348,0.00409348,7.374863548899999e-06,0.00793348,0.00793348,0.00793348,0.00793348,0.00793348,0.0
