txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
8171a76cb09b37f8540507522f04d4b57869c56681460480ab0cc7bcf593a98a,2020-04-20 20:44:00,0,0.0014318,,6.780000000000067e-06,1,2,2.0,3,0.0016088,0.0016088,0.0016088,0.0016088,0.0016088,0.0,0.00160202,0.0014318,0.00017022,0.00080101,0.00080101,3.978960241e-07
f86633b59b3db3429731bacf595d83321a84a202707ffd9627a9e93e5cfb944d,2020-04-21 16:12:54,0.0014318,0,70134.0,0.001767299999999139,138,2,0.014492753623188406,140,3.001784399999999,0.5821,1e-05,0.006956495,0.02175206086956522,0.003807497098732298,3.0000171,3,1.71e-05,1.50000855,1.50000855,2.2499743500731024
e3c5c9bf4f55933d32e16c4a87138eb43183810777a8113e50ad07d05eecd063,2020-05-02 08:56:06,0,0.07267125,924192.0,1.8159999999989296e-05,1,2,2.0,3,0.18653739,0.18653739,0.18653739,0.18653739,0.18653739,0.0,0.18651923,0.11384798,0.07267125,0.093259615,0.093259615,0.0004238807733732249
5c84b3242a12b489c83a9a34f75b594415ad1a3a175d511739860b82ff0354f7,2020-05-04 13:45:21,0.07267125,0,190155.0,0.011206199999999278,144,2,0.013888888888888888,146,4.012095399999999,0.27667218,5.8e-06,0.008449945,0.02786177361111111,0.0022166381496144245,4.0008892,4,0.0008892,2.0004446,2.0004446,3.99822179766916
aa8e9f80bb1b1b79a512fe424bed595db0a93911c07f34a86a903d501e317795,2020-05-11 05:13:59,0,0.01502098,574118.0,6.809999999999455e-06,1,2,2.0,3,0.01923538,0.01923538,0.01923538,0.01923538,0.01923538,0.0,0.01922857,0.01502098,0.00420759,0.009614285,0.009614285,2.9232350823025003e-05
fb5bd6ad60451564b3c048b3f28242ee02e6cac7a19d04e5dce29dbc17415df2,2020-05-11 19:52:30,0.01502098,0,52711.0,0.003679679999999408,84,2,0.023809523809523808,86,2.0038329599999996,0.30360985,9.72e-06,0.005073889999999999,0.023855154285714286,0.002897826746904487,2.00015328,2,0.00015328,1.00007664,1.00007664,0.9998467258736896
1ca15d6c22b8325254b08626c102c4029e6b302a962fa921586adbbe8c534456,2020-05-23 11:27:18,0,0.0141353,1006488.0,7.264000000000229e-05,1,2,2.0,3,0.01619291,0.01619291,0.01619291,0.01619291,0.01619291,0.0,0.01612027,0.0141353,0.00198497,0.008060135,0.008060135,3.6907629777225e-05
da3f62de347d600a4dbfc43d4f3f8cc7f901c1c9b115290777b1a13d7072e280,2020-05-25 22:16:57,0,0.00591357,211779.0,2.6320000000000683e-05,2,2,1.0,4,0.00619801,0.00420759,0.00199042,0.003099005,0.003099005,1.2289607022249994e-06,0.00617169,0.00591357,0.00025812,0.003085845,0.003085845,7.996028675625e-06
acdd8a00f566e20f751e426ce004017d12ac80338b6bec9960b5b4346645d645,2020-05-26 08:47:51,0.02004887,0,37854.0,0.0054624000000003115,97,2,0.020618556701030927,99,2.005818,0.6134,6e-06,0.00375855,0.020678536082474223,0.004730753350573613,2.0003556,2,0.0003556,1.0001778,1.0001778,0.99964443161284
9dadc0196f1987354d1502b052516b657ef7adbb5c3fddecace1dbea6367d44b,2020-06-02 06:19:09,0,0.1406527,595878.0,1.3619999999991972e-05,1,2,2.0,3,0.18188796,0.18188796,0.18188796,0.18188796,0.18188796,0.0,0.18187434,0.1406527,0.04122164,0.09093717,0.09093717,0.0024716339231808998
cadec70442ffdad32be9362e30ef6151ed81eed032e6216fa9bb1072f5af7595,2020-06-02 22:46:40,0,0.16897132,59251.0,0.00024063999999998642,2,2,1.0,4,0.17160042,0.13037878,0.04122164,0.08580021,0.08580021,0.0019872489032449004,0.17135978000000002,0.16897132,0.00238846,0.08567989000000001,0.08567989000000001,0.006937462311444901
