txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
e6b5f87823f87a3e26b6cdeb7741ca3c0c49e7ccb81305c5187982f6bb3a79e7,2017-11-27 23:49:47,0,0.010377,,0.000271200000000027,1,2,2.0,3,0.20182282,0.20182282,0.20182282,0.20182282,0.20182282,0.0,0.20155162,0.19117462,0.010377,0.10077581,0.10077581,0.008171944849416099
62c7246c740147311fcdf031b8d11f66ec63ae4e57fd4d5b2d45e8c8e56bd3e9,2017-12-02 07:52:12,0.010377,0,374545.0,0.0037823500000007115,175,1,0.005714285714285714,176,3.0037823500000007,0.213,1.003e-05,0.00695707,0.01716447057142857,0.000900698363354329,3,3,3,3.0,3.0,0.0
19a048b0cbf8b9910a207dd4290740215eece77e42239b9265ba013486aedbf0,2021-02-12 05:29:02,0,2e-05,100906610.0,0.0068642200000003095,2,2927,1463.5,2929,0.14832784999999998,0.08612396,0.06220389,0.07416392499999999,0.07416392499999999,0.00014304243720122503,0.14146362999999967,0.03480788,1e-05,1.699e-05,4.8330587632388116e-05,4.164818101214176e-07
d17048f51b32ed1cdbd1d530e85adf85771dca2d336e0809e5b7c1ddb2ef8e1b,2021-03-05 20:43:33,0,4e-05,1869271.0,0.010595860000000568,2,3001,1500.5,3003,0.13159172,0.1120743,0.01951742,0.06579586,0.06579586,0.0021416940088336,0.12099585999999943,0.01099591,1e-05,1.612e-05,4.031851382872376e-05,4.3340013669634004e-08
ef9e6a227388211b27c85ed318e5e5afb2d111d067aa867c3464f2d1517ef4c5,2021-03-06 21:49:17,2e-05,0,90344.0,7.897999999999998e-05,2,1,0.5,3,0.00124293,0.00122293,2e-05,0.000621465,0.000621465,3.617601462249999e-07,0.00116395,0.00116395,0.00116395,0.00116395,0.00116395,0.0
6827468505106cfc92247375ff5f2f9fef218b45736e42be8dcd469e194e6c48,2021-03-08 16:42:53,4e-05,0,154416.0,6.391999999999856e-05,2,2,1.0,4,0.01418285,0.01414285,4e-05,0.007091425,0.007091425,4.9722594530625004e-05,0.014118930000000002,0.01002735,0.00409158,0.007059465000000001,0.007059465000000001,8.808341373225e-06
5c02e454c920ceae4e6ba7af99906b6b3ddc97db078c4ec2a1fca604c3da37ff,2021-04-16 04:00:18,0,5.081e-05,3323845.0,0.009262280000000317,2,2765,1382.5,2767,0.13479137,0.13394424,0.00084713,0.067395685,0.067395685,0.004428710172588024,0.12552908999999968,0.004,1e-05,1.635e-05,4.539930922242315e-05,1.3943131778871832e-08
94f79d6aabcedf5ea65a6573631482a1ca9f003b9a82c167cda2e961a57bfcd6,2021-04-16 22:28:06,5.081e-05,0,66468.0,0.00049287,2,1,0.5,3,0.0008219599999999999,0.00077115,5.081e-05,0.00041097999999999997,0.00041097999999999997,1.297224289e-07,0.00032909,0.00032909,0.00032909,0.00032909,0.00032909,0.0
efaddcb6997478cc4ce1dfc027b58430a7b550db55d85bda534c267aa468e4f7,2021-05-24 06:45:45,0,5e-05,3226659.0,0.008093899999999515,2,2405,1202.5,2407,0.16249976,0.11927376,0.043226,0.08124988,0.08124988,0.0014458154502544002,0.15440586000000048,0.01087037,1e-05,1.245e-05,6.42020207900208e-05,1.1710745974302662e-07
697f4e9cbf4bd63b5590876179fb0ad4f161312ab271225c52f16ec67f175e4a,2021-05-24 20:11:27,5e-05,0,48342.0,0.00036047999999999994,2,1,0.5,3,0.00102452,0.00097452,5e-05,0.00051226,0.00051226,2.1368430759999997e-07,0.00066404,0.00066404,0.00066404,0.00066404,0.00066404,0.0
4fd33eb15becab39011f523303a0269bb5482cf1e256755395c4331eb5d0f95f,2021-06-10 06:49:34,0,2e-05,1420687.0,0.00806304999999978,1,3001,3001.0,3002,0.09234079,0.09234079,0.09234079,0.09234079,0.09234079,0.0,0.08427774000000023,0.00630939,1e-05,1.5e-05,2.808321892702432e-05,1.4416662175043373e-08
166befc57f73a8be7381b55ccfcd12182d5d7107f8a90a076c07dd525aa1d2c7,2021-06-25 21:48:18,0,2e-05,1349924.0,0.008067069999998455,1,3001,3001.0,3002,0.39936067,0.39936067,0.39936067,0.39936067,0.39936067,0.0,0.3912936000000015,0.27977496,1e-05,1.49e-05,0.00013038773742085974,2.6083661678089423e-05
25da32531e0bd78076550d7ea3fdf39aa35798fac50dd1f8ff63f72d5e415311,2021-07-03 14:44:27,0,1e-05,665769.0,0.011092439999996484,1,3001,3001.0,3002,0.25,0.25,0.25,0.25,0.25,0.0,0.23890756000000352,0.15359481,1e-05,1.524e-05,7.960931689436855e-05,7.857815957567307e-06
4eec163904da7fa7045b3e15c2de55d079dceee8d3cb8a5ce936ccb2836a5e0c,2021-07-10 14:52:12,0,1e-05,605265.0,0.0020133199999982643,1,3001,3001.0,3002,0.21044589,0.21044589,0.21044589,0.21044589,0.21044589,0.0,0.20843257000000173,0.10912062,1e-05,1.558e-05,6.945437187604132e-05,3.970065349512643e-06
