txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
012638a6ebc296392fe61c0b6da7d911a2ff47124e5119b9e1a338be1fe8d0d1,2017-02-01 18:22:01,0,0.00063227,,0.0073122200000006465,1,246,246.0,247,0.80691711,0.80691711,0.80691711,0.80691711,0.80691711,0.0,0.7996048899999993,0.65608342,0.00020023,0.00063809,0.0032504263821138213,0.00173958196873905
b7cdbd6cfc921167d516fec4ab0ffac83b152c5ab9a77aa96931027e6488132b,2017-02-06 14:36:21,0,0.0001821,418460.0,0.010165370000000507,1,284,284.0,285,0.59337589,0.59337589,0.59337589,0.59337589,0.59337589,0.0,0.5832105199999995,0.51369035,0.0001002,0.00020240999999999998,0.0020535581690140844,0.0009250124701461799
72add3700bcf3489d7e6819de820540e78e27caafcf2ce5e1335a938396e1d82,2017-02-08 11:02:21,0,0.00073567,159960.0,0.011730220000000235,1,245,245.0,246,0.7062912,0.7062912,0.7062912,0.7062912,0.7062912,0.0,0.6945609799999998,0.53402519,0.00025376,0.00066149,0.002834942775510204,0.0011564108016671854
17d0aee6e51d2a3b8b1618900548a599ddd0b2f95bcc4d557204ccb46f099dc4,2017-02-27 02:13:44,0.00136794,0,1609883.0,0.0005000000000000004,115,1,0.008695652173913044,116,0.1005,0.0206071,0.00017824,0.000648,0.0008739130434782608,3.435493585979434e-06,0.1,0.1,0.1,0.1,0.1,0.0
cf9e12abebeae920a268e90d434c3347c45b77597d9d721ec06e03f586312fe9,2017-03-20 04:54:12,0.0001821,0,1824028.0,0.000499999999999938,310,1,0.0032258064516129032,311,0.05049999999999994,0.00023904,0.00010774,0.00015556,0.0001629032258064516,2.52362621207076e-10,0.05,0.05,0.05,0.05,0.05,0.0
d191003ed85b81c2fa79216417d133f08cbc3bff65f013da10b3459c67ad6f93,2018-08-03 01:11:31,0,1e-05,43273039.0,0.000618129999999828,1,1770,1770.0,1771,0.14994864,0.14994864,0.14994864,0.14994864,0.14994864,0.0,0.14933051000000017,0.02016734,1e-05,2.0845e-05,8.43675197740113e-05,3.4673801868882027e-07
fbaa14d5e1a7a628de1f3b63e241652bda8766fe26bdff81bffca00d6af35fa6,2018-08-06 20:02:08,0,1.031e-05,327037.0,0.0009116700000019184,1,2611,2611.0,2612,0.5529758,0.5529758,0.5529758,0.5529758,0.5529758,0.0,0.5520641299999981,0.31220928,1e-05,2.358e-05,0.0002114378130984297,3.740852288469063e-05
0605535fd01549ed3bded4dbbcdfe87c84fa22ce5c3b994ad2d9818d317b258a,2018-08-15 18:30:54,0,3.892e-05,772126.0,0.0006280200000068348,1,1798,1798.0,1799,0.77477031,0.77477031,0.77477031,0.77477031,0.77477031,0.0,0.7741422899999931,0.60565396,1e-05,2.1435e-05,0.00043055744716351507,0.00020393626602805394
c886db49918159b63c8c0e1c422a5f6e6c59a57373e65ef2b8e4a91911ab89a4,2018-08-17 06:43:50,4.892e-05,0,130376.0,0.0033088000000001117,212,1,0.0047169811320754715,213,2.0033088,0.28855049,5.46e-06,0.002631475,0.009449569811320755,0.0006656719138125365,2,2,2,2.0,2.0,0.0
745c22854aa9f8c57c7658fab27e9adce997c883c151e9fac76f09a3bfb6010e,2018-08-22 07:03:43,1.031e-05,0,433193.0,0.0014654000000002831,12,1,0.08333333333333333,13,2.0014654000000003,0.493458,1.031e-05,0.143028895,0.16678878333333333,0.02282283068599351,2,2,2,2.0,2.0,0.0
0b274516cdcbd2bca7cf2ce0fa392172a2c3fd24aeb9d6a6201d278cfe52503a,2018-09-06 19:15:44,0,3.514e-05,1339921.0,0.0009281699999999504,1,2658,2658.0,2659,0.44347579,0.44347579,0.44347579,0.44347579,0.44347579,0.0,0.44254762000000003,0.22453789,1e-05,2.2530000000000003e-05,0.00016649647103085028,1.9054446361811774e-05
20acb656dc121bf7ce546d456172ff676566eed9facd6125a5352911e32c321e,2018-09-09 06:42:20,3.514e-05,0,213996.0,0.002643299999999904,162,2,0.012345679012345678,164,2.0126432999999997,0.26265494,1.015e-05,0.002645225,0.012423724074074072,0.0009162250813293031,2.01,2,0.01,1.005,1.005,0.990025
b3f74bc7e43ba5ebccc485d8d5f037cee17d25d030c11d245d6b47d3714d41cc,2018-09-23 19:58:14,0,4.905e-05,1257354.0,0.0002959099999993997,1,843,843.0,844,0.41077054,0.41077054,0.41077054,0.41077054,0.41077054,0.0,0.4104746300000006,0.33323617,1e-05,2e-05,0.0004869212692763938,0.00013161886826331686
6639d94d2505ecbfa31e5e6cf86c1606ff1d3b7c1038a69d6a13e336a90a9e3a,2018-10-04 16:02:25,4.905e-05,0,936251.0,0.0008022999999997005,54,2,0.037037037037037035,56,3.51,2.0415,3e-05,0.009827905000000001,0.065,0.07656067372813266,3.5091977,3.5,0.0091977,1.75459885,1.75459885,3.0464251744213224
8de03ed4243bde0b0c572232019a4db6b08f6db3e5cbb17a1e47f7685fb6cf9e,2022-10-13 08:59:14,0,1.002e-05,126982609.0,0.0014532499999979076,1,2157,2157.0,2158,0.3098,0.3098,0.3098,0.3098,0.3098,0.0,0.3083467500000021,0.16036445,1e-05,2.042e-05,0.00014295166898470096,1.1922464089860356e-05
