txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
c62ed0d0840d864324086f1cf581eec7642eb44543fe1c8bfcfab8cab0ebdf2e,2016-08-18 19:10:51,0.52530205,0,,0.00014999999999998348,1,2,2.0,3,0.52530205,0.52530205,0.52530205,0.52530205,0.52530205,0.0,0.52515205,0.48348538,0.04166667,0.262576025,0.262576025,0.048800943126516026
222fcb1261c961374d7b623b7eb8a4fc426a16d0bddec1e80d4597d15b0004be,2016-08-18 19:34:35,0,0.523512,1424.0,0.0001242999999999661,1,2,2.0,3,1.04712,1.04712,1.04712,1.04712,1.04712,0.0,1.0469957,0.523512,0.5234837,0.52349785,0.52349785,2.0022249999973282e-10
eabb8dd218386c4c880599dbe6ce88638d132a99fb060b7dcad2cb9f64c967a4,2016-08-18 22:43:39,0,0.52346885,11344.0,0.0001242999999999661,1,2,2.0,3,1.045728,1.045728,1.045728,1.045728,1.045728,0.0,1.0456037,0.52346885,0.52213485,0.52280185,0.52280185,4.448889999999642e-07
32ffde74792835aea16abffd12b6e51b8fa1b4b7fb29cadc79f9a79c765f9feb,2016-08-18 23:01:42,0,0.523905,1083.0,0.00020570000000008637,2,2,1.0,4,0.6980037,0.5234837,0.17452,0.34900185,0.34900185,0.030443915979422496,0.6977979999999999,0.523905,0.173893,0.34889899999999996,0.34889899999999996,0.030627100035999992
826cac8c2e6c872c53d648c747cadaebba359972684c4bbcc3e0b9493a982f80,2016-08-18 23:21:20,0,0.52365,1178.0,0.00020569999999997535,2,2,1.0,4,0.52426133,0.523,0.00126133,0.262130665,0.262130665,0.06805280994334223,0.52405563,0.52365,0.00040563,0.262027815,0.262027815,0.06844616768417422
e3d523422d0a461ae26c5d55e7dd363ade6913df893e5d1f8b789c92fe89ba43,2016-08-18 23:47:32,0,0.17458101,1572.0,0.0002057000000000031,2,2,1.0,4,0.23511446,0.11929506,0.1158194,0.11755723,0.11755723,3.0200531088999855e-06,0.23490876,0.17458101,0.06032775,0.11745438,0.11745438,0.0032634518551569007
2a0ab1f9ab8c667cb5584be2674fdf92e5950c6c51163462c8477c34858de88b,2016-08-19 00:23:24,0,0.34897924,2152.0,0.00020569999999997535,2,2,1.0,4,0.38224722,0.348614,0.03363322,0.19112361,0.19112361,0.0248032229423521,0.38204152,0.34897924,0.03306228,0.19102076,0.19102076,0.024950881403910403
141d444b5ff09bd96d7a3c0af58c1a8eaea6cc1432a964b08defb7c5eb60a401,2016-08-19 01:29:52,0,0.17454,3988.0,0.00012429999999999386,1,2,2.0,3,0.188,0.188,0.188,0.188,0.188,0.0,0.1878757,0.17454,0.0133357,0.09393785,0.09393785,0.006496706584622499
7acbac28da53b1a8d246de6e4999304a10106db32426f40eee5332cad6d38073,2016-08-19 02:13:51,1.047555,0,2639.0,0.0001500000000000945,5,2,0.4,7,2.26712098,0.5870526,0.149028,0.52365,0.453424196,0.024263295311654463,2.26697098,2.25694444,0.01002654,1.13348549,1.13348549,1.2621600123351024
2921e1276e9bf8813dc971d46338bfa68f0cf6f52ed4e42f95aae8ae6e31595a,2016-08-19 04:14:42,0.17454,0,7251.0,0.00014999999999998348,1,2,2.0,3,0.17454,0.17454,0.17454,0.17454,0.17454,0.0,0.17439000000000002,0.16460319,0.00978681,0.08719500000000001,0.08719500000000001,0.0059920278790761014
