txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
a897f133b30ce32e32f4f99312fe0123d6be041ef39d03b6d7af76f7f587028b,2015-04-20 13:51:04,0.01149311,0,,0.0001999999999999988,8,2,0.25,10,0.05931269,0.015677,8.006e-05,0.009985345,0.00741408625,3.364212833139843e-05,0.05911269,0.04910714,0.01000555,0.029556345,0.029556345,0.000382233585132025
bdc0e532c89e0ad68a99bd8e52a8b1c2b958dfce0822c02cbe0c3847896309bc,2015-04-21 12:43:42,0,0.01193628,82358.0,0.006170799999516419,2,1804,902.0,1806,57.54957899,40,17.54957899,28.774789495,28.774789495,126.00535088156235,57.543408190000484,11.12329269,5.282e-05,0.00264077,0.031897676380266075,0.11890136975864106
9264e091274e07f4cbde027ce1069816ec4bbd232e3d27d3a0469dbe4d3ab64e,2015-04-21 14:39:13,0.01193628,0,6931.0,0.0001999999999999988,7,2,0.2857142857142857,9,0.033804139999999996,0.01447389,5e-05,0.00017279,0.004829162857142856,3.385963801490612e-05,0.03360414,0.023604,0.01000014,0.01680207,0.01680207,4.6266251724900006e-05
ce3fef8aac4894e5baf6c235c36e8dbda59d2e6fbf44a8ced55faa64be8eb4e8,2015-04-22 11:50:58,0,0.01193628,76305.0,0.007121799999573852,1,2089,2089.0,2090,62.05229699,62.05229699,62.05229699,62.05229699,62.05229699,0.0,62.04517519000043,11.12329269,5.282e-05,0.00253514,0.02970089764959311,0.10396370208493401
d8f8cf330c55852b30135b6b5e3a53f67c2f02b2c65ddd90bf95521e3956d939,2015-04-22 15:28:30,0.01193628,0,13052.0,0.0001999999999999988,6,2,0.3333333333333333,8,0.05286598,0.02132105,0.00018091,0.00960862,0.008810996666666666,5.347424308732222e-05,0.05266598,0.04266576,0.01000022,0.02633299,0.02633299,0.00026675937587289996
7d1c0a9eb136aeeed3f928d03a68b84109c66eb4b35804c8c7603a4bcc39b632,2015-04-23 15:11:09,0,0.01193628,85359.0,0.006653599999445703,2,1946,973.0,1948,62.7654469,45,17.7654469,31.38272345,31.38272345,185.4302206391799,62.758793300000555,11.12329269,5.282e-05,0.00264077,0.032250150719424456,0.1317579105931586
e6b1470ef89b2507815b13b11d0f1ae4c3989d7bfc9a32923ca12b31467bde42,2015-04-23 19:59:20,0.01193628,0,17291.0,0.00020000000000000573,12,2,0.16666666666666666,14,0.07230011,0.04922176,5.735e-05,0.000141515,0.006025009166666667,0.000185833412939791,0.07210011,0.0621,0.01000011,0.036050055,0.036050055,0.000678599634503025
04cd5187f8fd14fa9812c0a1e9d70f72a2b423f5f64967c7213c2221e345ee59,2015-04-24 04:55:06,0,0.01193628,32146.0,0.006356799999672091,1,1864,1864.0,1865,56.46509225,56.46509225,56.46509225,56.46509225,56.46509225,0.0,56.458735450000326,11.12329269,5.282e-05,0.00264077,0.030289021164163092,0.10186656281571921
0f9ea245d249d5813316446c8450cda88c745ed499863f0cd91f0099a7b0740d,2015-04-24 07:00:19,0.01193628,0,7513.0,9.999999999998899e-05,2,2,1.0,4,0.09080627999999999,0.07887,0.01193628,0.045403139999999995,0.045403139999999995,0.0011200307182596,0.09070628,0.07948,0.01122628,0.04535314,0.04535314,0.0011646425734596
32b625729d9df415632f9bd0aa3c2a2b7e5610187d5d00becf7b3d711469d96f,2015-04-25 15:00:17,0,0.01193628,115198.0,0.006094999999540107,1,1787,1787.0,1788,63.12611087,63.12611087,63.12611087,63.12611087,63.12611087,0.0,63.12001587000046,12.38602486,5.282e-05,0.00264077,0.03532177720761051,0.1833006862239193
