txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
5792185c658c731d4c8431986d29260239202dfa4138e00532f913e06a2c3572,2020-09-11 03:00:19,0,0.04062917,,0.0010235900000026277,1,30,30.0,31,11.33636109,11.33636109,11.33636109,11.33636109,11.33636109,0.0,11.335337499999998,10.5706933,0.0007,0.010264385000000001,0.3778445833333332,3.584153925304588
d3ab8d09ca95d39167cce8a3b05555ce1604e5925a1e5c156032d8d84b35ccf6,2020-09-11 04:30:10,0.04062917,0,5391.0,0.0018423599999999873,18,2,0.1111111111111111,20,0.42533438999999995,0.09394826,0.0001001,0.00977706,0.023629688333333333,0.0008059640240399362,0.42349202999999996,0.41925711,0.00423492,0.21174601499999998,0.21174601499999998,0.04306085454809902
12541636fc77fdbc71cf03f5f054407cb3aa67a4c6c86d2f76e2633b61be82b0,2020-09-13 00:21:45,0,0.00566248,157895.0,0.0005615000000001036,1,24,24.0,25,0.80768704,0.80768704,0.80768704,0.80768704,0.80768704,0.0,0.8071255399999999,0.37085619,0.0009637,0.00471906,0.03363023083333334,0.005955867168663757
3893e8b4f8f6c60c810566a5b9a3104802e0245bd3ca05cd519192642549e391,2020-09-13 01:31:49,0.00566248,0,4204.0,2.6599999999999888e-05,1,1,1.0,2,0.00566248,0.00566248,0.00566248,0.00566248,0.00566248,0.0,0.00563588,0.00563588,0.00563588,0.00563588,0.00563588,0.0
1a5f096b76ccffcffe6b2acda6a8ef8a3bddee7b4a1f38565924f5b7768e504d,2020-09-15 02:29:33,0,0.01100221,176264.0,0.0005045100000007352,1,21,21.0,22,2.68892899,2.68892899,2.68892899,2.68892899,2.68892899,0.0,2.6884244799999992,2.2701909,0.00136332,0.01100221,0.12802021333333333,0.23023336050498397
9807b6ffe569e10572174eeff66de3f3e4609b6d8516cf84df26950f7013a5d0,2020-09-15 04:37:03,0.01100221,0,7650.0,2.8500000000000747e-05,1,1,1.0,2,0.01100221,0.01100221,0.01100221,0.01100221,0.01100221,0.0,0.01097371,0.01097371,0.01097371,0.01097371,0.01097371,0.0
a53e784443d322e554aa6afb4daef761156324be45441ba5ba799c02f6c015de,2020-09-17 23:05:52,0,0.00901984,239329.0,0.0006010200000000632,2,23,11.5,25,0.81904949,0.44162737,0.37742212,0.409524745,0.409524745,0.0010305785318906247,0.81844847,0.27100627,0.00091487,0.00902224,0.03558471608695653,0.004007083511110788
ccc9cec2f43a9ee83676835bf85c06e85854992072ab45d230e3774e96047a4c,2020-09-18 01:35:10,0.00901984,0,8958.0,0.00038459999999962413,10,7,0.7,17,1.1972172299999997,1,0.00024067,0.014614430000000001,0.11972172299999999,0.08713653692283524,1.19683263,0.18382773,0.09386625,0.18382773,0.17097609,0.0009909879041375999
75ae2ecbb67add45680635a1a62381560bb8b3320a9e0efe99b7480842949f30,2020-09-22 05:57:16,0,0.16572313,361326.0,0.003368390000000332,8,114,14.25,122,5.1383767,2.2098406,0.00266,0.6575,0.6422970875,0.45997944566239934,5.13500831,0.72143282,0.00020872,0.0071572,0.04504393254385965,0.009958997437100272
c050cc1581ba60e260b6d5e52bc981b2dbbde4dd5b6948ed6d7190207458760e,2020-09-22 07:20:29,0.16572313,0,4993.0,0.00032063999999998316,4,3,0.75,7,0.17679509,0.16572313,0.000723,0.00517448,0.0441987725,0.004926106569627668,0.17647445,0.0666578,0.04315885,0.0666578,0.05882481666666667,0.0001227112558005556
51ef189a7793979e31df73e5da0d40bb25db64df72a30569162e72dd0d1d9e8b,2020-09-23 08:25:24,0,0.0121097,90295.0,0.0005758499999999334,1,23,23.0,24,1.06097483,1.06097483,1.06097483,1.06097483,1.06097483,0.0,1.06039898,0.62932226,0.00046104,0.00503269,0.04610430347826088,0.016458498113708742
ace032f8f32de49cb516adbd6317d816789535c2adc449db716789e98c6e40bd,2020-09-23 09:22:39,0.0121097,0,3435.0,0.00010259999999999957,1,1,1.0,2,0.0121097,0.0121097,0.0121097,0.0121097,0.0121097,0.0,0.0120071,0.0120071,0.0120071,0.0120071,0.0120071,0.0
58773af491ab47635de35b61b2eeb8faa9fa2bc9ed55a84221b848fbc97f654d,2020-09-26 02:28:24,0,0.13888416,234345.0,0.0006554699999998803,2,21,10.5,23,0.63143271,0.60535647,0.02607624,0.315716355,0.315716355,0.08389139621721323,0.6307772400000001,0.13888416,0.00045318,0.006,0.03003701142857143,0.001965860691614593
2c9ab1c3e0e65b4546d8bff95175965828634c61fd3c0fec83a064d1bfdcd99b,2020-09-26 06:26:26,0.13888416,0,14282.0,4.709999999996661e-05,2,7,3.5,9,0.39811335000000003,0.25922919,0.13888416,0.19905667500000002,0.19905667500000002,0.0036207315614252243,0.39806625000000007,0.06492572,0.00851193,0.06492572,0.05686660714285715,0.00038969580026499193
197da2cd8ef62ba4c14103a9fffab754025d335427f707fe8cf4977a134e9ee4,2020-09-27 05:52:29,0,0.09163411,84363.0,0.00042245999999979134,3,23,7.666666666666667,26,1.0573676699999999,1.01695695,0.003561,0.03684972,0.35245588999999994,0.2209655191837682,1.05694521,0.60108152,0.00063266,0.00675334,0.04595413956521739,0.014996200358350678
