txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
5e19abe4eb2f57cbe56a67e2e0b18eb014d2f88d17f0b200121d918be47ea50e,2017-01-05 09:54:32,0.05585344,0,,0.007456999999998715,49,1,0.02040816326530612,50,10.007456999999999,3.24,8.009e-05,0.10083,0.20423381632653062,0.2059786017082293,10,10,10,10.0,10.0,0.0
8b714277e2408ee1e438a7b006e680c5e26e4de93a83bcaaa50000b15496e7d1,2017-02-13 16:04:32,0,0.11680826,3391800.0,0.0005289999999997796,1,11,11.0,12,1.25011919,1.25011919,1.25011919,1.25011919,1.25011919,0.0,1.2495901900000002,0.12057531,0.10014732,0.11680826,0.11359910818181819,5.573981419916034e-05
5b0e46518ed8c791d02d78d5846efb12d8cbfee344f5358060055e02eb67c10b,2017-02-14 08:49:11,0.11680826,0,60279.0,0.0014570000000011518,23,2,0.08695652173913043,25,5.011457000000001,1.64784133,0.00016263,0.1271744,0.21788943478260875,0.10479574779106758,5.01,5,0.01,2.505,2.505,6.2250250000000005
b838dceac8af13020069909589d09b630d131ca83b793beb0c72fae6f5c01cb2,2017-02-23 13:58:27,0,1.09467466,796156.0,0.00037300000000017874,2,2,1.0,4,1.20507143,0.75845143,0.44662,0.602535715,0.602535715,0.02430971018396123,1.2046984299999999,1.09467466,0.11002377,0.6023492149999999,0.6023492149999999,0.24238434379444798
a5a6e35261a703f3d3d2722b0bee8c4e07c00b2b41cb177ab4dc78407a3a761f,2017-02-26 08:50:44,1.09467466,0,240737.0,0.0004999999999881766,194,1,0.005154639175257732,195,10.000499999999988,1.09467466,3.891e-05,0.005823105,0.05154896907216494,0.02374600920784487,10,10,10,10.0,10.0,0.0
3d3479399f4a1f582907f50349a1ecd97aea41be5676063e8dd47d35ba836eab,2017-04-06 13:41:43,0,0.01782805,3387059.0,0.00027120000000000616,1,2,2.0,3,0.05486727,0.05486727,0.05486727,0.05486727,0.05486727,0.0,0.05459607,0.03676802,0.01782805,0.027298035,0.027298035,8.968061590022497e-05
0b31d66b6cf2669ef3f9ec6bc8ec005505afb1fc4868c2352e92ffa0d7dc2cac,2017-04-24 02:32:33,0.01782805,0,1515050.0,0.0009999999999976694,156,2,0.01282051282051282,158,5.630473679999998,0.86328928,0.0001,0.008499295,0.03609278,0.010321961631104994,5.62947368,5.61947362,0.01000006,2.81473684,2.81473684,7.866548405084769
1a608235a6ea828ba6fd195404432b613694c1ebf136aa052b02ad44e29ac1d2,2017-06-09 15:06:13,0,0.03487681,4019620.0,0.0005235999999999991,2,2,1.0,4,0.04541859,0.03538095,0.01003764,0.022709295,0.022709295,0.000160570840439025,0.04489499,0.03487681,0.01001818,0.022447495,0.022447495,0.000154487871369225
52db0d593aa595a744ce453da6c30a0193c55f5fb2cc58abcfcc81ccfa041ff7,2017-06-12 04:14:44,0,0.00673636,220111.0,0.0007785000000000153,1,2,2.0,3,0.1349557,0.1349557,0.1349557,0.1349557,0.1349557,0.0,0.1341772,0.12744084,0.00673636,0.0670886,0.0670886,0.0036423928730176
15251bb5a2863cde531b544137e9b38f6bc156cd66a4fb7713599c4136dfabbc,2017-06-18 22:49:08,0.00673636,0,585264.0,0.0050000000000001155,133,1,0.007518796992481203,134,1.0050000000000001,0.027,0.00267964,0.006942,0.00755639097744361,1.1306877074296037e-05,1,1,1,1.0,1.0,0.0
e3f4e11ea61417a3b555f77c5083d742165393be1f2cd2e2d8dd241cf1d3e67c,2017-06-18 22:49:08,0.03487681,0,0.0,0.0025356000000000822,42,2,0.047619047619047616,44,1.0125356,0.1387,0.00011315,0.019420525,0.024107990476190472,0.00038080996093560444,1.01,1,0.01,0.505,0.505,0.245025
667b5dd1a0186152aac1f89a53cab356f4a2e14530e7118dd80ccd1088f1cb1d,2017-07-11 20:53:58,0,0.05357443,1980290.0,0.0003150000000000097,1,2,2.0,3,0.5,0.5,0.5,0.5,0.5,0.0,0.499685,0.44611057,0.05357443,0.2498425,0.2498425,0.0385211553015249
dd57cc1e00bcca36a6dbefd3b88ce50f4056afc527f7846e0cdd7a8af60fb30e,2017-07-14 05:35:27,0.05357443,0,204089.0,0.0032621400000001355,94,2,0.02127659574468085,96,1.0132621600000002,0.0535906,0.0001,0.00348805,0.010779384680851064,0.00021497116338041637,1.01000002,1,0.01000002,0.50500001,0.50500001,0.2450249901000001
36a1283b7f1434ae37044f7cf86102d93d0e96e8771ee40f762e721f72a01860,2017-08-01 18:08:40,0,0.03658068,1600393.0,0.0005222000000000004,2,2,1.0,4,0.04793352,0.03501535,0.01291817,0.02396676,0.02396676,0.00012207134098810002,0.04741132,0.03658068,0.01083064,0.02370566,0.02370566,0.00016576614000039997
16cf9bce465e146ab54bd375804448c019f45a35ad1ecee8b8275b5141b73297,2017-08-04 16:24:06,0.03658068,0,252926.0,0.004138199999998982,71,1,0.014084507042253521,72,5.004138199999999,2,0.0002,0.0113,0.07048081971830986,0.06127142872968437,5,5,5,5.0,5.0,0.0
93b5ac691567e37bc1b2021309051014827055bde711e0d98505103f6f0e459c,2017-08-07 05:01:10,0,0.01638176,218224.0,0.0003164000000000014,1,2,2.0,3,0.03528464,0.03528464,0.03528464,0.03528464,0.03528464,0.0,0.03496824,0.01858648,0.01638176,0.01748412,0.01748412,1.2151975696000002e-06
50a85aba5f02c6d3084314dea829795aec710884655ed3fa9a727024ed43f311,2017-08-17 07:48:56,0,0.01178686,874066.0,0.0005235999999999991,1,2,2.0,3,0.08363252,0.08363252,0.08363252,0.08363252,0.08363252,0.0,0.08310892,0.07132206,0.01178686,0.04155446,0.04155446,0.0008861100097600002
607969e991c8ec67040e1314a39e918d09fc6450fb648e62d9fdf69edeb851bf,2017-08-18 14:26:21,0.01178686,0,110245.0,0.005000000000004334,264,2,0.007575757575757576,266,5.015000030000004,0.69792,2.137e-05,0.003609885,0.018996212234848483,0.004585699591780397,5.01000003,5,0.01000003,2.505000015,2.505000015,6.2250249251500005
8b140bf83b4bf3493fef85de701d3a984102357d5ab1fd104a080807c8da4295,2017-08-27 08:06:27,0,0.02342441,754806.0,9.000000000000674e-05,1,2,2.0,3,0.04222668,0.04222668,0.04222668,0.04222668,0.04222668,0.0,0.042136679999999996,0.02342441,0.01871227,0.021068339999999998,0.021068339999999998,5.551065844900001e-06
a1d1dba2f6793ed07af9c4b3bc21540c7b266838b2ec530859fd0b84606f6685,2017-08-27 17:26:55,0,0.01156604,33628.0,9.039999999999743e-05,1,2,2.0,3,0.03721433,0.03721433,0.03721433,0.03721433,0.03721433,0.0,0.03712393,0.02555789,0.01156604,0.018561965,0.018561965,4.8942966605625e-05
8ac6eecad7d14fc07ddcc9d31f2facc0cea9307e216c859a459529eefd0ebdd4,2017-09-03 06:28:03,0,0.01076982,565268.0,9.039999999999049e-05,1,2,2.0,3,0.18010948,0.18010948,0.18010948,0.18010948,0.18010948,0.0,0.18001908,0.16924926,0.01076982,0.09000954,0.09000954,0.006278933225678401
59a3464cca0d8a81e82ec1654d4f404b9ca82b551c41dca4353e2fe5d5cb494a,2017-09-08 08:54:00,0,0.00542349,440757.0,0.0001496000000000032,2,2,1.0,4,0.016074190000000002,0.00959857,0.00647562,0.008037095000000001,0.008037095000000001,2.4382041756250017e-06,0.01592459,0.0105011,0.00542349,0.007962295,0.007962295,6.445530828024998e-06
3b174a133393505f8c0815bc703557afb3c4980bac060e2a5132cc70bb89a39b,2017-09-08 14:34:35,0,0.08252331,20435.0,0.00010379999999998724,1,2,2.0,3,1.53414968,1.53414968,1.53414968,1.53414968,1.53414968,0.0,1.53404588,1.45152257,0.08252331,0.76702294,0.76702294,0.46853974347013694
de6a4e9bc6b778643a7416693cc8337a08db56157533c824ae10263d6857684b,2017-09-11 20:29:22,0,0.02346159,280487.0,0.00014959999999999973,2,2,1.0,4,0.04304054,0.03258108,0.01045946,0.02152027,0.02152027,0.0001223415178561,0.04289094,0.02346159,0.01942935,0.02144547,0.02144547,4.064739854399999e-06
c35462eef2b41d8ff968aad84cf26b2f9051f7268defd0716c3589edea5dc89a,2017-09-14 06:30:48,0.08252331,0,208886.0,0.0036837300000014395,78,1,0.01282051282051282,79,5.003683730000001,0.2333,0.00029782,0.05581875,0.06414979141025642,0.0014773260604484968,5,5,5,5.0,5.0,0.0
28869f38b04a9239bb17589a153feed2bcbb206a1a87533c9d1f85818e7c9e33,2017-09-21 05:40:32,0,0.01506175,601784.0,0.00014880000000000101,2,2,1.0,4,0.02535321,0.01432227,0.01103094,0.012676605,0.012676605,2.7082132922250004e-06,0.02520441,0.01506175,0.01014266,0.012602205,0.012602205,6.049361607025002e-06
6997d94091bc8e0956dc5e5a9d525295926d7e685d7166c177db7d8542beedbb,2017-09-24 03:50:15,0.06326776,0,252583.0,0.004999999999999893,163,1,0.006134969325153374,164,5.005,0.2535497,3.001e-05,0.02321951,0.030705521472392642,0.0007250604582047648,5,5,5,5.0,5.0,0.0
d1f018c43575485aff7273f40fe68f7c1592f3dc648549527b553f62e226ff68,2017-09-24 03:50:15,0.01076982,0,0.0,0.004999999999999449,150,2,0.013333333333333334,152,3.0150000499999994,0.245164,0.00150917,0.01463,0.020100000333333333,0.00045385548762455534,3.01000005,3,0.01000005,1.505000025,1.505000025,2.2350249252500007
9aef24527b8e10cac12d2a183fed02f2f9444796a12caab4164b3531af5fc142,2017-10-02 17:09:18,0,0.0128402,739143.0,9.040000000000437e-05,1,2,2.0,3,0.08951701,0.08951701,0.08951701,0.08951701,0.08951701,0.0,0.08942660999999999,0.07658641,0.0128402,0.044713304999999995,0.044713304999999995,0.001015894822341025
