txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
5256969e5570383cd5490ab880b340c9c0dd1f5f04c83749c1b1fcf0d5af1eb9,2019-04-18 10:58:09,0,1.918e-05,,0.0018508200000074693,1,2176,2176.0,2177,0.88178044,0.88178044,0.88178044,0.88178044,0.88178044,0.0,0.8799296199999925,0.64906134,1e-05,2.582e-05,0.0004043794209558823,0.00019353938317433344
3ac140d4d75ccb4571b60457f1c5af7c6b091df5503ac3512b9650cac762cfdc,2019-04-19 03:48:33,1.918e-05,0,60624.0,0.007654319999999881,215,2,0.009302325581395349,217,2.0081086399999997,1,9.58e-06,0.00327845,0.009340040186046512,0.004607596469198153,2.00045432,2,0.00045432,1.00022716,1.00022716,0.9995457316016656
225b6f268fecbae7c2addbd60f27f1b718ccfea48badb919a996c0b5601a1a83,2019-06-23 11:27:34,0,0.00012381,5643541.0,0.002442639999998941,20,2835,141.75,2855,0.31083510999999997,0.22619011,1.008e-05,1.9635e-05,0.015541755499999999,0.002525181927386804,0.30839247000000103,0.01565447,1e-05,2.307e-05,0.00010878041269841271,1.962212707591595e-07
8e0eddca091fd822c5c601e0201994553396dd35919bcc1b5f6f35fd45620742,2019-06-25 00:12:24,0.00012381,0,132290.0,0.024740799999999563,419,2,0.00477326968973747,421,2.0266975999999994,0.475,5.49e-06,0.0013911,0.004836987112171839,0.0005926744762228166,2.0019568,2,0.0019568,1.0009784,1.0009784,0.99804415726656
341d24b82d8724d3df4af7b9daabdae67bb0c4d61af48bb9621c689b2dbc2076,2020-07-07 17:02:00,0,2.31e-05,32719776.0,0.0005027999999999699,1,99,99.0,100,0.31851006,0.31851006,0.31851006,0.31851006,0.31851006,0.0,0.31800726,0.23926044,1.08e-05,7.01e-05,0.0032121945454545455,0.0005723971143459016
3c0f4297102c9ba929c5316fbcc5e868642ebb1b0a9c185938c81e8af7fa6ba7,2020-07-07 19:35:03,2.31e-05,0,9183.0,0.00011351999999999997,10,1,0.1,11,0.00023162999999999998,2.834e-05,5.46e-06,2.8215e-05,2.3162999999999998e-05,8.067330099999999e-11,0.00011811,0.00011811,0.00011811,0.00011811,0.00011811,0.0
c579285c491f564b378afbe984816bb67f3e1583b7c113369461d9692199c882,2020-07-08 15:20:18,0,2.31e-05,71115.0,0.001055249999999841,2,209,104.5,211,0.84471341,0.83597722,0.00873619,0.422356705,0.422356705,0.17108193042886521,0.8436581600000002,0.2886616,2.1e-05,0.00010338,0.004036641913875598,0.0007419118167148826
309d4eed1f60a77d6c0ef291704ec0fe28c788b24bc0a4917f4a9e690e2badcc,2020-07-08 18:17:39,2.31e-05,0,10641.0,0.00031769999999997633,7,2,0.2857142857142857,9,0.41691427999999997,0.2272892,2.31e-05,0.04151688,0.05955918285714285,0.0054898777740187915,0.41659658,0.40826465,0.00833193,0.20829829,0.20829829,0.039986545131649606
72c71d60344e625a6771873b6dbb5ebf912cdb54d525f7edd2b222316cfe0865,2020-07-09 13:30:50,0,2.31e-05,69191.0,0.0006820499999999896,1,135,135.0,136,1.85308576,1.85308576,1.85308576,1.85308576,1.85308576,0.0,1.85240371,1.69390097,2.1e-05,0.00011337,0.013721508962962965,0.021106432174606546
2d8287cf5e33c3e628df8e4efa145b82c09de04226cb73cf9d9b45caf603a632,2020-07-09 14:29:27,2.31e-05,0,3517.0,0.0003744799999999965,8,2,0.25,10,0.053927459999999997,0.0201371,5.46e-06,0.004349525,0.0067409325,5.431059254306874e-05,0.05355298,0.05301745,0.00053553,0.02677649,0.02677649,0.0006885879817216
