txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
7b004ff75df048e02d2c26be85d0b36bfe38bed97a99390aeec85d8a1f9a55ae,2017-10-11 02:33:09,0,0.00158141,,0.04501358000000266,1,1615,1615.0,1616,60,60,60,60.0,60.0,0.0,59.95498642,57.09449864,0.00150095,0.00180686,0.0371238306006192,2.0170657526314693
a5fb146858f123e6986564c3ffc76e76849ad95c628a74fb508ab2fe63ac49f4,2017-10-12 02:30:35,0,0.00160465,86246.0,0.052791760000033605,1,1900,1900.0,1901,24,24,24,24.0,24.0,0.0,23.947208239999966,19.94737243,0.00150143,0.00187678,0.012603793810526318,0.20928345660381845
ea0f8f5becc82401f566314292d30ddd378824e7a4c5970846d3f59f4704c238,2017-10-12 03:09:57,0.011784610000000001,0,2362.0,0.020000000000000462,348,1,0.0028735632183908046,349,1.0200000000000005,0.1106654,0.00010001,0.0015405599999999998,0.0029310344827586207,4.473341414966496e-05,1,1,1,1.0,1.0,0.0
a46954927f4647e78bf54cd28f14ecfe5f03093641bfa8e16b79a28231fc4738,2017-10-12 05:12:11,0.020586499999999997,0,7334.0,0.01999999999999913,617,1,0.0016207455429497568,618,2.019999999999999,0.0665,2.013e-05,0.00163805,0.0032739059967585088,4.3100511575200676e-05,2,2,2,2.0,2.0,0.0
f34c189b142fad8c6895c1e31355862ac9d9eb628d4948bbfd037068332e7a49,2017-10-14 09:16:56,0,0.00161276,187485.0,0.07109141000000463,1,1900,1900.0,1901,16.07471007,16.07471007,16.07471007,16.07471007,16.07471007,0.0,16.003618659999994,12.29604756,0.00150901,0.00188627,0.008422957189473683,0.07950822706494907
30cf703e595c157ab3314098ef00fb8f235de3a2b3b9e5ad92d8d123d8005c94,2017-10-14 10:32:48,0,0.00159277,4552.0,0.056500930000021654,1,1666,1666.0,1667,4.87116552,4.87116552,4.87116552,4.87116552,4.87116552,0.0,4.814664589999978,1.71677138,0.0015013,0.00181632,0.0028899547358943573,0.0017751071544895598
9621f173f5366021ec505e65f0d8896bff8d99272f9da687f928ffb639eff122,2017-10-15 01:40:57,0,0.00164497,54489.0,0.06942242999998749,1,1857,1857.0,1858,3.90772174,3.90772174,3.90772174,3.90772174,3.90772174,0.0,3.8382993100000125,0.32658602,0.00150029,0.00182775,0.0020669355465805063,6.756941460807037e-05
4ebfbb22cd5a6d191cd6aa8e74f37c2597df27e77645a0d82b8adaa4ef14182d,2017-10-16 06:02:49,0,0.00163133,102112.0,0.06997212000052855,1,1873,1873.0,1874,71,71,71,71.0,71.0,0.0,70.93002787999947,67.47795533,0.00150124,0.00184101,0.03786974259476777,2.429575514588182
5a4bbcbfe67c0c3c7ecbdece38ee4ac68ec774846944c8752e9e3217510db5c5,2017-10-17 03:48:30,0,0.00164259,78341.0,0.0692777999999512,1,1855,1855.0,1856,5.31149512,5.31149512,5.31149512,5.31149512,5.31149512,0.0,5.242217320000049,1.83186005,0.00150831,0.00184203,0.002825993164420485,0.0018045119617686853
2b706fb4e4250ae775c162d277d7d6ce2b16c03466b53a4b2ffb67949962a647,2017-10-17 20:22:16,0,0.00164783,59626.0,0.07852080000003081,1,1902,1902.0,1903,4.44263001,4.44263001,4.44263001,4.44263001,4.44263001,0.0,4.364109209999969,0.8398569,0.0015029,0.00184287,0.0022944843375394324,0.0003691401988754711
d918e398027c00a19cd3da97754c5631038d40193b3278681f0345cf467c027b,2017-10-19 03:57:43,0,0.00164362,113727.0,0.07660863000083395,1,1859,1859.0,1860,29,29,29,29.0,29.0,0.0,28.923391369999166,25.4352571,0.00150156,0.00182624,0.015558575239376007,0.3477790165540012
7680b29a9abff368553e04d4fbec680e5d2b77f58864ac7801a38d875458b6c1,2017-10-19 23:29:59,0,0.00162453,70336.0,0.07631292000006518,1,1855,1855.0,1856,8.47939853,8.47939853,8.47939853,8.47939853,8.47939853,0.0,8.403085609999934,4.99646848,0.00150008,0.00183562,0.004529965288409702,0.013441030846524099
14608caa43122147cc6fedbc25ac305027c3e0dd55e8cd0bdee2c6dc097b9ee1,2017-10-20 04:44:13,0,0.00092237,18854.0,2.6269999999999896e-05,3,1,0.3333333333333333,4,0.0009486399999999999,0.00061716,5.206e-05,0.00027942,0.0003162133333333333,5.3899876355555546e-08,0.00092237,0.00092237,0.00092237,0.00092237,0.00092237,0.0
