txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
cce214d1bd943588f80b2b4989fbf0deaaf4a162aa08907925d0da9092e075ce,2015-02-08 14:12:20,0,0.1564,,0.00019999999999997797,10,4,0.4,14,1.8590343800000002,1.0145,0.0052365,0.034613000000000005,0.185903438,0.09525518900993286,1.8588343800000002,1.05766667,0.01116771,0.395,0.46470859500000006,0.1702192773770092
6dd636d063d239d9622828100d05f17cd9ed09d383d1e65a529bb2f0081b3470,2015-02-08 15:47:30,0.1564,0,5710.0,0.00010000000000001674,1,2,2.0,3,0.1564,0.1564,0.1564,0.1564,0.1564,0.0,0.1563,0.08107876,0.07522124,0.07815,0.07815,8.577635137600014e-06
c123e2ee387e4167b024213d5dd4982a227b97238c1d79f49b4acaf838c65854,2015-02-09 12:41:35,0,0.1172,75245.0,9.999999999621423e-05,1,6,6.0,7,54.80935184,54.80935184,54.80935184,54.80935184,54.80935184,0.0,54.80925184,52.16655546,0.075,0.24384,9.134875306666666,370.8061410404389
fa8284d472b0cd856dedb11ce2f2b0b17413bcd535d41f096c5a5bdbde36b01e,2015-02-09 13:38:30,0.1172,0,3415.0,9.999999999998899e-05,1,2,2.0,3,0.1172,0.1172,0.1172,0.1172,0.1172,0.0,0.11710000000000001,0.07399103,0.04310897,0.058550000000000005,0.058550000000000005,0.00023842540746089994
4d5dfcd635c5e32fd1d0e0a8d20a01fd84f5ec74f87b55db03520f06010aa61d,2015-02-10 00:41:56,0,0.12738,39806.0,9.999999999976694e-05,1,3,3.0,4,2.17,2.17,2.17,2.17,2.17,0.0,2.1699,1.2,0.12738,0.84252,0.7233,0.19885898159999996
8aae17151db7f230bbfea02f325b60bce202f219660cd3d8f4eca15dd7e1b9ed,2015-02-10 02:10:07,0.12738,0,5291.0,9.999999999998899e-05,2,2,1.0,4,0.24598504,0.12738,0.11860504,0.12299252,0.12299252,1.9249980750399992e-05,0.24588504,0.232558,0.01332704,0.12294252,0.12294252,0.0120155534556304
4e92d09a2c6a20b6bf6a89fd7b25860e7525fb5be0ab188254500ca1a0c9e1da,2015-02-11 09:45:30,0,0.13185,113723.0,0.00010000000000065512,2,7,3.5,9,3.76163542,2.27179473,1.48984069,1.88081771,1.88081771,0.1528630301680803,3.7615354199999995,1.04935,0.06686667,0.34209,0.5373622028571428,0.18683074167029762
6a95dbb1e9169098cb6b756e37570887c42ee91a3155118636cacc061bf0b9cd,2015-02-11 13:01:07,0.13185,0,11737.0,0.00020000000000000573,6,2,0.3333333333333333,8,0.14473344999999999,0.13185,0.000196,0.00061143,0.024122241666666665,0.0023363128135018806,0.14453344999999998,0.13452915,0.0100043,0.07226672499999999,0.07226672499999999,0.003876609566880624
e873fac454055cd331296befbf2accafa5c0956ef21f9a5e03e309194b52420c,2015-02-12 06:12:48,0,0.19226667,61901.0,9.999999999976694e-05,1,6,6.0,7,16.84903399,16.84903399,16.84903399,16.84903399,16.84903399,0.0,16.84893399,12.46357949,0.1877,0.52161306,2.8081556649999997,19.571569624994066
12b1b45de715acf612c8a822a147373325445f86804a510c42653b86de309c1d,2015-02-12 21:57:52,0.19226667,0,56704.0,0.0,3,2,0.6666666666666666,5,0.90248667,0.641,0.06922,0.19226667,0.30082889,0.06038160587233086,0.90248667,0.89237668,0.01010999,0.451243335,0.451243335,0.19459862807088904
