txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
b3c4a058e3251e83570ccba4ac40e316514c00ecc5026d72a0f30e51f37388dd,2017-09-07 02:16:46,0,0.00179952,,0.007045619999994646,1,697,697.0,698,2.28918057,2.28918057,2.28918057,2.28918057,2.28918057,0.0,2.2821349500000054,0.93496991,0.00150053,0.00171685,0.0032742251793400293,0.0012517005719771064
61f1b323480c55f1b683bcc6f467f4fb3fbb30c80afd8e707d6405d26f7db554,2017-09-09 05:50:47,0,0.00185551,185641.0,0.015989120000082124,1,1589,1589.0,1590,28.63652538,28.63652538,28.63652538,28.63652538,28.63652538,0.0,28.620536259999916,25.35347135,0.00150761,0.0019935,0.018011665361862803,0.4042122833035092
18580dc578121aa78231bf5190b9f5b1970be847da874221d326a09c6e208a3a,2017-09-09 14:06:01,0,0.00024297,29714.0,0.0006573999999996971,1,2,2.0,3,10.89117461,10.89117461,10.89117461,10.89117461,10.89117461,0.0,10.89051721,10.89027424,0.00024297,5.445258605,5.445258605,29.648195265394452
a4cc1bd479dbfca6c6b5b7602918a66b1424bfea70f2b53264e0287578944907,2017-09-11 06:21:35,0,0.00186013,144934.0,0.006415420000033034,1,1031,1031.0,1032,3.87810627,3.87810627,3.87810627,3.87810627,3.87810627,0.0,3.871690849999967,1.78881201,0.0015002,0.00180201,0.003755277255092143,0.00309867168325059
f8b42ce00180114d8cca3cc51259a1481448e9ba6cbe65dc374af30abc6bde10,2017-09-12 23:53:16,0,0.00045677,149501.0,0.0005190000000006023,1,2,2.0,3,10.27794633,10.27794633,10.27794633,10.27794633,10.27794633,0.0,10.27742733,10.27697056,0.00045677,5.138713665,5.138713665,26.401683919015042
71383e8866766ab1155ba875c8bf1cd20f8034fbce3a1b41f0c5d0df150d6458,2017-09-13 04:06:46,0,0.00185949,15210.0,0.003197460000004426,1,1199,1199.0,1200,8.96920947,8.96920947,8.96920947,8.96920947,8.96920947,0.0,8.966012009999995,6.70997269,0.00150062,0.00182127,0.007477908265221016,0.037500602892278474
bb70160b5792353eb7f6ac7dbbe88d88b3e763849431a8d1063494aa515d33e0,2017-09-15 05:44:27,0,0.00184816,178661.0,0.022502109999393838,1,1558,1558.0,1559,34.19002891,34.19002891,34.19002891,34.19002891,34.19002891,0.0,34.16752680000061,31.09134046,0.00150052,0.00184816,0.021930376636713735,0.6199813529916168
614ef28fc0a25a04c14c00980eb355584a51e5428b0e8e71664ee16ac661ce7c,2017-09-16 03:06:56,0,0.00036449,76949.0,0.0003356199999977605,1,2,2.0,3,16.57821923,16.57821923,16.57821923,16.57821923,16.57821923,0.0,16.57788361,16.57751912,0.00036449,8.288941805,8.288941805,68.70051390673261
5cb0b9b19294a2c9034aaf5b78611f3a8508d6d685fe91533b3eb2d51af0fb5a,2017-09-17 02:43:44,0,0.00176867,85008.0,0.030360269999990308,2,1452,726.0,1454,3.5658011099999998,1.99011999,1.57568112,1.7829005549999999,1.7829005549999999,0.042939894241719206,3.5354408400000095,0.81638455,0.00150106,0.00177594,0.0024348766115702483,0.0004575607543141297
44e36aa0b5c582df061f49ab0861c6adf417cea90bfd261ce5bf0ff506e13608,2017-09-18 06:23:47,0,0.00151001,99603.0,0.0003260199999957081,1,43,43.0,44,25.62214254,25.62214254,25.62214254,25.62214254,25.62214254,0.0,25.621816520000003,25.55057856,0.00150044,0.00151625,0.595856198139535,14.827099728932494
