txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
f30712bbf76912e01ecbf6e78bc69822fb190909b39b7adf2fd9507bc02ec6ab,2016-11-08 08:21:10,0,0.0002,,9.999999999999994e-05,1,2,2.0,3,0.00069414,0.00069414,0.00069414,0.00069414,0.00069414,0.0,0.0005941400000000001,0.00039414,0.0002,0.00029707000000000003,0.00029707000000000003,9.4225849e-09
05fb91370c6f7897e25eb1c9f5cce13e9f27fdaa5cbab40201d09121de358e7f,2016-11-08 08:21:10,0,0.00056657,0.0,9.99999999999994e-05,1,2,2.0,3,0.00992516,0.00992516,0.00992516,0.00992516,0.00992516,0.0,0.009825160000000001,0.00925859,0.00056657,0.004912580000000001,0.004912580000000001,1.8887802920100003e-05
4cc8e211edb20103d44789334ba14adb80a0f2cee916f9ea6c2be9a9527d07dc,2016-11-08 08:21:10,0,0.00056657,0.0,9.999999999999593e-05,1,2,2.0,3,0.04237075,0.04237075,0.04237075,0.04237075,0.04237075,0.0,0.04227075,0.04170418,0.00056657,0.021135375,0.021135375,0.00042307573912802503
826190ae38b9caa4ce120d2b03984ec087417cb4843ad72c38b02cb399c7341e,2016-11-08 08:21:10,0,0.00056657,0.0,0.00010000000000000286,1,2,2.0,3,0.01896429,0.01896429,0.01896429,0.01896429,0.01896429,0.0,0.01886429,0.01829772,0.00056657,0.009432145,0.009432145,7.8598420080625e-05
e299eb7437e451629ec6f273f81b34906dfea1df06d6304020e95f32d21b2b1d,2016-11-08 08:39:49,0,0.00056657,1119.0,9.99999999999994e-05,1,2,2.0,3,0.0131596,0.0131596,0.0131596,0.0131596,0.0131596,0.0,0.013059600000000001,0.01249303,0.00056657,0.0065298000000000005,0.0065298000000000005,3.5560112032900005e-05
3382ffc4460aa5ea96bc2cc9277c558a6fd3ac18c3359fb4bb22e36df5e19b87,2016-11-08 08:39:49,0,0.0002,0.0,9.999999999998899e-05,1,2,2.0,3,0.1935179,0.1935179,0.1935179,0.1935179,0.1935179,0.0,0.1934179,0.1932179,0.0002,0.09670895,0.09670895,0.0093139774301025
674e22bf7f7d7f4f9ec4423045503afd08a20688107a061db2e42db14a91a45a,2016-11-08 09:16:58,0,0.0002,2229.0,9.99999999999994e-05,1,2,2.0,3,0.01149451,0.01149451,0.01149451,0.01149451,0.01149451,0.0,0.01139451,0.01119451,0.0002,0.005697255,0.005697255,3.0219812535024998e-05
10fd2a78e3ba3cbb8541b538ef90c3df9aabe560b3596daaa3d1fe5e92746604,2016-11-08 09:40:59,0,0.00056657,1441.0,0.00010000000000000005,1,2,2.0,3,0.00121781,0.00121781,0.00121781,0.00121781,0.00121781,0.0,0.00111781,0.00056657,0.00055124,0.000558905,0.000558905,5.875222499999941e-11
1cca79122319e55f00611acea5dc558c821a98fae2edad7461e99f9419fc3a05,2016-11-08 11:46:56,0,0.00056657,7557.0,0.00010000000000000286,1,2,2.0,3,0.0839617,0.0839617,0.0839617,0.0839617,0.0839617,0.0,0.0838617,0.08329513,0.00056657,0.04193085,0.04193085,0.0017110036599183997
0a0b54db1ac8072312cbb64a8bb0274a0a2ccf6ad7a94520cbb751af84f2eee6,2016-11-08 11:46:56,0,0.00056657,0.0,0.00010000000000000286,1,2,2.0,3,0.03625782,0.03625782,0.03625782,0.03625782,0.03625782,0.0,0.03615782,0.03559125,0.00056657,0.01807891,0.01807891,0.0003066820522756
807192c80aa2f619314720dc5e8bb29d0aaf257429e289904ae516ceb40aa177,2016-11-08 11:46:56,0,0.0002,0.0,9.999999999998899e-05,1,2,2.0,3,0.07559821,0.07559821,0.07559821,0.07559821,0.07559821,0.0,0.07549821000000001,0.07529821,0.0002,0.037749105000000005,0.037749105000000005,0.0014099352863010252
f7aa46b52c64f95b428cc003c1fdc79b2f168f62930ac0afbda2b4eaa9f8cd71,2016-11-08 11:46:56,0,0.0002,0.0,9.99999999999994e-05,1,2,2.0,3,0.00949072,0.00949072,0.00949072,0.00949072,0.00949072,0.0,0.00939072,0.00919072,0.0002,0.00469536,0.00469536,2.02082615296e-05
2f67fc6190725fde3032fb5044835419a370c20956a003e6aa3c6fbd80676d51,2016-11-08 12:11:16,0,0.0002,1460.0,9.999999999999999e-05,1,2,2.0,3,0.00031075,0.00031075,0.00031075,0.00031075,0.00031075,0.0,0.00021075,0.0002,1.075e-05,0.000105375,0.000105375,8.953890625e-09
30e326c3369add29b973cde69c24436e3ed03c859bea46f878ea59d4b25d228b,2016-11-08 12:15:13,0,0.0002,237.0,9.999999999998899e-05,1,2,2.0,3,0.1694985,0.1694985,0.1694985,0.1694985,0.1694985,0.0,0.1693985,0.1691985,0.0002,0.08469925,0.08469925,0.0071401232505624995
ccd8db2d84a45bb1c580aa099b57aca2fced4e9e3fc0d123fb3d6a98f6ce1c24,2016-11-08 13:51:00,0,0.00056657,5747.0,9.99999999999994e-05,1,2,2.0,3,0.03055952,0.03055952,0.03055952,0.03055952,0.03055952,0.0,0.03045952,0.02989295,0.00056657,0.01522976,0.01522976,0.00021500914097610002
f7d8e46746f0f2fb9ddb252a4fceef64fccc5f1064638b8f50ac82ff24498a73,2016-11-08 13:51:00,0,0.00056657,0.0,0.00010000000000001674,1,2,2.0,3,0.214284,0.214284,0.214284,0.214284,0.214284,0.0,0.21418399999999999,0.21361743,0.00056657,0.10709199999999999,0.10709199999999999,0.0113476672366849
a1f84876ce4095262f49a946eeaf17b5f4e3c0bd88fb6baa0bcdaa70317bee6b,2016-11-08 13:51:00,0,0.0002,0.0,9.99999999999994e-05,1,2,2.0,3,0.01832049,0.01832049,0.01832049,0.01832049,0.01832049,0.0,0.01822049,0.01802049,0.0002,0.009110245,0.009110245,7.9392465960025e-05
4124b74464ebf374aff8d5ccf07393d92dc4fb2100cb89951046282ff2031856,2016-11-08 14:23:31,0,0.0002,1951.0,0.00010000000000000286,1,2,2.0,3,0.12368966,0.12368966,0.12368966,0.12368966,0.12368966,0.0,0.12358966,0.12338966,0.0002,0.06179483,0.06179483,0.0037939230827289
4dc04f7568db008e94b7258e11885c982de59de5ee4dbf4bf265f26abd0ff372,2016-11-08 14:34:02,0,0.00056657,631.0,0.00010000000000001674,1,2,2.0,3,0.1758637,0.1758637,0.1758637,0.1758637,0.1758637,0.0,0.1757637,0.17519713,0.00056657,0.08788185,0.08788185,0.0076239581214784
0d02731b02e18dcfd0743bca518155846c9e896c33866458dae8c38e6dbbac14,2016-11-08 15:21:12,0,0.0002,2830.0,9.999999999999593e-05,1,2,2.0,3,0.0322651,0.0322651,0.0322651,0.0322651,0.0322651,0.0,0.0321651,0.0319651,0.0002,0.01608255,0.01608255,0.00025225539450250006
f940932032b38f6500c93e9c3ffde80004922abccb3e457ad186faa938c65d4e,2016-11-08 15:33:14,0,0.00056657,722.0,9.999999999999983e-05,1,2,2.0,3,0.00126992,0.00126992,0.00126992,0.00126992,0.00126992,0.0,0.00116992,0.00060335,0.00056657,0.00058496,0.00058496,3.381921000000007e-10
c7996b5f40a18659594720946ca3c58190e41e97c9880b14b12f3cfa43dbef38,2016-11-08 16:22:52,0,0.0002,2978.0,9.999999999998899e-05,1,2,2.0,3,0.157907,0.157907,0.157907,0.157907,0.157907,0.0,0.157807,0.157607,0.0002,0.0789035,0.0789035,0.00619424091225
251e676ba1bb66a4d2bd106283d85b30b7d4998f07103629cbb97cc3f71cc985,2016-11-08 16:34:23,0,0.00056657,691.0,9.99999999999994e-05,1,2,2.0,3,0.01066583,0.01066583,0.01066583,0.01066583,0.01066583,0.0,0.01056583,0.00999926,0.00056657,0.005282915,0.005282915,2.2243910159024998e-05
32f45957b10c54d6cb4e1ef259a85687cccebf725ac62c15d6d03b108b6c09ff,2016-11-08 17:20:47,0,0.0002,2784.0,0.00010000000000000286,1,2,2.0,3,0.01608547,0.01608547,0.01608547,0.01608547,0.01608547,0.0,0.015985469999999998,0.01578547,0.0002,0.007992734999999999,0.007992734999999999,6.0726718780225e-05
