txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
a25032d4406cfb452b0fb23b45ad688bd93c2ca837412496cf31cd7abbe78ef5,2017-11-12 15:57:23,0,0.00015,,0.003599999999999992,17,903,53.11764705882353,920,0.18891726,0.02,0.006,0.01,0.011112780000000001,1.8544319395635297e-05,0.18531726,0.005,0.00015,0.00015236,0.00020522398671096343,5.813506200714046e-08
c89103626ef5b05861ca4382c42fdedfa62a80c9565e4793809f1a6954d94ed1,2018-04-02 13:57:50,0.00015,0,12175227.0,0.007482800000000012,369,1,0.0027100271002710027,370,0.10748280000000002,0.0012097,9.598e-05,0.00024649,0.00029128130081300813,3.690448472351114e-08,0.1,0.1,0.1,0.1,0.1,0.0
b1b31b0e009b96b830470d90d212c13a601815e3fdb2a37abb4de292b32afc1e,2018-05-11 10:10:51,0,0.00010057,3355981.0,3.508000000002065e-05,1,102,102.0,103,0.12,0.12,0.12,0.12,0.12,0.0,0.11996491999999997,0.10512975,0.00010003,0.00012516,0.0011761266666666667,0.00010700211771010848
bbb4338bb3c3988c903de707e95fc4aa2be15ae0f2b8ac3df08af34ed317541b,2018-05-23 10:31:29,0.00010057,0,1038038.0,0.005498649999999383,210,1,0.004761904761904762,211,2.0054986499999994,0.21066602,1e-05,0.00510293,0.00954999357142857,0.00039464224315377246,2,2,2,2.0,2.0,0.0
07fc4c4be59e74d4435272013bc3f33de6c049cd4e38025207572996f819eabc,2019-09-25 02:02:38,0,1.48e-05,42305469.0,0.00023572000000001217,1,277,277.0,278,0.02059097,0.02059097,0.02059097,0.02059097,0.02059097,0.0,0.020355249999999988,0.00254107,1e-05,2.106e-05,7.348465703971119e-05,3.764022028047805e-08
8b070f63b5aee9ea2c831e30725acb38458d9089ac71b45d68dd752af9dbecb2,2019-10-04 19:54:32,1.48e-05,0,841914.0,0.0017612000000006844,59,2,0.03389830508474576,61,3.0021396000000005,0.4093,1.48e-05,0.03354294,0.0508837220338983,0.0033529087044852973,3.0003784,3,0.0003784,1.5001892,1.5001892,2.24943243579664
2a4111e18a8b37dc06727ca3980ec3dbe5c2e144c730d4bb3ed89a1a092c27e1,2021-03-30 14:31:53,0,1e-05,46895841.0,0.009047250000000354,2,3000,1500.0,3002,0.12177981,0.09086647,0.03091334,0.060889905,0.060889905,0.0008985944491992251,0.11273255999999965,0.01953051,1e-05,1.2434999999999999e-05,3.7577520000000005e-05,1.290860329332496e-07
27e4920213768ec6feb0e5f4ace83beac8708e5d6eebe959151e9d36574bd46a,2021-03-31 18:58:55,1e-05,0,102422.0,0.00010106000000000001,2,1,0.5,3,0.00017,0.00016,1e-05,8.5e-05,8.5e-05,5.625000000000001e-09,6.894e-05,6.894e-05,6.894e-05,6.894e-05,6.894e-05,0.0
f3ed86b1aef0b81110b284d7564a97482377386537c325092a548264f32632ff,2021-05-02 19:12:17,0,1e-05,2765602.0,0.006056200000000331,4,2999,749.75,3003,0.10191135999999999,0.06875784,0.00918521,0.011984155,0.025477839999999998,0.0006276880872579499,0.09585515999999966,0.00854584,1e-05,1.643e-05,3.1962374124708234e-05,2.609437273534387e-08
91fbae7e2382a1fee31085146ed917dac844c52ae9c8df13359a0ba841399947,2021-06-13 06:46:01,0,1.006e-05,3584024.0,0.0020180899999981405,1,3000,3000.0,3001,0.21075619,0.21075619,0.21075619,0.21075619,0.21075619,0.0,0.20873810000000187,0.12936742,1e-05,1.5e-05,6.957936666666667e-05,5.575912296622335e-06
1f7d0f20e8f95436500f314ff13312035b7302dd94fb09f2583b25024b50048a,2021-06-26 10:08:50,0,5.46e-05,1135369.0,9.35e-05,1,1,1.0,2,0.0001481,0.0001481,0.0001481,0.0001481,0.0001481,0.0,5.46e-05,5.46e-05,5.46e-05,5.46e-05,5.46e-05,0.0
7d2dc1c275cadf6f1c455953385faffeacb289cc71732ff757e237c95daaa2d8,2021-06-27 17:41:19,5.46e-05,0,113549.0,0.00025846000000000007,2,1,0.5,3,0.00087653,0.00082193,5.46e-05,0.000438265,0.000438265,1.47198832225e-07,0.00061807,0.00061807,0.00061807,0.00061807,0.00061807,0.0
