txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
a1d544beaa08c0c7d41c4ab0741027f7f00e517aa570c66be6c84cd6471ecd3c,2016-12-31 02:21:01,0.0008094700000000001,0,,0.00745700000000582,483,1,0.002070393374741201,484,10.007457000000006,2.0422263,6e-05,0.00226285,0.02071937267080745,0.010377117364024026,10,10,10,10.0,10.0,0.0
642e1864498b7855f3ded58e58cd447bbccfb9e2773a05600b0648f84fdf71c8,2017-01-01 01:06:33,0.00148201,0,81932.0,0.007457000000011149,376,1,0.0026595744680851063,377,15.007457000000011,2.04952472,6.283e-05,0.011875199999999999,0.0399134494680851,0.016101503184766622,15,15,15,15.0,15.0,0.0
6ba574be0e2adf61868dd8cc3d5576c411acd34ddfb4da5f0b345148765e3d95,2017-01-01 22:44:45,0,0.00039911,77892.0,0.024533289999988828,1,1668,1668.0,1669,3.68253159,3.68253159,3.68253159,3.68253159,3.68253159,0.0,3.657998300000011,3.09638052,0.00020094,0.00036125,0.0021930445443645082,0.005743323997823704
295f11f235ce1b5d57474fc68e9abcc8428a0fe20b3d59f5df256a1b1437fe01,2017-01-02 19:11:18,0,0.00020432,73593.0,0.023110160000052282,1,1327,1327.0,1328,5.51158451,5.51158451,5.51158451,5.51158451,5.51158451,0.0,5.488474349999947,5.16798129,0.00020023,0.00020444,0.00413600177091183,0.02010962539524516
e71d42cff21537d7fbf38e3a016132f2dd8bd6a373ea5d14fc7f916ff38206cd,2017-01-04 06:36:16,0,0.00021179,127498.0,0.03056797999999361,1,1756,1756.0,1757,1.47317519,1.47317519,1.47317519,1.47317519,1.47317519,0.0,1.4426072100000065,0.9379634,0.00020048,0.00023647,0.0008215303018223236,0.0005006535321010207
3def588e1ebdcbd4be3cce20d2ca3614d7636bafb26c90065db8a48ba80dc88c,2017-01-05 07:28:50,0,0.00021261,89554.0,0.027536669999987495,1,1437,1437.0,1438,4.66472328,4.66472328,4.66472328,4.66472328,4.66472328,0.0,4.637186610000012,4.13737582,0.00020027,0.00021261,0.003226991377870564,0.011915455224421702
91745411c7fafc175b7a2cc335104676db530a3495cfdd20b9f05d361efb4d5b,2017-01-06 12:06:43,0,0.00022126,103073.0,0.03931440999999769,1,1798,1798.0,1799,0.63265166,0.63265166,0.63265166,0.63265166,0.63265166,0.0,0.5933372500000023,0.11920636,0.00020188,0.00023974,0.0003299984705228031,7.89474916793687e-06
f201273b5972842d54772258a3eb028772783926806191c27669e8db8784dec1,2017-01-06 12:06:43,0,0.00020452,0.0,0.0031117900000000587,1,138,138.0,139,0.66744247,0.66744247,0.66744247,0.66744247,0.66744247,0.0,0.66433068,0.63265166,0.00020026,0.00020621,0.004813990434782608,0.002877289292004426
f2208cc9d2b9e17a2495441089380c4eca6c4d19d91091873ec1810523a6baf8,2017-01-07 08:16:17,0,0.00020585,72574.0,0.03275458999976166,1,1497,1497.0,1498,4.66311321,4.66311321,4.66311321,4.66311321,4.66311321,0.0,4.630358620000238,4.26979148,0.00020033,0.00021718,0.0030930919305277227,0.012168969189778816
cd6191bd54ccd9d173c389ba7bc36a53822000e761ea00fa7e5503c63d9df45a,2017-01-08 21:03:29,0,0.00036241,132432.0,0.03169891999995045,1,1448,1448.0,1449,5.68105809,5.68105809,5.68105809,5.68105809,5.68105809,0.0,5.649359170000049,5.19679234,0.00020011,0.00036096,0.003901491139502763,0.018635985025475407
