txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
dcea066ba8ef24221e0c0de5bef4eae2391b91982b0201783045249a1888a683,2018-07-02 05:16:35,0.00091431,0,,0.0006128000000000244,41,2,0.04878048780487805,43,0.3106128,0.05597208,2.34e-05,0.002173,0.007575921951219513,0.0001811472488469718,0.31,0.3,0.01,0.155,0.155,0.021025
df37b6fc839b43fcf14252281b9cce629efe6e7caf6c35f57382230c41248df6,2018-07-02 05:16:35,0.00098138,0,0.0,0.0010806000000002092,71,1,0.014084507042253521,72,0.5010806000000002,0.06658199,7.7e-06,0.00161215,0.0070574732394366214,0.00016270122077516273,0.5,0.5,0.5,0.5,0.5,0.0
72e5a28ec2358a0adfe731fae7c77ee92453c40651a62d86b143057dc7102f8b,2018-07-02 05:16:35,0.0055920499999999995,0,0.0,0.002393499999999271,157,1,0.006369426751592357,158,2.0023934999999993,0.1613272,1e-05,0.00362446,0.012754098726114651,0.0006764152336006073,2,2,2,2.0,2.0,0.0
4feee4856d302842687edfb75122ed319c2a3f6a08ac9a68097c768fb2151488,2018-07-04 06:36:33,0,0.00100522,177598.0,0.004658500000005006,3,546,182.0,549,30.15634397,12.64885967,4.86715844,12.64032586,10.052114656666667,13.441897622027346,30.151685469999997,1.6503275,0.00090028,0.01032763,0.05522286716117217,0.03149773185093605
6296aea9bfd0078576569f8342e394f524d839005f3f44a0c68f690e14895533,2018-07-07 11:12:27,0,0.00091878,275754.0,0.0015204999999980373,1,178,178.0,179,12.55284483,12.55284483,12.55284483,12.55284483,12.55284483,0.0,12.551324330000002,6.29001663,0.00090138,0.010189465,0.07051305803370786,0.22510296243636427
435ba2012a43ac92007c17e7a23a64b4994a5c89f510f623ba09fb63baffbaef,2018-07-08 18:05:00,0,0.00091051,111153.0,0.004618999999991047,3,541,180.33333333333334,544,30.97866339,12.71680181,5.57086365,12.69099793,10.32622113,11.306823354666484,30.97404439000001,2.73974518,0.00090256,0.01045496,0.05725331680221812,0.045874810565725926
0aa3d7cbbd35484632645675f5a6f28440a604975ce254c5701e4602f7d8dcc6,2018-07-11 16:12:30,0,0.00094989,252450.0,0.0030140000000216105,2,353,176.5,355,25.17122929,12.61347745,12.55775184,12.585614645,12.585614645,0.0007763359024680152,25.168215289999978,4.00040134,0.00090276,0.01032734,0.07129806031161473,0.09285654745616828
6d75435d5a2c61ce8efe739b62666159874576af276eddbcff112e2318b30028,2018-07-12 22:00:39,0.00100522,0,107289.0,0.0015671999999997688,105,1,0.009523809523809525,106,0.5015671999999998,0.162,1.4e-05,0.0016,0.004776830476190475,0.00025265519772825213,0.5,0.5,0.5,0.5,0.5,0.0
afadbea525e5fd374c081b467664d7144d90fee66216491eb29723640da2d154,2018-07-12 22:00:39,0.00182929,0,0.0,0.002585100000000118,172,1,0.005813953488372093,173,1.0025851000000001,0.05019627,1.24e-05,0.00285559,0.005828983139534885,5.919399653562269e-05,1,1,1,1.0,1.0,0.0
7d19c272eadbcd68c8353b46c954c0a2626614710a2e5095b47f3000bf893fb4,2018-07-15 11:13:35,0,0.00093171,220376.0,0.0018434999999943358,1,217,217.0,218,12.51808788,12.51808788,12.51808788,12.51808788,12.51808788,0.0,12.516244380000005,3.5794999,0.00090101,0.01025474,0.05767854552995392,0.06752970567607805
