txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
3304382feecd18d68178296993afbcf418a7745d30337a57237e32c11d4be637,2018-06-05 16:02:38,0,0.00025018,,2.921999999999647e-05,1,82,82.0,83,0.10261619,0.10261619,0.10261619,0.10261619,0.10261619,0.0,0.10258697,0.08280632,0.00015,0.00016046,0.0012510606097560976,8.230396773784478e-05
bbe616346d670bec3b9b42e5d77d8a7dbd751bac437244001d3a3384c4afb353,2018-06-15 06:48:48,0.00025018,0,830770.0,0.000829899999999606,47,1,0.02127659574468085,48,1.0008298999999996,0.209682,0.00010053,0.0029578,0.02129425319148936,0.002023623285206431,1,1,1,1.0,1.0,0.0
1ea61e67cffedf58ad552762c06d31fbf07dcf83672dba580c84104cbc2a9d56,2019-01-09 03:29:42,0,0.000755,17959254.0,0.0006739199999969969,1,250,250.0,251,109.44554411,109.44554411,109.44554411,109.44554411,109.44554411,0.0,109.44487019,108.83985733,0.0003,0.00037166499999999997,0.43777948076,47.19285786935427
5cfb4b2ea20a78ae33deaec8d9f785e8f60f78b59154566713b8ba995f45b6c0,2019-01-09 14:15:10,0,0.00052843,38728.0,3.940000000000887e-06,1,7,7.0,8,0.02242308,0.02242308,0.02242308,0.02242308,0.02242308,0.0,0.02241914,0.02097644,0.00015079,0.00019487,0.0032027342857142856,5.2665958649110206e-05
d50bd9b922851987d4ecf0e4cb03674d79fe4e9644eee977928aa6df752dfc49,2019-01-10 02:18:32,0,0.0005052,43402.0,9.923999999999697e-05,5,101,20.2,106,0.0213,0.006,0.0027,0.0044,0.00426,1.5903999999999998e-06,0.021200760000000003,0.00362661,0.0001,0.0001031,0.00020990851485148517,2.2626615599878446e-07
cb155b4781b604a3919af0f6341214697f93a29518b8d4e4cedd34b9e7833e16,2019-01-22 05:44:17,0.0017886299999999998,0,1049145.0,0.004990899999999243,340,2,0.0058823529411764705,342,3.0050345999999992,0.492594,1e-05,0.001927885,0.00883833705882353,0.0010499299535903842,3.0000437,3,4.37e-05,1.50002185,1.50002185,2.2499344504774226
da4446be5f8a390377eee98d26085ddf5b883c80bb8934ba50f989f3f4d8211c,2019-03-25 08:10:47,0,0.00026613,5365590.0,0.0017979999999999663,4,250,62.5,254,0.76430471,0.69221713,0.00754856,0.03226951,0.1910761775,0.08381850142618234,0.76250671,0.68196095,0.00025001,0.0002608,0.00305002684,0.001851147383991353
f1eb640ec6b0ff8ebe8e8f88e354700f6cea49063f92360eb89e24a319fd3629,2019-04-05 00:36:06,0.00026613,0,923119.0,0.022737859999997667,136,2,0.014705882352941176,138,6.032972899999998,4.49951156,1.261e-05,0.00328209,0.04436009485294118,0.1473522082557464,6.01023504,6,0.01023504,3.00511752,3.00511752,8.96932106901095
d610ba0d3e8751be5f1045ce2671537abb334ab76f182bee2f2f08e8fdab1353,2019-07-01 08:02:22,0,0.00030522,7543576.0,0.003604999999999997,5,157,31.4,162,0.05680049,0.03002773,0.00076458,0.01088501,0.011360098,0.00011380658482141597,0.053195490000000005,0.00579313,0.00025005,0.00025897,0.00033882477707006367,2.0474138227208408e-07
5c4076d520d6560261f8e4e9c8881f7fdaa927e24538921597756f851a477a96,2019-07-05 08:18:26,0.00030522,0,346564.0,0.005427899999999042,366,2,0.00546448087431694,368,1.705513699999999,0.03356758,1e-05,0.002587465,0.004659873497267759,3.746055472620744e-05,1.7000857999999999,1.7,8.58e-05,0.8500428999999999,0.8500428999999999,0.72242707184041
