txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
41b817fab8df951ac419c4bc10823d2eb7ff439645d13739924d1777bdfadbef,2020-01-20 11:57:07,0,0.00059752,,0.0003598799999835478,1,250,250.0,251,46.98241652,46.98241652,46.98241652,46.98241652,46.98241652,0.0,46.98205664000002,46.56277568,0.0003,0.00049548,0.18792822656000002,8.637135891200062
6ead5f87d7143ced652b83a0ff3ed996aba1eaaa2bc5ec8fcbc1051d72a445e6,2020-01-20 21:43:06,0.00059752,0,35159.0,0.002740649999999345,149,2,0.013422818791946308,151,2.2927940499999995,0.20213077,8.47e-06,0.00347482,0.01538787953020134,0.0009716037883813415,2.2900534,2.29,5.34e-05,1.1450267,1.1450267,1.31096385771289
dab6562b075a4046d4b6ea0fa2e65c4db52390d69e7eb92a94cd416c195a7459,2020-06-12 16:11:04,0,1.628e-05,12421678.0,5.7369999999973276e-05,2,119,59.5,121,0.07304279999999999,0.073,4.28e-05,0.036521399999999996,0.036521399999999996,0.0013306882579599997,0.07298543000000002,0.029448,6.06e-06,0.0001028,0.0006133229411764707,7.86055875756866e-06
20c2a5184f01106bdc664d42e0c4c32fd9c39be4e0a811727d5c01ceaef8a3d1,2020-06-12 22:08:16,1.628e-05,0,21432.0,0.002523000000000053,62,2,0.03225806451612903,64,4.01000001,0.46185575,9.57e-06,0.009478805,0.06467741951612903,0.012617327500711779,4.00747701,4,0.00747701,2.003738505,2.003738505,3.985059956419635
d89f812bcfbaa07fceea13fd8dcf67de5e9f52e20ff0ee2fd2904d38819c3390,2020-06-27 01:11:02,0,0.00010033,1220566.0,0.0003748400000009866,1,40,40.0,41,9.17547998,9.17547998,9.17547998,9.17547998,9.17547998,0.0,9.17510514,5.92522748,0.00010033,0.00703698,0.22937762850000004,0.8909595309698501
606160cbd0de57cd7f30f84db0b8dda3b69a6632667ce718eee9fc79d84cb9a2,2020-06-27 02:45:44,0.00010033,0,5682.0,0.0003263699999997982,10,1,0.1,11,0.6804779399999998,0.44582255,0.00010033,0.009853385,0.068047794,0.016884984765585583,0.68015157,0.68015157,0.68015157,0.68015157,0.68015157,0.0
5a3202a679541bae5a1f350254ce060a3aeab2582e771a75a3dd883d805b21e0,2020-07-08 14:28:34,0,0.00011239,992570.0,2.2000000000001185e-05,2,24,12.0,26,0.02130726,0.01097394,0.01033332,0.01065363,0.01065363,1.0259849609999992e-07,0.02128526,0.01828312,0.0001,0.00010314,0.0008868858333333335,1.3163557247249303e-05
fa78559679a2e5aa4c2a5fd71ebc7f8a761c57133b8d8f63bd63ab7b4c47e96d,2020-07-08 16:29:19,0.00011239,0,7245.0,0.0004367400000000188,10,2,0.2,12,0.13345505000000002,0.1,5.46e-06,0.00039918500000000003,0.013345505000000002,0.0008681681935582851,0.13301831,0.13035794,0.00266037,0.066509155,0.066509155,0.004076667345976226
189936def178e8f285fdbfaef5b853d154e5548a5311b87c583f948f34c78d90,2020-07-09 11:22:11,0,5.03e-05,67972.0,3.7780000000001146e-05,2,48,24.0,50,0.00579203,0.00545031,0.00034172,0.002896015,0.002896015,6.524422947024999e-06,0.005754249999999999,0.00234659,5e-05,5.1450000000000004e-05,0.00011988020833333333,1.1089652216453993e-07
b68eb2303f262e788599463d8672050fda82e65ece34c94a77cdbd443913e193,2020-07-09 12:22:01,5.03e-05,0,3590.0,0.00020034000000002106,11,2,0.18181818181818182,13,0.26783578,0.21,1e-05,0.00586117,0.024348707272727275,0.0034919013228435465,0.26763544,0.26495909,0.00267635,0.13381772,0.13381772,0.017198058925476902
