txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
912b23abb423ecc0ba7bcfcab46f325a3bc678cc6298dc80c25392f1d7022157,2022-01-06 18:58:17,0,0.00023,,2.6280000000000053e-05,1,2,2.0,3,0.00100844,0.00100844,0.00100844,0.00100844,0.00100844,0.0,0.00098216,0.00075216,0.00023,0.00049108,0.00049108,6.816276639999999e-08
2ac2d87dfb1776024d8df8754868c410bea062c9cca5c347aebd3f998d9ad3b3,2022-01-06 20:24:21,0,0.01,5164.0,8.759999999996548e-06,1,2,2.0,3,0.2366,0.2366,0.2366,0.2366,0.2366,0.0,0.23659124,0.22659124,0.01,0.11829562,0.11829562,0.0117279413111844
ed3c20d6116364493bbabffde217aaac285539ebc4a9f21c5c3c55aa2e24de7b,2022-01-06 21:38:03,0,0.0117,4422.0,6.570000000011289e-06,1,2,2.0,3,0.17362138,0.17362138,0.17362138,0.17362138,0.17362138,0.0,0.17361480999999998,0.16191481,0.0117,0.08680740499999999,0.08680740499999999,0.005641122285834024
21b2b7f1251c5df05fb227ab72af270978d466865eec2ed11be8632bf78b311e,2022-01-07 03:43:43,0.00023,0,21940.0,0.00024260999999999727,2,1,0.5,3,0.046048,0.045818,0.00023,0.023024,0.023024,0.0005195664359999999,0.04580539,0.04580539,0.04580539,0.04580539,0.04580539,0.0
ec62473ff1b87b75e0f6aa1e83ae688669d60e89a458d1ff2f23ae186e2feaed,2022-01-07 10:13:51,0,0.00126,23408.0,1.3150000000003437e-05,1,2,2.0,3,0.06875879,0.06875879,0.06875879,0.06875879,0.06875879,0.0,0.06874564,0.06748564,0.00126,0.03437282,0.03437282,0.0010964588483524
ea992438d4ed2a149a1a36f71b02f7f91c1992f9f3e99696ceb97a8c3bd14a0a,2022-01-07 13:26:12,0.00126,0,11541.0,0.0002441400000000001,2,1,0.5,3,0.00157522,0.00126,0.00031522,0.00078761,0.00078761,2.2315231210000003e-07,0.00133108,0.00133108,0.00133108,0.00133108,0.00133108,0.0
42157e6cfd2d5da7c4b0c96e3a782e5e04aa7d4accc5c323f96e89a5fba6bd59,2022-01-07 13:32:39,0,0.0007016,387.0,1.5180000000003524e-05,1,3,3.0,4,0.32509205,0.32509205,0.32509205,0.32509205,0.32509205,0.0,0.32507687,0.28729441,0.0007016,0.03708086,0.10835895666666667,0.016229523322827354
2e968b689a9e0aee140a82b4efedc888f078220c4eb4086e3bdceb985e17543f,2022-01-10 10:03:52,0.0007016,0,246673.0,0.0001589,1,2,2.0,3,0.0007016,0.0007016,0.0007016,0.0007016,0.0007016,0.0,0.0005427,0.00028789,0.00025481,0.00027135,0.00027135,2.735716e-10
bda8fcfe5017bd89c5a24d7417413addaf0b88a4ebf73bf4b6e446bb7e9ebff6,2022-01-11 20:12:16,0.0117,0,122904.0,0.00024333999999999988,2,1,0.5,3,0.01181842,0.0117,0.00011842,0.00590921,0.00590921,3.35332488241e-05,0.01157508,0.01157508,0.01157508,0.01157508,0.01157508,0.0
a742f8632c3ac2ebd18174199693d2965c3d27487459e3f5a89118e2c2f9004b,2022-01-21 12:11:26,0.01,0,835150.0,0.0002458000000000009,2,1,0.5,3,0.01054207,0.01,0.00054207,0.005271035,0.005271035,2.2363109971225e-05,0.01029627,0.01029627,0.01029627,0.01029627,0.01029627,0.0
