txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
5df6cffcc8ebf1aa55e189ad5dd9511bb574b1ea94ea73f3cce37dde1f10385c,2016-12-09 06:44:07,0.00051657,0,,0.007457000000000491,144,1,0.006944444444444444,145,13.363457,2.60233042,0.0001,0.01232574,0.09280178472222222,0.08878329336172895,13.356,13.356,13.356,13.356,13.356,0.0
63860d936d116a57ced59a84ec096b866a6e22291f8a89eeed2e1622959c5896,2016-12-09 14:45:15,0,0.00028798,28868.0,0.04844017000002587,1,2526,2526.0,2527,8.31258224,8.31258224,8.31258224,8.31258224,8.31258224,0.0,8.264142069999973,6.11742569,0.00025535,0.00077453,0.0032716318566904197,0.014807382915765546
90b11ffd1b881a91ea11f035000477e833c22330598dc9af7a1f168868811cf7,2016-12-10 13:06:24,0.0002795,0,80469.0,0.007456999999998715,116,1,0.008620689655172414,117,16.007457,5.3424,9.93e-05,0.00786856,0.13799531896551723,0.28188211900119853,16,16,16,16.0,16.0,0.0
8a2235cb3f1a2a9ead40725fbaf75354bee685f593a8d48e1a8c9c25347e70e3,2016-12-11 07:38:14,0,0.00028886,66710.0,0.04843111999985261,1,2520,2520.0,2521,11.07776544,11.07776544,11.07776544,11.07776544,11.07776544,0.0,11.029334320000148,8.86247384,0.00025997,0.00077459,0.004376719968253969,0.031153312030421012
743fffaa54b11a96435910380282541b22bf83492e99ca0a74ac2bf9c865966e,2016-12-12 03:12:41,0,0.00029139,70467.0,0.04839144000001294,1,2521,2521.0,2522,3.47261033,3.47261033,3.47261033,3.47261033,3.47261033,0.0,3.4242188899999872,1.24045754,0.00027197,0.00077685,0.0013582780206267357,0.0006109287034014309
151352a1f74ce36b721bfe93a39c158be9d8ebd38c421c2310a2955f959c0e2a,2016-12-13 03:49:45,0,0.00028469,88624.0,0.048391239999975966,1,2524,2524.0,2525,9.74009465,9.74009465,9.74009465,9.74009465,9.74009465,0.0,9.691703410000024,7.37693828,0.00026571,0.00077318,0.003839819100633914,0.02155050980602118
c47a14c53dbee979f9a046e22682a4864dc247fefc281903a7417833a3ecb9f2,2016-12-13 07:55:01,0.00057267,0,14716.0,0.007456999999995162,194,2,0.010309278350515464,196,17.017456999999997,2.864268,0.00010007,0.006713135,0.08771885051546392,0.0746736924549208,17.01,17,0.01,8.505,8.505,72.165025
d74030717f14ba6ff2058e59e70dc18e1449ea579d5d030770b9a9e7eaaf4d4b,2016-12-14 02:51:15,0,0.00029455,68174.0,0.04376886999999208,1,2525,2525.0,2526,8.66643777,8.66643777,8.66643777,8.66643777,8.66643777,0.0,8.622668900000008,6.57080891,0.00027491,0.00077974,0.0034149183762376225,0.017088622920548774
4158f7bbbe5826d46a8f77183b39c7bb645ae5e87c8c179ccbf3a63b24a4f7dd,2016-12-15 03:49:31,0,0.00029832,89896.0,0.043755970000075806,1,2524,2524.0,2525,8.38830083,8.38830083,8.38830083,8.38830083,8.38830083,0.0,8.344544859999925,6.26771404,0.00027843,0.00078321,0.0033060795800316962,0.015554472058911549
096c449e951274b8f6c526e80080ef017327ebcf6115c304fd525cd2bcb1dab0,2016-12-16 03:04:03,0,0.00029868,83672.0,0.05490719999998461,1,2514,2514.0,2515,14.86,14.86,14.86,14.86,14.86,0.0,14.805092800000015,12.60867421,0.00027877,0.00078448,0.005889058392999204,0.06320550886731979
fa332ed91269dd522770917cb86ce791787468d16f965ef596c7a9f12be741e0,2016-12-16 11:13:24,0,0.00021483,29361.0,0.05468891000002252,1,2504,2504.0,2505,10.65133785,10.65133785,10.65133785,10.65133785,10.65133785,0.0,10.596648939999978,8.77442191,0.00020222,0.00067299,0.0042318885543130985,0.030730755163181026
e32925e132ac768dc577e6da91250b6835acc511276e41e29feaa39713035f44,2016-12-16 22:36:55,0.0008820899999999999,0,41011.0,0.007457000000009373,218,1,0.0045871559633027525,219,15.00745700000001,0.9191714,8.75e-05,0.014549425000000001,0.06884154587155963,0.01959254129846523,15,15,15,15.0,15.0,0.0
