txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
2bc893b33b370dd3fa7411c8e21243281c01faeb46a5e72d882b474f5e9e8736,2017-03-26 19:05:10,0,0.00023051,,0.000572569999999939,1,196,196.0,197,0.20860911,0.20860911,0.20860911,0.20860911,0.20860911,0.0,0.20803654000000005,0.16389639,0.00021419,0.00022543,0.0010614109183673466,0.0001359756058852941
a407ce7fc3e4b4dfe13781c5cd601473ccea7edd5a9b4154b214c05d463f6064,2017-04-16 22:14:18,0,0.00020508,1825748.0,0.0008657499999999707,1,199,199.0,200,0.235,0.235,0.235,0.235,0.235,0.0,0.23413425000000002,0.19329987,0.0002,0.00020545,0.0011765540201005029,0.00018642107122705625
965fb039c5732c50f22e736b839e49ba01c242e2f7a2563585aa69c5100f5bf8,2017-05-22 05:42:35,0,0.00021249,3050897.0,0.0020076000000000815,1,194,194.0,195,0.17730069,0.17730069,0.17730069,0.17730069,0.17730069,0.0,0.17529308999999993,0.13184116,0.00021177,0.00022447,0.0009035726288659793,8.883246567652248e-05
5425842089f740b615212b5eeb705e98f1b4f34c6c264055174ba9ad582cc3cd,2017-07-30 08:40:20,0.00021249,0,5972265.0,0.004493369999999927,429,1,0.002331002331002331,430,0.10449336999999993,0.00037457,0.00010068,0.00023689,0.00024357428904428906,8.535748184339359e-10,0.1,0.1,0.1,0.1,0.1,0.0
45c510eeab0ccb737ae22c50611cf52145447870acc283879a8db87019be4e3d,2017-07-30 08:40:20,0.00023051,0,0.0,0.00472135999999998,359,1,0.002785515320334262,360,0.10472135999999999,0.01305671,0.00010684,0.00020064,0.00029170295264623953,8.322833905188586e-07,0.1,0.1,0.1,0.1,0.1,0.0
0de2dc4d6798e61d51a3adf93cb6631ec57b068c5ae8b63601f918f4d8ea1eeb,2017-07-30 08:48:07,0.00020508,0,467.0,0.004927860000000062,471,1,0.0021231422505307855,472,0.10492786000000007,0.000377,0.00016671,0.00021,0.00022277677282377922,8.974226528549725e-10,0.1,0.1,0.1,0.1,0.1,0.0
fd266508c3cac0c790779e63fb403915e753578f697d5e273ad876bded5375b3,2017-12-02 12:33:06,0,0.00032708,10813499.0,0.0010999999999999968,8,101,12.625,109,0.03154986,0.02832986,0.00024,0.00027,0.0039437325,8.503949492089375e-05,0.030449860000000002,0.01480319,0.0001,0.0001076,0.0003014837623762376,2.117260463447231e-06
2dfc1f7885611d1c29d919104c2dc2bc323f7187ba90d49a0e362ecb116cea05,2018-03-11 17:18:45,0,1.349e-05,8570739.0,0.00014120000000003574,1,204,204.0,205,0.15682069,0.15682069,0.15682069,0.15682069,0.15682069,0.0,0.15667948999999998,0.15183117,1e-05,1.293e-05,0.0007680367156862745,0.00011241609171615929
f12566d075a27483dd807d280dd82a3e44136cee135aad8e70bb5ecfb27d9f58,2018-03-28 20:27:44,1.349e-05,0,1480139.0,0.005277609999999822,255,1,0.00392156862745098,256,0.5052776099999998,0.01687764,1.349e-05,0.0017321,0.001981480823529412,1.8231270605408903e-06,0.5,0.5,0.5,0.5,0.5,0.0
9fd3b2c3aadded3fca788d49f81c3a4e36b7513707f823e2d34e3a55f9918f3d,2018-04-02 13:18:55,0.00032708,0,406271.0,0.0038785499999999806,200,1,0.005,201,0.10387854999999999,0.00125419,0.00010112,0.00047725,0.00051939275,4.559819951193749e-08,0.1,0.1,0.1,0.1,0.1,0.0
