txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
dde4956d7481cf91285a242764f7da745a82cc322232e2f9b9491ef52fd62f34,2017-08-07 06:18:25,0,0.0001,,0.0023999999999993193,2,663,331.5,665,0.12,0.06,0.06,0.06,0.06,0.0,0.11760000000000068,0.00418435,0.0001,0.000102,0.00017737556561085973,6.424791370673137e-08
3129fd98067e380e002e8026fe7e44fd7d39dea8adcfacb4ce0514486b61c5bc,2017-08-08 23:29:22,0.0001,0,148257.0,0.09999999999999964,454,1,0.0022026431718061676,455,5.1,0.58740653,5.127e-05,0.00289,0.011233480176211452,0.0012941766348071998,5,5,5,5.0,5.0,0.0
c1d374575155e922bd157edc935ab8ed76395a34bd1eb44ce0f0eae8c09d65d8,2017-08-18 14:37:57,0,0.0001,832115.0,0.0024999999999992667,2,714,357.0,716,0.11,0.055,0.055,0.055,0.055,0.0,0.10750000000000073,0.00229666,0.0001,0.000101075,0.00015056022408963587,1.8727500339165472e-08
ac5e3f5be97e8d66b21a2480aee432ef2fa94ef3e6e67a40dc03adc2382bfdfa,2017-10-24 11:36:54,0.0001,0,5777937.0,0.01999999999999985,617,1,0.0016207455429497568,618,0.21999999999999986,0.06190281,2.001e-05,0.00010017,0.0003565640194489465,7.961208385258074e-06,0.2,0.2,0.2,0.2,0.2,0.0
4801ad4cc9cacf4b666a185a68633feecfccf38d3b0a04524d4dc20e744b0e31,2021-05-01 18:10:20,0,0.00017307,111047606.0,0.010080150000000232,4,3001,750.25,3005,0.10550326,0.10139661,0.00030315,0.00190175,0.026375815,0.001876872391001925,0.09542310999999977,0.00998602,1e-05,1.582e-05,3.1797104298567145e-05,3.482026552393748e-08
dc8a5f504de323177d2abd5ff16719f8179c1e8779be3af549838770a9f5a0f8,2021-05-02 05:13:58,0.00017307,0,39818.0,0.00024627000000000004,2,1,0.5,3,0.00085307,0.00068,0.00017307,0.000426535,0.000426535,6.424450622500001e-08,0.0006068,0.0006068,0.0006068,0.0006068,0.0006068,0.0
614ba5cff2ed4f821aa60cee24a568b8cf639ccbe4fa3b2bdb41de6bed6a2d09,2021-05-08 03:36:28,0,4.809e-05,512550.0,0.003023919999998237,2,3001,1500.5,3003,0.20091385,0.11826354,0.08265031,0.100456925,0.100456925,0.00031707553775822494,0.19788993000000177,0.0452277,1e-05,1.772e-05,6.59413295568144e-05,7.230835143824708e-07
4fd5b029ed22df9851f3f9763bd5d1c619a0e1036baae649a721cb9c80c5fb37,2021-05-09 02:18:36,4.809e-05,0,81728.0,0.00025526,2,1,0.5,3,0.00042437,0.00037628,4.809e-05,0.000212185,0.000212185,2.6927169024999997e-08,0.00016911,0.00016911,0.00016911,0.00016911,0.00016911,0.0
4e486f234d8084bb8d42ae59cb8fa78610325cac6f2fccf815aa6ec96b686284,2021-05-12 05:35:39,0,1.094e-05,271023.0,0.0019299600000000708,2,996,498.0,998,0.03507933,0.02759251,0.00748682,0.017539665,0.017539665,0.00010105969259402501,0.03314936999999993,0.006618,1e-05,1.073e-05,3.32825e-05,4.871339561694277e-08
6869c0b950b1430306626b93cb528a808af19dbe5b12d717ab9ac5db48c17bf9,2021-05-12 16:02:11,0,3.885e-05,37592.0,0.00403328999999808,1,3001,3001.0,3002,0.25,0.25,0.25,0.25,0.25,0.0,0.24596671000000192,0.07941047,1e-05,1.606e-05,8.196158280573142e-05,2.198728400038581e-06
