txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
9ba2d24cce2b645a48db4da729c1e3cfef84fa40a35d4489f798338ed83620da,2020-06-05 19:19:54,0,0.00010465,,8.154999999999968e-05,1,46,46.0,47,0.08079465,0.08079465,0.08079465,0.08079465,0.08079465,0.0,0.0807131,0.07510707,0.0001016,0.0001016,0.0017546326086956522,0.00011957018873499318
6656daec7a0d4efe1cdf12d8f42bbba33cd9e8a95d37aea36953360df9a504b7,2020-06-07 17:41:57,0.00010465,0,166923.0,0.0032960000000006318,123,2,0.016260162601626018,125,4.0034878,0.42814084,5.46e-06,0.00734431,0.03254868130081301,0.0038363519342502973,4.0001918,4,0.0001918,2.0000959,2.0000959,3.99961640919681
5eaabc6da08f9a3a71696946dc9231841a4af78969154478888eb713f9f644cc,2020-07-04 04:29:24,0,0.00011319,2285247.0,0.00027632000000000004,1,49,49.0,50,0.03044308,0.03044308,0.03044308,0.03044308,0.03044308,0.0,0.03016676,0.02318104,0.00010989,0.00010989,0.0006156481632653061,1.0614401445578259e-05
cfda82a43cf453b24a88dd37bc38c1f6075e3f72efba9c574da1690ff8781328,2020-07-04 06:25:36,0.00011319,0,6972.0,2.660000000000001e-05,1,1,1.0,2,0.00011319,0.00011319,0.00011319,0.00011319,0.00011319,0.0,8.659e-05,8.659e-05,8.659e-05,8.659e-05,8.659e-05,0.0
c6d63097fc50a8fe032366529a24a8ad895f5ca80999fe7e18a4d0e03b7d757f,2020-09-05 19:04:08,0,9.208e-05,5488712.0,0.0001912300000000075,1,41,41.0,42,0.05280315,0.05280315,0.05280315,0.05280315,0.05280315,0.0,0.05261191999999999,0.04782834,8.836e-05,8.854e-05,0.0012832175609756098,5.416574272445746e-05
2f212f96e029f6365b6359d79b0d4ab412dcdbeeb0c76379ed4b2a410355f6ea,2020-09-05 20:40:26,9.208e-05,0,5778.0,0.0007598499999999925,7,2,0.2857142857142857,9,0.04835712999999999,0.04468269,5.46e-06,9.359e-05,0.006908161428571427,0.00023849580669352654,0.04759728,0.04712131,0.00047597,0.02379864,0.02379864,0.0005439469359289
17f46e12ec5b8ba801e12292c38800a91cd3748dfd637daf3ff7d5649f3a46aa,2020-10-08 13:43:09,0,0.00018813,2826163.0,6.749999999999812e-06,1,2,2.0,3,0.0112963,0.0112963,0.0112963,0.0112963,0.0112963,0.0,0.01128955,0.01110142,0.00018813,0.005644775,0.005644775,2.9774974656025006e-05
f072d7eee5d5dfe858a4ff252f24cb8309b5d4592d94aa9ff923672223c2366b,2020-10-09 16:29:12,0.00018813,0,96363.0,0.0015306900000000012,32,1,0.03125,33,0.011510200000000002,0.00137535,5.46e-06,0.000198395,0.00035969375000000005,1.471548747546875e-07,0.00997951,0.00997951,0.00997951,0.00997951,0.00997951,0.0
85ea31026374101c6c207e87da7a22f65f41123f4fc691aeabecbc1b96051be9,2020-11-07 22:33:59,0,0.0001248,2527487.0,9.000000000000327e-06,1,2,2.0,3,0.00526481,0.00526481,0.00526481,0.00526481,0.00526481,0.0,0.00525581,0.00513101,0.0001248,0.002627905,0.002627905,6.265534641025e-06
4a84cdb5ec546fc776d2a8e4757b99c48ba8a26c960d4a90a3ab9f514df45c12,2020-11-08 06:36:23,0.0001248,0,28944.0,0.0002945800000000165,9,3,0.3333333333333333,12,0.11335846000000001,0.06618931,0.0001248,0.00031,0.012595384444444444,0.0005555329101006468,0.11306387999999999,0.054088,0.00488788,0.054088,0.03768796,0.0005379226240031999
