txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
073eb4e79a19344021f55c8f8b152db1b7010389bdc4cd65c5438c66a1cca989,2017-07-06 19:28:43,0,0.0005,,0.0070859299999999625,4,48,12.0,52,0.26394172,0.09531534,0.0143952,0.07711559,0.06598543,0.0010888608043521,0.25685579000000003,0.03117195,0.0005,0.002396965,0.005351162291666667,3.8356162002242665e-05
3e5dd887ec6c5d8469dc8200761dc21e88c41e390a67674ff8ca816210121730,2017-07-06 23:37:12,0,0.0005,14909.0,0.005323240000000395,5,27,5.4,32,0.6777152000000001,0.3222152,0.0005,0.124,0.13554304,0.012736061329766398,0.6723919599999997,0.23157628,0.0005,0.001297,0.024903405925925923,0.003151362629041654
223846ae6ddcc15141a06e865e6f62e840f4cd6d19a5b97dc6755aa6b6a71182,2017-07-07 02:06:12,0,0.77884212,8940.0,0.0018559300000000611,6,20,3.3333333333333335,26,3.3833868799999998,1.68739,0.06998611,0.326296075,0.5638978133333333,0.3282095783919017,3.3815309499999997,0.77884212,0.0002,0.01770613,0.16907654749999998,0.07673563521900303
f8aec7a8e0126d9cc28e012146e70950af452419587654d2c3248bb06dc1719a,2017-07-07 10:16:33,0,0.0005,29421.0,0.004741529999999994,3,26,8.666666666666666,29,0.17170097,0.13743425,0.002,0.03226672,0.05723365666666667,0.0033687466421024235,0.16695944000000001,0.03300914,0.0005,0.00229328,0.0064215169230769234,7.73377216696444e-05
8716bebf805daa8ef1a3ae7684e9d89c3aa7da6d6366a218c59dd27b5dfccf9a,2017-07-07 13:00:03,0,0.0005,9810.0,0.05005097000000536,5,443,88.6,448,5.07044163,4.2,0.001577,0.21,1.014088326,2.5856456274091273,5.020390659999995,0.4586,0.0005,0.002,0.011332710293453726,0.0013264924380527016
794fbbe670bd6a149006a50a1e5ede645a2f3ca26e028395cd0a4193946a8a43,2017-07-07 13:09:20,0,0.0005,557.0,0.006543319999999908,4,43,10.75,47,0.488641,0.439166,0.00036,0.0245575,0.12216025,0.0338377403901875,0.4820976800000001,0.3414,0.0005,0.002,0.011211573953488372,0.0026142192244907633
dcfd5b26676d25902489c665eefff40927d4ac01f6c6f95e8c0f1acaa3c26013,2017-07-07 13:58:48,0,0.0005,2968.0,0.003502859999999941,3,19,6.333333333333333,22,0.27814165999999996,0.19233567,0.00200109,0.0838049,0.09271388666666665,0.006077560412342821,0.2746388,0.18769162,0.0005,0.0012535,0.014454673684210528,0.0017690522949354549
e7909e0f314067367ef0e6117c225e938df75fd5013a91fbf6e978da07a2ba81,2017-07-07 13:58:48,0,0.0005,0.0,0.014849440000000547,3,120,40.0,123,1.26132768,1.024,0.00698168,0.230346,0.42044255999999997,0.1904560615978539,1.2464782399999994,0.4,0.0005,0.001757715,0.010387318666666668,0.001446170484191245
4a410a15e6e72ab4410a7dcfe9aca8a59ac83ca8dfecb433038435d48f340f01,2017-07-07 14:09:06,0,0.0005,618.0,0.0061484300000002046,3,39,13.0,42,0.9514194800000001,0.897669,0.00375048,0.05,0.3171398266666667,0.16886356356224674,0.9452710499999999,0.38864424,0.0005,0.00168,0.024237719230769235,0.005034507047211981
9bd43e2a0295b97b37746b4de62062190adb10c01650ebc1ffed64def840b51b,2017-07-08 04:55:36,0.77884212,0,53190.0,0.0006563599999998004,6,1,0.16666666666666666,7,5.00065636,3.334454,7.192e-05,0.44114276500000005,0.8334427266666666,1.3495124923023896,5,5,5,5.0,5.0,0.0
f8961ad844810e87f0d8239bc63b742ff430e07c5c4a08c348cb213b29904c67,2017-07-08 05:02:33,0.21056532,0,417.0,0.003000000000001002,52,1,0.019230769230769232,53,5.003000000000001,0.22962112,2.156e-05,0.08108328000000001,0.09621153846153849,0.0023574773302548016,5,5,5,5.0,5.0,0.0
46a3407d6ccd631ddbec87874592ce1048ecffa3b4090769f063e45fec24ffde,2017-07-08 21:37:22,0,0.0005,59689.0,0.004257659999999983,3,26,8.666666666666666,29,0.08524517,0.0565,0.0023,0.02644517,0.028415056666666664,0.0004915468934064222,0.08098751000000001,0.02141096,0.0005,0.0012546150000000002,0.00311490423076923,2.0643623667355175e-05
2358bfbc248685022d7991eb02094954f8acd6af53a2a9602d9f13252d2c59ed,2017-07-08 21:47:46,0,0.0005,624.0,0.007869840000000017,8,33,4.125,41,0.51371837,0.3,0.0095,0.03331636,0.06421479625,0.008022064037277198,0.50584853,0.36352321,0.0005,0.002,0.015328743333333332,0.0038301316822051913
8a0d65f455a7281f87aec5946ac5c4084504e168108b2d1d31b1751f57c45df9,2017-07-10 13:02:16,0,0.0005,141270.0,0.04914472000000902,7,421,60.142857142857146,428,5.76953064,3.22175935,0.0001,0.30836724,0.8242186628571428,1.141368138169297,5.720385919999991,0.55,0.0005,0.00200581,0.013587615011876485,0.0025586133766365418
6e1d816b28e429a4a5f7ca16f162fc46f4897ed64c88cba54877764c5ee0191e,2017-07-10 13:02:16,0,0.0005,0.0,0.009258870000000252,4,59,14.75,63,0.61814704,0.50575688,0.00048869,0.055950735,0.15453676,0.04260136617705524,0.6088881699999997,0.39527009,0.0005,0.00160063,0.01032013847457627,0.002616623201116874
e77dd5d724c92a897c044bbc07d8dd67493249786efe38cdf13b3b3c935ccac6,2017-07-10 13:15:38,0,0.0005,802.0,0.00919808000000033,5,63,12.6,68,0.70604126,0.5,0.00017193,0.0555,0.141208252,0.03489372196701926,0.6968431799999997,0.12,0.0005,0.00215935,0.011061002857142859,0.000585745979371576
d9e89f6617ee4a7b2df1b036063b0a8161c4eecf6275dba2d34a2c813278e38f,2017-07-10 13:19:00,0,0.0005,202.0,0.004169629999999369,3,24,8.0,27,1.12688796,1,0.00231659,0.12457137,0.37562932,0.19741041156063924,1.1227183300000005,0.91043212,0.0005,0.0016652350000000002,0.046779930416666664,0.03270335586179499
c11d527ebb682d79a6254300b328b0e347065aff9e95a9904c0b8ddd9393ede6,2017-07-10 13:43:11,0,0.0005,1451.0,0.007982390000000006,3,56,18.666666666666668,59,0.3594602,0.32,0.00323478,0.03622542,0.11982006666666667,0.020217399909270486,0.35147781,0.04714492,0.0005,0.00131196,0.006276389464285714,0.00011145824510170506
cf4fa50da0ef9f101c885401f84b200fe6026602e9c00a2be7e683e52a898530,2017-07-10 21:39:35,0,0.0005,28584.0,0.007590589999999953,7,33,4.714285714285714,40,0.56274834,0.15207246,0.0009435,0.08620405,0.08039262,0.0018058991399603143,0.55515775,0.21716815,0.0005,0.00176754,0.01682296212121212,0.0019105710743761806
fe5c021c6c01f242b56e6d9e9506f455021ab4db2390005fbe2304ee88c9a088,2017-07-12 23:33:27,0,0.021648,179632.0,0.010732899999950973,1,344,344.0,345,50,50,50,50.0,50.0,0.0,49.98926710000005,28.2946255,0.010824,0.0326688,0.14531763691860466,2.3256033700529724
a99a6c47581bc5ebf94cb47443e5f9ea992b485fafcd8f9e343b92fb9dc96d52,2017-07-14 01:09:32,0.01,0,92165.0,0.002396100000000345,102,1,0.00980392156862745,103,1.0023961000000003,0.07065699,9.861e-05,0.00824907,0.009827412745098041,4.980931983678071e-05,1,1,1,1.0,1.0,0.0
b518fd487f4b87e7a654fcd2a4c1ab3ea288303d229582cae3997739bcd92cb4,2017-07-14 01:09:32,0.041648000000000004,0,0.0,0.002196899999999502,89,1,0.011235955056179775,90,2.0021968999999995,0.11890723,6.066e-05,0.016794,0.02249659438202247,0.00033576520450955943,2,2,2,2.0,2.0,0.0
9af22d9f07a0f3158cc493aea107719c654abc2cc5bd22b98da04357439c415e,2017-07-17 23:52:46,0,0.010824,340994.0,0.020787450000057106,1,372,372.0,373,24.4850212,24.4850212,24.4850212,24.4850212,24.4850212,0.0,24.46423374999994,7.55712,0.010824,0.0129888,0.06576406922043011,0.20097759027350262
71a45426a2d700f5ccf5bfcc682bffdd43392dd4fb3a18767d26baa6b3c11492,2017-07-19 21:53:21,0,0.04995017,165635.0,0.0036949999999977834,1,76,76.0,77,5.3507863,5.3507863,5.3507863,5.3507863,5.3507863,0.0,5.347091300000002,4.03298898,0.00311165,0.009411055000000002,0.07035646447368422,0.21017978483137045
f95b04cae01653395a46d79636a742175fef6937cd493190461cfea1c6f1e5b9,2017-07-20 04:10:57,0.04995017,0,22656.0,0.0017163300000002657,27,1,0.037037037037037035,28,1.0017163300000003,0.14419809,0.00012824,0.03024842,0.037100604814814815,0.0006473787111264547,1,1,1,1.0,1.0,0.0
209fd30a53ddd500675c9a021c25937c01ae9bc6a777bfcd3a0f242948bbce48,2017-07-20 04:38:10,0.005,0,1633.0,0.0029999999999992255,409,1,0.0024449877750611247,410,5.002999999999999,0.22221382,0.0019018,0.00617971,0.012232273838630807,0.00029746530595949647,5,5,5,5.0,5.0,0.0
199ea29e5252b49bd887e88ef604b60c2fe66c3e7d2596269a713d1ed269f57c,2017-07-20 10:51:52,0,0.0005,22422.0,0.03702488000000592,5,473,94.6,478,6.419407950000001,5.702,0.00558449,0.2,1.2838815900000002,4.901923470838249,6.382383069999995,0.38793781,0.0005,0.00220778,0.013493410295983086,0.0012537436125526185
98db200edb5c331a138320308af6978ff6cdd00fa9fe484e32661c1dc8ac9f89,2017-07-21 22:36:57,0,0.13454755,128705.0,0.00710688000000026,8,40,5.0,48,8.08562509,4.03840279,0.0491,0.497867795,1.0107031362499999,1.6751987995009465,8.07851821,3.29311651,0.00120279,0.03833992,0.20196295525000002,0.3301383096949651
e29d3ef3a4fb047a171d2441da094fe28c7991064af42a756ccd2453a4d07cf0,2017-07-22 23:46:51,0,0.010824,90594.0,0.024271440000049438,1,395,395.0,396,121.38752716,121.38752716,121.38752716,121.38752716,121.38752716,0.0,121.36325571999996,103.16269972,0.0100368,0.0129888,0.3072487486582278,26.882789886445185
bf980dccc2215069726039ea244f600cf495028c4b4d1962ed38588023f39341,2017-07-26 05:58:22,0.13454755,0,281491.0,0.0012422399999989509,23,1,0.043478260869565216,24,5.001242239999999,0.61818407,0.000141,0.17658148,0.2174453147826087,0.02121458882826183,5,5,5,5.0,5.0,0.0
c6233511dc8a0f41f2dbf39c76c633c058cc313584fbabe289385c22bef66b17,2017-07-27 23:34:01,0,0.010824,149739.0,0.014820880000300463,1,391,391.0,392,95.7774833,95.7774833,95.7774833,95.7774833,95.7774833,0.0,95.7626624199997,76.97170642,0.010824,0.0129888,0.24491729519181585,15.115999326488701
4ba833df08ab214ac5a927c708710e290c85d12cea3916f009d4e1777bbc640d,2017-07-29 03:22:44,0.021648,0,100123.0,0.019268799999999864,170,1,0.0058823529411764705,171,2.0192688,0.249,0.00022628,0.006269735,0.01187805176470588,0.0005938756111136899,2,2,2,2.0,2.0,0.0
874469b4b7690313f11c90038defd8ada07f82d9a1cb76f76caff0ebcae55f1c,2017-07-29 09:10:27,0.010824,0,20863.0,0.014079359999999097,248,1,0.004032258064516129,249,1.014079359999999,0.10375,0.00020105,0.00261213,0.004089029677419355,6.776706993319424e-05,1,1,1,1.0,1.0,0.0
4a3cc445f3cda2872b7fe5a708601e8bb414b53e1cdf3458e441a9c5b1e0c75a,2017-07-29 10:16:06,0.001,0,3939.0,0.0003255700000000007,7,2,0.2857142857142857,9,0.01532557,0.01279508,3.049e-05,0.0005,0.002189367142857143,1.8773100348991836e-05,0.015,0.01,0.005,0.0075,0.0075,6.25e-06
6c93636bc5877dbca70b94174f2687bad2f3a76541d3e81341beb219c25e41e8,2017-07-29 10:41:17,0.0005,0,1511.0,0.00026362,7,1,0.14285714285714285,8,0.00526362,0.00266406,9.956e-05,0.0005,0.0007519457142857143,6.284530537959185e-07,0.005,0.005,0.005,0.005,0.005,0.0
bfe5786fc6e7795d933ba3fe07c3f14d3218364f70d5ac02f4251d4864057119,2017-07-29 11:22:48,0.002,0,2491.0,0.010405649999999933,390,1,0.002564102564102564,391,0.5104056499999999,0.0803528,0.000309,0.001,0.001308732435897436,1.6823952908873815e-05,0.5,0.5,0.5,0.5,0.5,0.0
46a0289ea22fab93654107f5a961b73d513dc782b323b54913728fa430854c66,2017-07-29 11:40:27,0.0012501,0,1059.0,0.00907694999999975,410,1,0.0024390243902439024,411,0.5090769499999998,0.00204897,0.00018984,0.0012,0.0012416510975609754,2.8341839532697798e-08,0.5,0.5,0.5,0.5,0.5,0.0
f3b7abc4530791af43d621368b73a72a247ad33f718b7c0750ea47f0b95eb604,2017-07-29 11:40:27,0.00174,0,0.0,0.008900849999999794,398,1,0.002512562814070352,399,0.3089008499999998,0.00141,0.00013865,0.000737865,0.0007761327889447236,1.8689303875387613e-08,0.3,0.3,0.3,0.3,0.3,0.0
b3cab611f0537a0161f87238fb8860dc34334501418ecccc790cc5b4ee0a328b,2017-07-29 11:40:27,0.001,0,0.0,0.011864249999999799,507,1,0.0019723865877712033,508,0.5118642499999998,0.028,0.00062293,0.00090831,0.001009594181459566,1.5179815821442514e-06,0.5,0.5,0.5,0.5,0.5,0.0
948e1dbefe00ea10969a263f6ccf85be7b52876cbd9858ce075e7a415738e1a7,2017-07-29 11:47:56,0.0015,0,449.0,0.00029456000000000447,28,2,0.07142857142857142,30,0.015294560000000004,0.00194898,0.00035406,0.0005,0.0005462342857142857,7.360735106020408e-08,0.015,0.01,0.005,0.0075,0.0075,6.25e-06
