txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
b0afbc54b7bcbec830bbaa98fd9374ac0992fefc67de1f3f50d7401af49760a2,2018-11-11 23:13:07,0,0.000318,,0.0011094200000059118,1,250,250.0,251,93.9508533,93.9508533,93.9508533,93.9508533,93.9508533,0.0,93.94974388,93.8698378,0.00031053,0.00031979,0.3757989755200001,35.10496102701117
16b88da2d7cdfd69a9ee46f76271cfa17a2d0cbfc0ebb760f4ef6f0226ba2b12,2018-11-20 21:13:40,0.000318,0,770433.0,0.025318299999997684,245,2,0.00816326530612245,247,5.025749499999998,0.83476995,1.004e-05,0.00126362,0.02051326326530612,0.0064179976990682355,5.0004312,5,0.0004312,2.5002156,2.5002156,6.24892204648336
128f438d7f88300f99514cf7deedbfa51e8e56880c9e48d280b17b5bd870f9e3,2018-11-30 05:09:16,0,0.00010685,806136.0,0.0001290499999999934,14,101,7.214285714285714,115,0.015398389999999998,0.0019,0.000616,0.001,0.0010998849999999999,2.1824951249642856e-07,0.015269340000000005,0.00228253,0.00010001,0.00010361,0.00015118158415841583,5.5705622106401335e-08
ba865dd16afe7fe7976c9f7a89e09e9549b460bc5ed47439b6670615b797bfec,2018-12-02 22:44:07,0.00010685,0,236091.0,0.007672780000000934,307,2,0.006514657980456026,309,4.007682470000001,0.2505915,1e-05,0.00242491,0.013054340293159609,0.0007565726653065574,4.00000969,4,9.69e-06,2.000004845,2.000004845,3.999980620023474
215ac490ea124f77f598f70c7e0b5685f23eb883255db667137bef4ed0939eed,2019-01-24 16:15:19,0,0.00055609,4555872.0,6.7799999999996335e-06,1,2,2.0,3,0.01173543,0.01173543,0.01173543,0.01173543,0.01173543,0.0,0.01172865,0.01117256,0.00055609,0.005864325,0.005864325,2.8177358815224997e-05
071f6bc479b84c269d3915f7891fc387f0f95be402618fc86e693eaddb823db3,2019-01-27 00:56:51,0.00055609,0,204092.0,0.005966459999999785,225,2,0.008888888888888889,227,2.0060773399999996,0.13243599,5.46e-06,0.00243188,0.00891589928888889,0.00047957779678697995,2.00011088,2,0.00011088,1.00005544,1.00005544,0.9998891230735936
90cfa51caa2154bce7651a58ae7459acb60d29b6f82822e251950c6410091f66,2019-05-06 11:22:24,0,0.00035355,8591133.0,0.0025265300000043567,1,250,250.0,251,37.58323604,37.58323604,37.58323604,37.58323604,37.58323604,0.0,37.58070951,37.47178081,0.00030239,0.0003724,0.15032283804,5.593941071135226
f80cfd86cb126de36f320985aac3e8bd13b32dfa00d14200c7806e169a1b20d8,2019-05-23 03:21:20,0,0.00019235,1439936.0,0.00010663999999999813,6,106,17.666666666666668,112,0.028078,0.0072,0.003718,0.00403,0.004679666666666666,1.5055738888888888e-06,0.02797136,0.00482029,0.00010002,0.000104445,0.00026388075471698116,3.425480372749021e-07
8e0eddca091fd822c5c601e0201994553396dd35919bcc1b5f6f35fd45620742,2019-06-25 00:12:24,0.0005459,0,2839864.0,0.024740799999999563,419,2,0.00477326968973747,421,2.0266975999999994,0.475,5.49e-06,0.0013911,0.004836987112171839,0.0005926744762228166,2.0019568,2,0.0019568,1.0009784,1.0009784,0.99804415726656
75e3b7a6868d450e34055b1647086fb79f2967ee147672b3ffed194a14b708e0,2019-11-20 02:47:29,0,0.00011149,12796505.0,0.00011912000000000728,11,101,9.181818181818182,112,0.03014,0.00774,0.0018,0.0018,0.00274,3.085818181818183e-06,0.030020879999999993,0.00472508,0.00010001,0.00010745,0.00029723643564356434,3.4565520758927565e-07
