txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
52438d1ba203bb8e035d16dea3a5073d90dac2406694e6d24c6c1bcfe3e2f413,2021-09-16 06:29:52,0.002413,0,,0.00015890000000000045,1,2,2.0,3,0.002413,0.002413,0.002413,0.002413,0.002413,0.0,0.0022540999999999998,0.00204568,0.00020842,0.0011270499999999999,0.0011270499999999999,8.438810768999999e-07
3668dcfbc87248d50fa0146088ae4899afa9756077546e0ad1a6f9136c8f5db4,2021-09-16 07:01:41,0,0.003,1909.0,1.4400000000001217e-05,1,2,2.0,3,0.01062766,0.01062766,0.01062766,0.01062766,0.01062766,0.0,0.01061326,0.00761326,0.003,0.00530663,0.00530663,5.3205419569e-06
375a49389e602cb8fc716929905533f33e412bc846fe35c7818965441495068a,2021-09-16 07:01:41,0,0.00148,0.0,1.440000000000035e-05,1,2,2.0,3,0.00403442,0.00403442,0.00403442,0.00403442,0.00403442,0.0,0.00402002,0.00254002,0.00148,0.00201001,0.00201001,2.809106001e-07
6e515a2f25637b4e69998faa0462c3bf8489093b57bcc14da5bb611d1a68e987,2021-09-16 07:33:04,0,0.0045,1883.0,1.440000000000035e-05,1,2,2.0,3,0.00761326,0.00761326,0.00761326,0.00761326,0.00761326,0.0,0.00759886,0.0045,0.00309886,0.00379943,0.00379943,4.907983248999997e-07
b4cd639680ee157f33276e7d4f7b5dbb7122d78331ee21feb367977357b2097f,2021-09-16 08:53:56,0.00148,0,4852.0,0.0001589,1,2,2.0,3,0.00148,0.00148,0.00148,0.00148,0.00148,0.0,0.0013211,0.00099991,0.00032119,0.00066055,0.00066055,1.1516520959999997e-07
833537ec5a856f4dc52ae6b6d6b8d3322e588f70428caafef6f03bf2c4bd7a2f,2021-09-16 10:36:59,0,0.001,6183.0,1.4399999999999916e-05,1,2,2.0,3,0.00254002,0.00254002,0.00254002,0.00254002,0.00254002,0.0,0.00252562,0.00152562,0.001,0.00126281,0.00126281,6.906909610000002e-08
778d1d6afde253f07467f1d5d785ca7851b752997960fa33cf2620cf77f873d2,2021-09-16 11:19:08,0,0.0014,2529.0,1.440000000000035e-05,1,2,2.0,3,0.00309886,0.00309886,0.00309886,0.00309886,0.00309886,0.0,0.00308446,0.00168446,0.0014,0.00154223,0.00154223,2.0229372900000007e-08
47412b5eab0452f63e4e6d05920afb0695543f3b77f1aa88093fa21ea30f05cf,2021-09-16 11:19:08,0.003,0,0.0,0.0001589,1,2,2.0,3,0.003,0.003,0.003,0.003,0.003,0.0,0.0028411,0.00248401,0.00035709,0.00142055,0.00142055,1.1309471716e-06
3b5e08e425e05d215bb94260a12e26c55cee368e5c518179d09b6fa27e900fcc,2021-09-16 11:19:08,0.0045,0,0.0,0.0001589,1,2,2.0,3,0.0045,0.0045,0.0045,0.0045,0.0045,0.0,0.0043411,0.0041766,0.0001645,0.00217055,0.00217055,4.024236602499999e-06
22e9683e9112a2b4159e3f5cb1482f1997d73619cb12f58d2da7189db5895086,2021-09-16 15:04:09,0.001,0,13501.0,0.0002618000000000004,2,1,0.5,3,0.0049319,0.0039319,0.001,0.00246595,0.00246595,2.1490094025000003e-06,0.0046701,0.0046701,0.0046701,0.0046701,0.0046701,0.0
