txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
b8f99a82a3719ba7d63d8d3684676bfe8f9893d8dd58e5a7c2133e5f170d5230,2016-10-25 02:36:56,0,0.03201412,,0.0001243000000000008,1,2,2.0,3,0.0588441,0.0588441,0.0588441,0.0588441,0.0588441,0.0,0.0587198,0.03201412,0.02670568,0.0293599,0.0293599,7.044883808400003e-06
d85aca78aabe3e1a63dd1fb6561955f7fde6b26b911395f8ebc333287577c5ef,2016-10-28 05:42:42,0.03201412,0,270346.0,0.0029999999999930083,278,1,0.0035971223021582736,279,16.702999999999992,4.263,3.5e-05,0.001994925,0.06008273381294964,0.08219292947446682,16.7,16.7,16.7,16.7,16.7,0.0
32318605b2243c0f3c50e20731db4990f3cd3644a38dd00da3020ebcb0aeeeef,2016-11-23 09:01:02,0,0.0401874,2258300.0,0.00020569999999999616,2,2,1.0,4,0.040870619999999996,0.02492599,0.01594463,0.020435309999999998,0.020435309999999998,2.0166206862399988e-05,0.04066492,0.0401874,0.00047752,0.02033246,0.02033246,0.0003942186424036
80f75c64f5e98f9dd285898cc4c42fd663255e86779f0e52068fd0ef638b5e80,2016-11-23 09:07:06,0,0.0432946,364.0,0.0002057000000000031,2,2,1.0,4,0.04361128,0.04313376,0.00047752,0.02180564,0.02180564,0.00045488870273440005,0.04340558,0.0432946,0.00011098,0.02170279,0.02170279,0.0004662062590761
81504c33f72728c9d6f47da670ac5a43998df3e15f2258fb61bcecb79d5da7b3,2016-11-26 19:52:58,0.0401874,0,297952.0,0.007464999999953648,545,1,0.001834862385321101,546,55.007464999999954,6.46594867,3.061e-05,0.00135505,0.10093112844036699,0.15504115071883237,55,55,55,55.0,55.0,0.0
26d7e1895f1a76a508de6cb819b299680e258ad56b33f60f051e162b1ce404ba,2016-12-03 13:16:39,0.0432946,0,581021.0,0.00746499999999628,173,1,0.005780346820809248,174,7.007464999999996,0.389613,0.000104,0.0254474,0.04050557803468208,0.0027848313884349107,7,7,7,7.0,7.0,0.0
2ffa05d13cebc9dbaaec133792211908d7acc1bd3b7f1683c59e3fe170658f37,2017-04-27 07:58:19,0,0.00154752,12508900.0,0.0002712000000000001,1,2,2.0,3,0.0077376,0.0077376,0.0077376,0.0077376,0.0077376,0.0,0.0074664,0.00591888,0.00154752,0.0037332,0.0037332,4.777197062399999e-06
ff142413debf8d81cc9968a0f9c93cc095f9a898b4f2434fd0ac61bc3b8219f7,2017-07-02 23:18:47,0,0.01023132,5757628.0,0.00019814999999995253,1,10,10.0,11,0.31918904,0.31918904,0.31918904,0.31918904,0.31918904,0.0,0.31899089,0.18474307,0.00416271,0.012221055,0.031899089,0.0027162708816761295
bd19aeb68fb352800d5ef6db9e40c322f0afe2cf61d08bf1dff8c1896507b693,2017-07-08 05:55:32,0.01023132,0,455805.0,0.0029999999999992255,144,1,0.006944444444444444,145,2.0029999999999992,0.06508596,0.00026943,0.011318095,0.013909722222222223,6.304682762371729e-05,2,2,2,2.0,2.0,0.0
38ca8ee45371667fb67f394babfe9d1a7ef9c9795db015fb49c4263c63c784f3,2017-07-29 09:10:27,0.00154752,0,1826095.0,0.026675840000000228,487,1,0.002053388090349076,488,1.0266758400000002,0.16494375,0.00153216,0.0016733,0.0021081639425051335,5.4657756741769686e-05,1,1,1,1.0,1.0,0.0
6b8de392c8d6897ed2ab969538493e791c61463527353de321061f027de557e5,2022-09-07 06:35:42,0,6.9e-06,161213115.0,3.9000000000000135e-06,1,2,2.0,3,0.0001889,0.0001889,0.0001889,0.0001889,0.0001889,0.0,0.000185,0.0001781,6.9e-06,9.25e-05,9.25e-05,7.327359999999999e-09
