txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
d2eec21676479b68fd054accaaeaba949349e0b5740f57b10c4e46143b5ae3d5,2020-03-21 20:58:27,0,0.00125,,5.649999999995936e-05,1,86,86.0,87,0.5,0.5,0.5,0.5,0.5,0.0,0.49994350000000004,0.3936935,0.00125,0.00125,0.005813296511627907,0.0017700123795080106
7e226eb6e588a94a5261f03ef8bea621c05ae88b21835a2629c35ccc1ff78e7d,2020-03-21 21:04:24,0,0.00125,357.0,5.649999999995936e-05,1,85,85.0,86,0.25732598,0.25732598,0.25732598,0.25732598,0.25732598,0.0,0.25726948000000005,0.15226948,0.00125,0.00125,0.0030266997647058823,0.0002651596125280988
492acefc182b28abe285a05979c9307cd51ac675efe167d023dfe7f94ca5b0b9,2020-03-21 21:04:24,0,0.00125,0.0,5.649999999990385e-05,1,84,84.0,85,0.27113248,0.27113248,0.27113248,0.27113248,0.27113248,0.0,0.2710759800000001,0.16732598,0.00125,0.00125,0.003227095,0.000324439085039075
8eb334c07c7ebe6f596d6ac4ed02a40d34bd05169b0d8e40ea0ee62559a179f1,2020-03-21 21:04:24,0,0.00125,0.0,5.649999999990385e-05,1,84,84.0,85,0.39243898,0.39243898,0.39243898,0.39243898,0.39243898,0.0,0.3923824800000001,0.28863248,0.00125,0.00125,0.00467122,0.0009714939419372004
88abcbc497ecdfb26246ac12192482ea126c3d1c30a7716e4b8b35fd9685a289,2020-03-21 21:04:24,0,0.00125,0.0,5.6499999999931605e-05,1,85,85.0,86,0.15610332,0.15610332,0.15610332,0.15610332,0.15610332,0.0,0.15604682000000006,0.05104682,0.00125,0.00125,0.0018358449411764706,2.8830000788573227e-05
a5e101a61349e23f88890d6458e31cfb65f7e8342dc38b11144700a7a14b8d44,2020-03-21 21:04:24,0,0.00125,0.0,6.553999999991955e-05,1,90,90.0,91,0.36366133,0.36366133,0.36366133,0.36366133,0.36366133,0.0,0.3635957900000001,0.25234579,0.00125,0.00125,0.004039953222222222,0.0006927616694147464
56764aa2b08433b96dc4a496f4bfdb98a427052a8eb51e6f2e8544d660738494,2020-03-24 02:07:32,0,0.00125,190988.0,0.0001446400000000292,1,92,92.0,93,1.13467666,1.13467666,1.13467666,1.13467666,1.13467666,0.0,1.13453202,1.02078202,0.00125,0.00125,0.012331869782608695,0.011175513246961309
97e92c50133e22ec59cc3a56a9e23740a16d4162b483545acd930dc35f89cd8a,2020-03-24 02:07:32,0,0.00125,0.0,0.00014463999999991817,1,81,81.0,82,0.62546332,0.62546332,0.62546332,0.62546332,0.62546332,0.0,0.6253186800000001,0.52531868,0.00125,0.00125,0.0077199837037037035,0.0033488551300953195
862cd6bf5a453e0d70aee5935abacc80888e3d19fd6425ebf3dfd5c89c483469,2020-04-01 01:52:09,0,0.03115279,690277.0,0.00014097000000000415,1,2,2.0,3,0.07245001,0.07245001,0.07245001,0.07245001,0.07245001,0.0,0.07230903999999999,0.04115625,0.03115279,0.036154519999999996,0.036154519999999996,2.5017302992899994e-05
aa177b78100453e03feed95f4f75be0b3f50ffde0447def56f30113c68d12caf,2020-04-01 14:16:23,0,0.010455,44654.0,6.0409999999677666e-05,1,6,6.0,7,6.42978278,6.42978278,6.42978278,6.42978278,6.42978278,0.0,6.42972237,4.8318524,0.00134701,0.007327500000000001,1.071620395,3.1587240692083864
