txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
630c3da005d87f4f488b5bad686599f18a2230cbcb93e3f7130b5c0c24aff4e9,2020-07-02 09:00:14,0,0.00020215,,1.4500000000000624e-06,1,2,2.0,3,0.00533507,0.00533507,0.00533507,0.00533507,0.00533507,0.0,0.00533362,0.00513147,0.00020215,0.00266681,0.00266681,6.0745489156e-06
b912b3deb7b2ad9f913bad3d29a77382e463428576ab9f1a1cf4b6c65e7e9b8a,2020-07-02 10:18:54,0.00020215,0,4720.0,0.0006117999999999957,12,2,0.16666666666666666,14,0.37360995999999996,0.21298915,3.22e-05,0.004129,0.03113416333333333,0.003306133713309988,0.37299815999999997,0.3655382,0.00745996,0.18649907999999998,0.18649907999999998,0.0320550064903744
d67949970d111f79ab5be09f67104328c8958049f89903c97da5247022679e17,2020-12-08 10:00:58,0,0.0005,13736524.0,4.861999999999922e-05,1,69,69.0,70,0.04995015,0.04995015,0.04995015,0.04995015,0.04995015,0.0,0.04990153,0.0056959,0.0005,0.00051631,0.000723210579710145,5.73580002031548e-07
44a3b351f05033e416ef8ee36be29aaa45efda659f51436837d1f6ffc0d7cab4,2020-12-08 15:16:59,0.0005,0,18961.0,0.00014975999999999878,8,4,0.5,12,0.27328968000000003,0.26038084,9.569e-05,0.00130129,0.034161210000000004,0.007314054074638526,0.27313992000000004,0.0782526,0.03838212,0.0782526,0.06828498000000001,0.0002980603453932001
0a528afd67734884f6b165b78e4d223308178d7160fafb439e21b4d754c3b4e0,2020-12-14 17:13:31,0,9.522e-05,525392.0,6.56800000000124e-05,1,47,47.0,48,0.08799339,0.08799339,0.08799339,0.08799339,0.08799339,0.0,0.08792770999999999,0.07151995,9.503e-05,0.00011142,0.0018708023404255317,0.00010674692033696686
f483d94bedc7fd8d331229fe02bc0e6b9b370c9d35a8ed0fc2de5ef0c44f426a,2020-12-15 07:14:46,9.522e-05,0,50475.0,0.000552960000000019,8,3,0.375,11,0.19777795000000004,0.19529832,6.89e-05,0.000115625,0.02472224375,0.004156875936620097,0.19722499000000002,0.07790389,0.04141721,0.07790389,0.06574166333333334,0.00029583951498275555
b5ea03cba62eb00398ee2ac79f2187affcf2839e816661163fb9e630a4deb09a,2021-08-23 16:17:30,0,0.0015,21718964.0,0.0001759500000000011,2,6,3.0,8,0.02320047,0.02,0.00320047,0.011600235,0.011600235,7.0556052055225e-05,0.02302452,0.01881979,0.0003,0.00090207,0.00383742,4.526543293223334e-05
65750808f757dd17ffdae4a7a56b8e85d493f1234a5f88bb654121d12efffb98,2021-08-23 20:14:37,0.0015,0,14227.0,0.00024238000000000016,2,1,0.5,3,0.00160329,0.0015,0.00010329,0.000801645,0.000801645,4.87699706025e-07,0.00136091,0.00136091,0.00136091,0.00136091,0.00136091,0.0
063bf9e4b0ce4f9694bd2b847fa581a599772887ba3b7db3487e12502ddc20db,2021-10-19 17:17:40,0,0.00013125,4914183.0,1.3860000000000088e-05,6,8,1.3333333333333333,14,0.00127208,0.00081236,2.11e-05,0.00010899,0.00021201333333333334,7.664217302222224e-08,0.00125822,0.00023604,0.0001,0.00014403000000000002,0.0001572775,2.69404839375e-09
4b6d4535a18c451cad5f53b7e06d5d4cef64240dd3c73c056a813470b3bf2834,2021-10-19 22:51:45,0.00013125,0,20045.0,0.0002396299999999998,2,1,0.5,3,0.00281461,0.00268336,0.00013125,0.001407305,0.001407305,1.628316363025e-06,0.00257498,0.00257498,0.00257498,0.00257498,0.00257498,0.0
2a8f2c884cb9a462471855dbe4ffbbcf26059dae652bf9c2b9fa30e57e2ce07b,2023-10-16 16:46:27,0,0.000499,62790882.0,0.0007137199999949217,1,197,197.0,198,10.90672415,10.90672415,10.90672415,10.90672415,10.90672415,0.0,10.906010430000006,10.69123135,0.00029863,0.00033832,0.055360459035532994,0.5771593683632792
1ac9d8518408e748942be8a59087ef0b8b16c63b86c1ad5bffe9ac322bdf5273,2023-10-20 02:09:30,0.000499,0,292983.0,0.0002886799999999999,2,1,0.5,3,0.00132956,0.00083056,0.000499,0.00066478,0.00066478,2.7483008400000008e-08,0.00104088,0.00104088,0.00104088,0.00104088,0.00104088,0.0
