txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
7506dde602bb4a10beb754c10393688aac4886c80bcd7a2351392f94c469248d,2023-09-03 23:12:17,0,0.02486601,,2.5269999999966153e-05,1,5,5.0,6,0.585182,0.585182,0.585182,0.585182,0.585182,0.0,0.58515673,0.41583341,0.00943265,0.02486601,0.11703134600000001,0.02393235378504614
258424342aefd3ce731e2374344487814b1f6d2f9988538dc2b6ebf576d5fa27,2023-09-05 02:38:27,0,0.02351054,98770.0,4.84800000000174e-05,1,7,7.0,8,0.51363996,0.51363996,0.51363996,0.51363996,0.51363996,0.0,0.51359148,0.29224337,0.00766469,0.03319391,0.07337021142857143,0.00844741187642347
e0ead81bf93a42e4de4af487bdf6448ed54cf261865f04fd8cb6a93e16311330,2023-09-13 06:37:06,0,0.02294923,705519.0,7.06699999999949e-05,1,6,6.0,7,0.46282736,0.46282736,0.46282736,0.46282736,0.46282736,0.0,0.46275669,0.33142242,0.00077976,0.02434458,0.07712611500000001,0.01348713731668196
c89237cdee7ef45140d57d85db486d1536ea87ffadf0ad53264c618e4d4edcc6,2023-09-13 09:19:43,0,0.00495559,9757.0,3.800999999997723e-05,1,2,2.0,3,0.38248387,0.38248387,0.38248387,0.38248387,0.38248387,0.0,0.38244586,0.37749027,0.00495559,0.19122293,0.19122293,0.0346955219506756
c17a337569a165cc793228cd2f3329cebc3f9c549c8d10ab9edd01cce3ce4803,2023-09-13 14:37:29,0.02790482,0,19066.0,0.00030080000000000037,2,2,1.0,4,0.02790482,0.02294923,0.00495559,0.01395241,0.01395241,8.09427701124e-05,0.02760402,0.02657292,0.0010311,0.01380201,0.01380201,0.0001630961422281
988132cd0681e5c3042661784500170857c54e491d9bf41eb8e8b0a473332a8a,2023-09-23 02:41:51,0,0.02439859,821062.0,0.00034426999999992436,2,22,11.0,24,0.93707494,0.56261,0.37446494,0.46853747,0.46853747,0.008849640900600904,0.9367306700000001,0.2309969,0.0010292,0.022793485000000002,0.04257866681818183,0.0030714084363161307
c69505bf01d41502b6f7fd37c122a22a9d1699206de1ad3b3da44b8fb344a78f,2023-10-01 03:42:58,0,0.02261428,694867.0,0.0005359100000004169,1,89,89.0,90,2.45616121,2.45616121,2.45616121,2.45616121,2.45616121,0.0,2.4556252999999995,0.49315449,0.00188604,0.01094107,0.027591295505617976,0.004023880060601881
d398c46beee2ee2f74663de13f6fb253714da4934f2a4bae573d1425603b6d82,2023-10-02 04:45:38,0,0.00590357,90160.0,1.4780000000019777e-05,1,2,2.0,3,0.24949208,0.24949208,0.24949208,0.24949208,0.24949208,0.0,0.24947729999999999,0.24357373,0.00590357,0.12473864999999999,0.12473864999999999,0.0141217762386064
9044bb73b4ba7f5f5219645783bb146bbfdb24383796e9dde007e80058380bd2,2023-10-02 18:10:52,0.00590357,0,48314.0,0.0001816000000000005,1,2,2.0,3,0.00590357,0.00590357,0.00590357,0.00590357,0.00590357,0.0,0.00572197,0.00513893,0.00058304,0.002860985,0.002860985,5.189033423025e-06
99e9a6eff2d73e44f6db6324e84d786fefd694dbfefd051bbb8cd1c667e092e8,2023-10-05 23:21:03,0.02261428,0,277811.0,0.0001816000000000005,1,2,2.0,3,0.02261428,0.02261428,0.02261428,0.02261428,0.02261428,0.0,0.02243268,0.02158763,0.00084505,0.01121634,0.01121634,0.0001075636562641
598c51ddb11f999b82023e42563a5c77ffe3dbaa4fd2ad8027e9010c718b9126,2023-10-09 19:03:56,0.02486601,0,330173.0,0.00027572000000000013,2,1,0.5,3,0.05436621,0.0295002,0.02486601,0.027183105,0.027183105,5.368929239025e-06,0.05409049,0.05409049,0.05409049,0.05409049,0.05409049,0.0
13e5d67436f9c1b727a6b5fff8a8fa8f08a7b304b1e44487c1a9532caa80095a,2023-10-12 03:53:36,0,0.01896252,204580.0,2.6720000000035604e-05,1,2,2.0,3,0.60759196,0.60759196,0.60759196,0.60759196,0.60759196,0.0,0.60756524,0.58860272,0.01896252,0.30378262,0.30378262,0.08112248936401001
eb2f177baf5b934e5d84a80b3363fd1c71bd3c5379784290069fee297f46b80d,2023-10-12 11:13:45,0,0.0048439,26409.0,3.749999999999934e-05,1,4,4.0,5,0.01748378,0.01748378,0.01748378,0.01748378,0.01748378,0.0,0.01744628,0.00909222,0.00126598,0.00354404,0.00436157,9.1694273779e-06
414fb3cbe0fbc29f5c8b800d1b42611f441f0b88fe9b58baaa87f820f3ec7d0a,2023-10-13 05:19:07,0.0048439,0,65122.0,0.00018159999999999964,1,2,2.0,3,0.0048439,0.0048439,0.0048439,0.0048439,0.0048439,0.0,0.0046623,0.00444081,0.00022149,0.00233115,0.00233115,4.4506653156e-06
8421f3444415a79f8b5114b19a272bfd9b4a15e5b16c6c26c50c0ffe550c67af,2023-10-13 15:23:48,0.01896252,0,36281.0,0.0001816000000000005,1,2,2.0,3,0.01896252,0.01896252,0.01896252,0.01896252,0.01896252,0.0,0.01878092,0.01292924,0.00585168,0.00939046,0.00939046,1.25229638884e-05
89a20e78772ec136a78ea4d14414d57d17a6b416149956967ff0d987167721b9,2023-10-18 04:06:36,0,0.02006406,391368.0,7.469999999995536e-06,1,2,2.0,3,0.04470759,0.04470759,0.04470759,0.04470759,0.04470759,0.0,0.04470012,0.02463606,0.02006406,0.02235006,0.02235006,5.225795999999999e-06
e63d86fcc792ef8ccede999f37cdb7d89fd4030b18748c96d5ddd20e4675cbff,2023-10-18 15:26:55,0.02006406,0,40819.0,0.0001816000000000005,1,2,2.0,3,0.02006406,0.02006406,0.02006406,0.02006406,0.02006406,0.0,0.01988246,0.0190519,0.00083056,0.00994123,0.00994123,8.300430784890001e-05
e46d435d9b2c5db7534ddd3e709ddd3b58d53b8046f7aea88bd5b27662f10965,2023-10-19 22:51:48,0.02351054,0,113093.0,0.0001816000000000005,1,2,2.0,3,0.02351054,0.02351054,0.02351054,0.02351054,0.02351054,0.0,0.02332894,0.01999778,0.00333116,0.01166447,0.01166447,6.94440555561e-05
944829ab6d3eb30e5d203f275e43f41a88349876adf0ee79f7ae9900938f0f33,2023-10-24 17:34:58,0.02439859,0,412990.0,0.00028306000000000164,2,1,0.5,3,0.04285945,0.02439859,0.01846086,0.021429725,0.021429725,8.814159388225006e-06,0.04257639,0.04257639,0.04257639,0.04257639,0.04257639,0.0
00dfcbad26aec496ee32dbfece6ba0557331aa5cfa78585c7fbbcfe371e2688b,2023-10-25 20:48:10,0,0.01648329,97992.0,3.643000000000049e-05,1,2,2.0,3,0.03066975,0.03066975,0.03066975,0.03066975,0.03066975,0.0,0.03063332,0.01648329,0.01415003,0.01531666,0.01531666,1.3610255569000023e-06
01135016ffee22d40e53d5351101339e850ba9cf6d942ffd4cf0235bad75b413,2023-11-02 07:29:31,0,0.01733229,643281.0,1.1409999999989484e-05,1,2,2.0,3,0.25501762,0.25501762,0.25501762,0.25501762,0.25501762,0.0,0.25500621,0.23767392,0.01733229,0.127503105,0.127503105,0.012137608477764227
003095c53e9aad143e18984d762728b8451f91361a604e3e8bed2e66c9b87028,2023-11-06 05:06:41,0,0.01628468,337030.0,7.109999999999062e-05,1,2,2.0,3,0.29546095,0.29546095,0.29546095,0.29546095,0.29546095,0.0,0.29538985,0.27910517,0.01628468,0.147694925,0.147694925,0.01726865249096003
0f3230e22cfd0df69c1ddc7d174048b891d1a74e9ed8aac2d0ebbba311e065b7,2023-11-07 14:49:28,0.01628468,0,121367.0,0.0001816000000000005,1,2,2.0,3,0.01628468,0.01628468,0.01628468,0.01628468,0.01628468,0.0,0.01610308,0.01530039,0.00080269,0.00805154,0.00805154,5.25458263225e-05
1a7fc6007affce514af6a2d0707e35940771d3b177a3199a40312ea7273e2e3c,2023-11-08 19:31:28,0.01648329,0,103320.0,0.0001816000000000005,1,2,2.0,3,0.01648329,0.01648329,0.01648329,0.01648329,0.01648329,0.0,0.01630169,0.01127614,0.00502555,0.008150845,0.008150845,9.767468837025e-06
71bf3d9de7a8b998970a3f1b6400acff61c3c978e8b109f14f9af975350a4511,2023-11-09 07:01:02,0,0.01677992,41374.0,0.0007373100000000049,8,2,0.25,10,0.03407725,0.02160033,0.00011507,0.00058161,0.00425965625,5.011676894677345e-05,0.03333994,0.01677992,0.01656002,0.01666997,0.01666997,1.2089002499999844e-08
