txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
3ad8d2b7f1bacfba8bf82f04184cee5e4e6f7f0335c13bdb7954b50a7b8786e0,2018-03-27 03:29:35,0,0.10369425,,1.1299999999991872e-05,1,2,2.0,3,0.12253552,0.12253552,0.12253552,0.12253552,0.12253552,0.0,0.12252422,0.10369425,0.01882997,0.06126211,0.06126211,0.0018004865049796
0e8bab5f8e5b26fcd6783ed9c7015d1194ca0ead28844dcfc7e38099c62ad0ac,2018-03-28 03:29:42,0,0.0697675,86407.0,1.130000000000575e-05,1,2,2.0,3,0.0825685,0.0825685,0.0825685,0.0825685,0.0825685,0.0,0.0825572,0.0697675,0.0127897,0.0412786,0.0412786,0.0008116174232099999
6d9cbb319b06f9ca9115c08a15d70e0a65bc002b780ef02e6bd4d7b5cbe95c2c,2018-03-28 20:27:44,0.09574125,0,61082.0,0.003283930000000046,109,1,0.009174311926605505,110,1.00328393,0.09574125,0.0014292,0.006279,0.009204439724770641,0.00012849483520715495,1,1,1,1.0,1.0,0.0
7ed5b1343daeb4bb97b5fcc7ee54eb0680de5f1f6dd7dff94e8655644b2a2b1e,2018-03-28 20:27:44,0.10369425,0,0.0,0.0013857999999999926,18,1,0.05555555555555555,19,1.0013858,0.372372,5.053e-05,0.034359305,0.055632544444444446,0.006402248920246746,1,1,1,1.0,1.0,0.0
fd61f6a18da19f5d2dfbc0a44bc2313ed133b8d8e9deff21f10a36087d00e511,2018-03-28 20:27:44,0.0697675,0,0.0,0.0023649600000000826,29,1,0.034482758620689655,30,0.5023649600000001,0.08710271,6.059e-05,0.01102,0.017322929655172417,0.0003620428446096309,0.5,0.5,0.5,0.5,0.5,0.0
a3319445efce36264f84c3cbc23035b0888b26668ffa93ba4d674842f32f4427,2018-04-02 05:53:36,0,0.10940248,379552.0,1.130000000000575e-05,1,2,2.0,3,0.10941979,0.10941979,0.10941979,0.10941979,0.10941979,0.0,0.10940849,0.10940248,6.01e-06,0.054704245,0.054704245,0.002991896912115225
9b0791abddbd5a1d0185ebf0dc6368c3a9bd372c691cf75546b3b2268aba7c1e,2018-04-02 12:55:34,0.10940248,0,25318.0,0.0069475900000000035,259,1,0.003861003861003861,260,1.00694759,0.10940248,0.00099872,0.00154113,0.0038878285328185326,7.177072611399475e-05,1,1,1,1.0,1.0,0.0
37a57016c1eb2542325818c80db648bd997d70bb67294707dd6ab17bd18053fe,2018-04-03 07:08:16,0,0.0667165,65562.0,1.130000000000575e-05,1,2,2.0,3,0.08017556,0.08017556,0.08017556,0.08017556,0.08017556,0.0,0.08016426,0.0667165,0.01344776,0.04008213,0.04008213,0.0007093896652969
c844a35c87a7e1516596358fc24e1ecefc5c1f232e1a7ded56ec41450131cf6c,2018-04-06 21:54:18,0.0667165,0,312362.0,0.0004846400000002582,20,1,0.05,21,3.0004846400000003,1.11645663,5.02e-05,0.04859073,0.150024232,0.07018916042918676,3,3,3,3.0,3.0,0.0
e246b525c0dfb6123f3733122079237a0c6df9a8b1e5d8ac318766e21aa7a1fa,2018-04-14 18:51:09,0.0001,0,680211.0,0.003361150000000035,172,1,0.005813953488372093,173,0.60336115,0.0595056,1e-05,0.00109497,0.003507913662790698,4.703866411860577e-05,0.6,0.6,0.6,0.6,0.6,0.0
