txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
8648f0f72fe8b7be05f01a959164416e1e0093708e559cc6ce2070dd15c958aa,2019-10-08 00:30:31,0,0.00446,,1.2999999999999123e-05,1,2,2.0,3,0.01731058,0.01731058,0.01731058,0.01731058,0.01731058,0.0,0.01729758,0.01283758,0.00446,0.00864879,0.00864879,1.7545961664099995e-05
f614e8a0d30665942cd51f948592dd5054c91876a486f379156286dc598ee5af,2019-10-09 23:16:42,0,0.002891,168371.0,4.2999999999999636e-05,1,2,2.0,3,0.01342201,0.01342201,0.01342201,0.01342201,0.01342201,0.0,0.01337901,0.01048801,0.002891,0.006689505,0.006689505,1.4428640235025002e-05
7ea9470d29b22d91bddf55c1f12dc4c5a24486c06a00dd856314b894c1b9954e,2019-10-10 22:35:35,0,0.001433,83933.0,6.999999999993123e-06,1,2,2.0,3,0.11968621,0.11968621,0.11968621,0.11968621,0.11968621,0.0,0.11967921000000001,0.11824621,0.001433,0.059839605000000004,0.059839605000000004,0.0034113315076260255
799fa85c69071fe478315951b05d8ab1bf716bb959f1f83edb9ccb28a52fdbd3,2019-10-13 01:16:59,0,0.004388,182484.0,7.000000000000062e-06,1,2,2.0,3,0.01776003,0.01776003,0.01776003,0.01776003,0.01776003,0.0,0.01775303,0.01336503,0.004388,0.008876515,0.008876515,2.0146766905224997e-05
2a6be568c2c0710a3b4f09d6f92532be681a35a4b111d35dc858d4a946c2bc1c,2019-10-13 14:27:25,0,0.00482829,47426.0,1.7760000000199838e-05,1,4,4.0,5,1.11358299,1.11358299,1.11358299,1.11358299,1.11358299,0.0,1.1135652299999999,1.10214594,0.001591,0.004914145,0.27839130749999996,0.22619240908939237
b90500d4969418485e2e66a787268f5106034fcaf64d0238c174dbd494b6d847,2019-10-20 04:20:32,0,0.002261,568387.0,9.999999999998899e-05,1,2,2.0,3,0.155114,0.155114,0.155114,0.155114,0.155114,0.0,0.155014,0.152753,0.002261,0.077507,0.077507,0.005661960516
3903e5b52a4fdd5fc562528300330be509e436534aab59f97f889c8aa298535d,2019-10-22 06:21:32,0.03390129,0,180060.0,0.004627259999999023,600,2,0.0033333333333333335,602,2.004700399999999,0.167036,1e-05,0.002240425,0.003341167333333333,7.519878446099422e-05,2.00007314,2,7.314e-05,1.00003657,1.00003657,0.9999268613373649
8a18121c18ba818e9b7a3968ded30f89ccdc410fe820e356cce5a30a9eace5ce,2019-10-22 06:21:32,0.024555999999999998,0,0.0,0.005768699999999516,743,2,0.0026917900403768506,745,3.0061154399999994,0.36786,6.27e-06,0.0019,0.004045915800807537,0.00023139826709855815,3.00034674,3,0.00034674,1.50017337,1.50017337,2.249479920057157
d82e7d2b1d021d4ed60a691442c1728ed684fe999093f2473dbdd2c62f9d49f6,2019-10-22 19:32:36,0,0.00209715,47464.0,1.5719999999941336e-05,1,4,4.0,5,2.59061734,2.59061734,2.59061734,2.59061734,2.59061734,0.0,2.59060162,1.29135224,0.00209715,0.648576115,0.647650405,0.4143537598326142
6f883a042cbd5ecb48293fd4d4134c5545f671f599ee33f785265bce8b86d2db,2019-10-22 20:39:18,0,0.001963,4002.0,0.00010000000000000286,1,2,2.0,3,0.04038245,0.04038245,0.04038245,0.04038245,0.04038245,0.0,0.04028245,0.03831945,0.001963,0.020141225,0.020141225,0.00033044786415062496
128e86b8010639f401e1b84bff585fced2ff3baa41efc9df6f5b26530b470691,2019-10-25 14:45:22,0,0.00425976,237964.0,7.590000000012864e-05,1,5,5.0,6,1.11472905,1.11472905,1.11472905,1.11472905,1.11472905,0.0,1.1146531499999999,1.07843209,0.00031941,0.00425976,0.22293062999999996,0.18308702478351224
