txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
e946b57f11ba4c92d92e1ff2c2cad9e0454ef532dac97c023d51f9fca95dde8d,2017-01-14 00:33:09,0,0.0114,,0.0003999999999999976,1,2,2.0,3,0.098145,0.098145,0.098145,0.098145,0.098145,0.0,0.097745,0.086345,0.0114,0.0488725,0.0488725,0.0014041882562500002
5758876cd628d1c40c5473c5d2968ef27e15b4a2993435c0a919bb592ab01610,2017-01-14 01:41:26,0,0.0085,4097.0,0.00040000000000001146,1,2,2.0,3,0.18053641,0.18053641,0.18053641,0.18053641,0.18053641,0.0,0.18013641,0.17163641,0.0085,0.090068205,0.090068205,0.006653372066922025
5629bf72a37fea6f86411a961724e97afd726e2e7712056fcae05c03e496df3c,2017-01-14 01:41:26,0,0.01,0.0,0.0003999999999999837,1,2,2.0,3,0.19093641,0.19093641,0.19093641,0.19093641,0.19093641,0.0,0.19053641000000002,0.18053641,0.01,0.09526820500000001,0.09526820500000001,0.0072706667839220265
7937c74e8505aacc22fb45ccf1310cf850a02986223b0bd24ee32e08a31c5e9d,2017-01-14 01:41:26,0,0.01,0.0,0.0003999999999999837,1,2,2.0,3,0.20133641,0.20133641,0.20133641,0.20133641,0.20133641,0.0,0.20093641,0.19093641,0.01,0.100468205,0.100468205,0.008184496115922025
3452cb6e00a8e682efeb1a421dc6788f4950741f4d5b2be525dca5749ab47aca,2017-01-14 02:11:40,0,0.0011,1814.0,0.00040000000000001146,1,2,2.0,3,0.16649327,0.16649327,0.16649327,0.16649327,0.16649327,0.0,0.16609327,0.16499327,0.0011,0.083046635,0.083046635,0.006715250987823225
2ea78250df594d2676cd991005f4552c0d0dd820099196c57f467ccac964e8c9,2017-01-14 07:05:48,0,0.00242,17648.0,0.0001732000000000001,1,1,1.0,2,0.0025932,0.0025932,0.0025932,0.0025932,0.0025932,0.0,0.00242,0.00242,0.00242,0.00242,0.00242,0.0
ad3b7f1713e0de8ef5ac299f7e5b690d8efd3374431ca7b487facdf8f5e7724f,2017-01-14 15:01:35,0,0.00178,28547.0,0.000400000000000178,1,2,2.0,3,1.02731693,1.02731693,1.02731693,1.02731693,1.02731693,0.0,1.0269169299999998,1.02513693,0.00178,0.5134584649999999,0.5134584649999999,0.2618148515447562
74105be0c9c2c23f308214206eae552d4b161d997ee11f0878e1a66c27cafa60,2017-01-14 18:09:54,0,0.00400231,11299.0,0.05434066999996645,1,2487,2487.0,2488,35,35,35,35.0,35.0,0.0,34.94565933000003,14.88527836,0.00040959,0.00276547,0.014051330651387212,0.08962894183493622
5fbb359065a86cc2b5e21240523229cc71baf1a59eee050df0c503bd527c9d00,2017-01-14 22:17:28,0,0.001,14854.0,0.0002518100000000001,1,2,2.0,3,0.0012994,0.0012994,0.0012994,0.0012994,0.0012994,0.0,0.00104759,0.001,4.759e-05,0.000523795,0.000523795,2.26771202025e-07
f48e1196e11766e80421e4219456af3dfec866381e395524542257f8218b3d9f,2017-01-15 00:52:56,0,0.00138,9328.0,0.00039999999999995595,1,2,2.0,3,7.9161858,7.9161858,7.9161858,7.9161858,7.9161858,0.0,7.9157858,7.9144058,0.00138,3.9578929,3.9578929,15.653994327866409
