txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
58e711d3a4738bf8d344a1869ebebb69407234b2a2c9f78a122071549bf40936,2014-11-20 02:38:47,0,0.05540897,,0.0,2,2,1.0,4,0.07966407,0.06376812,0.01589595,0.039832035,0.039832035,0.0005729361651272251,0.07966407,0.05540897,0.0242551,0.039832035,0.039832035,0.000242640903994225
f5c67b416def15897bef880a4e625ee17b20bb34bd597c43415594f20bed5caf,2014-11-20 05:30:09,0.05540897,0,10282.0,9.999999999998899e-05,3,2,0.6666666666666666,5,0.31122602,0.12859267,0.05540897,0.12722438,0.10374200666666666,0.0011683532529646887,0.31112602,0.267,0.04412602,0.15556301,0.15556301,0.012418202740260101
f594787312312754498ce1e7919fdace2b8045a4eda19b2e503bad918bc1ca88,2016-11-15 19:31:15,0,0.00037277,62776866.0,0.0010000000000014442,1,282,282.0,283,1.59789051,1.59789051,1.59789051,1.59789051,1.59789051,0.0,1.5968905099999986,1.49646769,0.00020005,0.000263155,0.00566273230496454,0.007909352781659057
f33611a83db89d6c30c0bacd46480619335888a3f6c19929e673e5b84f1f1415,2016-11-19 00:30:58,0,0.01315,277183.0,9.999999999998899e-05,1,2,2.0,3,0.42916,0.42916,0.42916,0.42916,0.42916,0.0,0.42906,0.41591,0.01315,0.21453,0.21453,0.0405539044
9b1f039832c70a9e04b162a0e0bec822e2264d89fea1db4757fd12daa4843061,2016-11-19 09:33:13,0.01315,0,32535.0,0.007457000000016478,338,1,0.0029585798816568047,339,16.007457000000016,2.8551054,5.75e-05,0.00257322,0.047359340236686386,0.035856801227013665,16,16,16,16.0,16.0,0.0
e0d0176d2bd045de352646ed932aabdc1f0321c7c5cdd42092c5687ccfceb2a4,2016-11-26 16:50:19,0.00037277,0,631026.0,0.00745700000000582,401,1,0.0024937655860349127,402,19.007457000000006,2.02567546,2.875e-05,0.00257322,0.0474001421446384,0.029502353976611252,19,19,19,19.0,19.0,0.0
ddccd7f920a18b4190a8d50f7ec2a6c4d664a5356ea719e148331b2e036a1c5e,2017-01-25 10:17:31,0,0.00020422,5160432.0,0.009398840000000047,1,289,289.0,290,0.23874995,0.23874995,0.23874995,0.23874995,0.23874995,0.0,0.22935110999999994,0.15621355,0.0002,0.00020854,0.0007936024567474049,8.392968244639504e-05
1010a0e5fb4724a2b464c40d8283b600195ce599975e4a3392a14319aed65618,2017-01-27 21:08:10,0.00020422,0,211839.0,0.007456999999995162,251,1,0.00398406374501992,252,20.007456999999995,2.28,1e-05,0.01539767,0.07971098406374504,0.061952189402020144,20,20,20,20.0,20.0,0.0
70520fb899afb999ac3a29bf0c16c54ebcc4ad198a08c945683db25821828956,2019-06-27 22:56:54,0,0.0012702,76124924.0,0.0002576400000000004,1,2,2.0,3,0.00326179,0.00326179,0.00326179,0.00326179,0.00326179,0.0,0.0030041499999999997,0.00173395,0.0012702,0.0015020749999999999,0.0015020749999999999,5.3766015625e-08
24191f144a6941b25543948ff422d774e19fe2421b9af57eb99173811f112c05,2019-07-08 23:01:18,0.0012702,0,950664.0,0.029142299999999288,451,1,0.0022172949002217295,452,6.029095979999999,0.36636478,5.46e-06,0.00257519,0.01336828376940133,0.0009343571414399686,5.99995368,5.99995368,5.99995368,5.99995368,5.99995368,0.0
a7c96d9efec6f44b0137005c4364d2f0b403c190364f05a7e0bd7d8859702e6a,2020-06-21 01:34:32,0,0.00129507,30076394.0,9.079999999994648e-06,1,2,2.0,3,0.03771624,0.03771624,0.03771624,0.03771624,0.03771624,0.0,0.03770716,0.03641209,0.00129507,0.01885358,0.01885358,0.0003083012734201
ad993b1d4b557587f8286485f5510c18b3c9d9de826244a2ce3eee70e33694c8,2020-06-21 03:53:27,0.00129507,0,8335.0,0.0021977999999998055,49,2,0.04081632653061224,51,3.0100000199999997,0.35750289,4e-05,0.01913371,0.0614285718367347,0.007115109411580697,3.00780222,3,0.00780222,1.50390111,1.50390111,2.238311888659232
876efe7ba7dd7989bbc401ce5c2658ee810fb67fb9320ae53e28ba1d32630006,2020-06-21 17:29:29,0,0.00010676,48962.0,6.810000000002925e-06,1,2,2.0,3,0.03641209,0.03641209,0.03641209,0.03641209,0.03641209,0.0,0.03640528,0.03629852,0.00010676,0.01820264,0.01820264,0.00032746087297440003
4803617ba42bfa2dd13e548748d14981243bde0443f09c752bca29d30c5408a4,2020-06-21 17:59:29,0,0.00117442,1800.0,6.809999999995986e-06,1,2,2.0,3,0.03629852,0.03629852,0.03629852,0.03629852,0.03629852,0.0,0.036291710000000005,0.03511729,0.00117442,0.018145855000000002,0.018145855000000002,0.00028802960595922505
