txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
f34165aeb7c05ab32aae3d8695faef1d18471dfbb31d0edfab14de8151504db2,2021-03-11 13:22:31,0,0.00357003,,0.0002443099999993592,1,5,5.0,6,5.42673159,5.42673159,5.42673159,5.42673159,5.42673159,0.0,5.426487280000001,5.4100305,0.00049203,0.00357003,1.0852974560000002,4.675836392054611
4a71ba75c4c539a4f6d0f0d793f964e118ab73b86765bb6795edd27304dd29d5,2021-03-11 14:43:02,0,0.00061301,4831.0,0.00018550999999988882,1,3,3.0,4,1.02709934,1.02709934,1.02709934,1.02709934,1.02709934,0.0,1.02691383,1.02473534,0.00061301,0.00156548,0.34230461,0.23285600182401664
741e3466c57d13f0ecdd2fc728ebaafe66a13241cb4d8663050640dfa67327c1,2021-03-11 22:37:20,0.00061301,0,28458.0,0.0002305199999999999,2,1,0.5,3,0.0007580099999999999,0.00061301,0.000145,0.00037900499999999997,0.00037900499999999997,5.4758340024999994e-08,0.00052749,0.00052749,0.00052749,0.00052749,0.00052749,0.0
ce24b73e29167f11ed85257b9cd9c5a14cd36a8d9c65cdb11592a1f5cda9f543,2021-03-13 13:49:51,0,0.00591557,141151.0,0.0002656800000000008,2,3,1.5,5,0.02219655,0.0114051,0.01079145,0.011098275,0.011098275,9.414158062500009e-08,0.021930869999999998,0.01450959,0.00150571,0.00591557,0.00731029,2.9156104448266666e-05
c926d908725b18a2d079b97b6783999f48d9b1b04d73e57af42ad852089d1fdb,2021-03-13 16:41:12,0,0.00261667,10281.0,0.00015389999999999848,1,2,2.0,3,0.01642354,0.01642354,0.01642354,0.01642354,0.01642354,0.0,0.016269640000000002,0.01365297,0.00261667,0.008134820000000001,0.008134820000000001,3.0449979422500004e-05
2029f629c1e9fcadc5299bccd6f0b193327fa607f1a327c4caf6effde36f1bba,2021-03-14 08:09:48,0.00261667,0,55716.0,9.534000000000018e-05,1,2,2.0,3,0.00261667,0.00261667,0.00261667,0.00261667,0.00261667,0.0,0.00252133,0.00164901,0.00087232,0.001260665,0.001260665,1.50811839025e-07
f776d5c1c44ea75c82c279acf0c9d4fce456839cc79c7b5177a8e43b3db88893,2021-03-14 13:22:05,0.00357003,0,18737.0,5.639999999999985e-05,2,2,1.0,4,0.00378369,0.00357003,0.00021366,0.001891845,0.001891845,2.816304894225e-06,0.0037272900000000003,0.00217146,0.00155583,0.0018636450000000001,0.0018636450000000001,9.475007422500001e-08
ff2180684fec27f702450aa22c6e22d58c5357e59f6a56179aba9481f1a2f3e9,2021-03-15 14:56:10,0.00591557,0,92045.0,0.0002292800000000001,2,1,0.5,3,0.01292699,0.00701142,0.00591557,0.006463495,0.006463495,3.002218056249999e-07,0.01269771,0.01269771,0.01269771,0.01269771,0.01269771,0.0
df619c81a21035b99f6dea2ea953aa9232946d8fef2c17bba2b067917521fec4,2021-03-18 02:03:32,0,0.0054867,212842.0,0.0004074499999999759,1,8,8.0,9,6.69717097,6.69717097,6.69717097,6.69717097,6.69717097,0.0,6.69676352,6.46458196,0.00075506,0.010090695,0.83709544,4.52695654121697
bb168f403694fb8989ed73b826b27da7e0596572cfa6699de27002c7ffbd0a65,2021-03-18 13:10:37,0,0.00606297,40025.0,0.00016148000000004714,1,2,2.0,3,2.46851961,2.46851961,2.46851961,2.46851961,2.46851961,0.0,2.46835813,2.46229516,0.00606297,1.234179065,1.234179065,1.5082691427980492
d9269fc78e925b0c52b659aae12a395d0937d5c5b20336cbb8628b693d18e655,2021-03-19 07:05:56,0.0054867,0,64519.0,5.674999999999951e-05,1,2,2.0,3,0.0054867,0.0054867,0.0054867,0.0054867,0.0054867,0.0,0.00542995,0.005152,0.00027795,0.002714975,0.002714975,5.939090850625001e-06
cc9bd7466aa7d95134c88f9e8daba36699366d5cfaad31e59daffe817942c991,2021-03-19 07:38:14,0.00606297,0,1938.0,0.00022447999999999912,2,1,0.5,3,0.01784639,0.01178342,0.00606297,0.008923195,0.008923195,8.180887050624997e-06,0.01762191,0.01762191,0.01762191,0.01762191,0.01762191,0.0
0d44b7ffce06710554e1511d4ac84adb48c13d94673e0e047bec20aaadf0802e,2021-03-20 13:01:10,0,0.00626616,105776.0,0.00022537999999983072,1,3,3.0,4,3.66611003,3.66611003,3.66611003,3.66611003,3.66611003,0.0,3.66588465,3.65811315,0.00150534,0.00626616,1.22196155,2.9674210866591255
3c716b463f26375d8a3075b8addbd927f415739425b0495322f3c75fff7e9cfc,2021-03-21 11:55:48,0.00626616,0,82478.0,0.00014697999999999795,2,1,0.5,3,0.01743208,0.01116592,0.00626616,0.00871604,0.00871604,6.0019120143999984e-06,0.0172851,0.0172851,0.0172851,0.0172851,0.0172851,0.0
fcdef86123b4c10848420dbec76ba9e4498e1026e1d0391bed3c59bd1ae8697a,2021-03-22 08:32:01,0,0.0047683,74173.0,0.0002162400000000897,1,4,4.0,5,1.02428042,1.02428042,1.02428042,1.02428042,1.02428042,0.0,1.0240641799999999,1.00834159,0.0047683,0.005477145,0.25601604499999997,0.1886646589750283
8e112c2ea4b8f277830b09adf0f6a926f85664445fd914e0cf368c7542a0c70b,2021-03-22 19:44:56,0.0047683,0,40375.0,5.674999999999951e-05,1,2,2.0,3,0.0047683,0.0047683,0.0047683,0.0047683,0.0047683,0.0,0.00471155,0.0042939,0.00041765,0.002355775,0.002355775,3.756328515625e-06
eb0daa2bd314c654a86fda47a2751e01ff20dc493425e8f7d99d8dec5aa0b9b2,2021-03-24 14:31:28,0,0.00279479,153992.0,0.00012042999999994919,1,2,2.0,3,2.98288647,2.98288647,2.98288647,2.98288647,2.98288647,0.0,2.98276604,2.97997125,0.00279479,1.49138302,1.49138302,2.2158949184945333
ab3df30c8b9f34c9043b55ce9d150375874cadb6d20f6b566e2a105133c029b4,2021-03-25 07:21:53,0,0.00395622,60625.0,8.19000000000002e-05,1,2,2.0,3,0.00407912,0.00407912,0.00407912,0.00407912,0.00407912,0.0,0.00399722,0.00395622,4.1e-05,0.00199861,0.00199861,3.8322369121e-06
46c6310398567bd7733a95a2ca4af5b6f71df3196d3be1a84fdbdf9a2b82b629,2021-03-25 09:01:48,0.00279479,0,5995.0,7.009999999999829e-05,2,1,0.5,3,0.009602349999999999,0.00680756,0.00279479,0.0048011749999999995,0.0048011749999999995,4.025580768225e-06,0.00953225,0.00953225,0.00953225,0.00953225,0.00953225,0.0
9feb64313ae94affa6bc6997af9f0fcb9d4266870015528fdf9cb967e8eac686,2021-03-25 19:05:25,0,0.0007542,36217.0,1.890000000000008e-05,1,3,3.0,4,0.00160508,0.00160508,0.00160508,0.00160508,0.00160508,0.0,0.00158618,0.00079098,4.1e-05,0.0007542,0.0005287266666666666,1.191641120888889e-07
8f1030c5ccb7d4f53e16711fec50a9b24242756bad53d2f21d6745d6f9e58d83,2021-03-26 02:19:49,0.00395622,0,26064.0,0.0002173399999999999,2,1,0.5,3,0.01054541,0.00658919,0.00395622,0.005272705,0.005272705,1.7331327552250002e-06,0.01032807,0.01032807,0.01032807,0.01032807,0.01032807,0.0
634cd91a9a24f01015d121c338b64ce7f9e4eaf59c165ce8233ee9395f6a9120,2021-03-26 02:46:10,0,0.0039779,1581.0,0.00033583000000003693,1,11,11.0,12,0.42738968,0.42738968,0.42738968,0.42738968,0.42738968,0.0,0.42705384999999996,0.37532275,0.00032003,0.00191997,0.03882307727272727,0.011355007492152874
feeca6430202c94c765203f71b4cfb6195c204eb493017a8920404129c670787,2021-03-26 05:28:25,0.0007542,0,9735.0,8.779999999999997e-05,2,1,0.5,3,0.00085695,0.0007542,0.00010275,0.000428475,0.000428475,1.0609677562500001e-07,0.00076915,0.00076915,0.00076915,0.00076915,0.00076915,0.0
9ab97d29d31d6da2e3ce8960c775d7b6887626c8ff0f809495304ca5f39c8373,2021-03-26 12:01:12,0,0.00547609,23567.0,0.00012095999999999982,2,2,1.0,4,0.00565181,0.00486083,0.00079098,0.002825905,0.002825905,4.1409197556249996e-06,0.00553085,0.00547609,5.476e-05,0.002765425,0.002765425,7.347704742225e-06
607766f448cbafa511576c15891f0e1cf4144e0143f6747d2a11c1062342c545,2021-03-26 19:50:59,0,0.00616295,28187.0,0.00013083999999999926,1,2,2.0,3,0.00635541,0.00635541,0.00635541,0.00635541,0.00635541,0.0,0.0062245700000000004,0.00616295,6.162e-05,0.0031122850000000002,0.0031122850000000002,9.306556942225001e-06
c62a2a78972ecfe2062b43752d7b6adb157a6abd9043eefd338b3394af66d3c6,2021-03-26 21:25:09,0.0039779,0,5650.0,4.512000000000092e-05,2,2,1.0,4,0.004304870000000001,0.0039779,0.00032697,0.0021524350000000003,0.0021524350000000003,3.3323224662250006e-06,0.00425975,0.00300197,0.00125778,0.002129875,0.002129875,7.605496890250001e-07
66eaf701ac1033c4bed5fbafdd9556280705cc18024981806a8df83a5691e0b4,2021-03-27 01:35:45,0,0.0157871,15036.0,0.00013859999999999914,1,3,3.0,4,0.01738199,0.01738199,0.01738199,0.01738199,0.01738199,0.0,0.01724339,0.0157871,0.00015787,0.00129842,0.005747796666666667,5.061061475975555e-05
dfa4b28b7773878fb5a9203d72146a13d61c2a8d277c756e9b0a628254f5128d,2021-03-27 05:35:01,0.00547609,0,14356.0,0.0001487399999999979,2,1,0.5,3,0.02030464,0.01482855,0.00547609,0.01015232,0.01015232,2.1867127012899997e-05,0.0201559,0.0201559,0.0201559,0.0201559,0.0201559,0.0
acffba60b5192cb89a486314909aac4a160f9c4a2efbbd095fdb9a66f66ec5c5,2021-03-28 13:22:49,0,0.00449561,114468.0,0.00013050000000003337,1,3,3.0,4,1.10786467,1.10786467,1.10786467,1.10786467,1.10786467,0.0,1.10773417,1.10265521,0.00058335,0.00449561,0.36924472333333336,0.2689480219393697
