txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
49bc0fb566464d2e03f481595bbe7c34fada24e8c8e1b37000d9156041ba4c91,2018-03-01 04:33:40,0,0.00573586,,0.0167555899997609,1,2155,2155.0,2156,47.69255697,47.69255697,47.69255697,47.69255697,47.69255697,0.0,47.67580138000024,21.55041382,0.00504755,0.00742139,0.02212334170765661,0.2157695355709037
391ed1adce7a33bc8d1dc0b20f4d6c5bb3c01b9c353f56c43bf91be73c9903f1,2018-03-02 04:26:47,0,0.00580155,85987.0,0.021386859999829255,1,2259,2259.0,2260,42.51539175,42.51539175,42.51539175,42.51539175,42.51539175,0.0,42.49400489000017,8.62868431,0.00501254,0.0092562,0.01881098047366091,0.034232755215556444
dc46947210816d657d61993ab7983f0bcfd68124abeeb15422024e14b1d67767,2018-03-03 09:56:18,0,0.00577403,106171.0,0.01875375000032875,1,2287,2287.0,2288,96.24663739,96.24663739,96.24663739,96.24663739,96.24663739,0.0,96.22788363999967,61.92542584,0.00500175,0.00929392,0.042076031324879755,1.6765919697994078
6ad1e3861c90ef752b2ef9f143ab32967ffbe08b39e60deb944733ea12a51ce0,2018-03-04 02:52:39,0,0.00582198,60981.0,0.019548049999812633,1,2288,2288.0,2289,52.11552998,52.11552998,52.11552998,52.11552998,52.11552998,0.0,52.095981930000185,18.46214222,0.00504329,0.00904488,0.022769222871503497,0.150059688605376
7e74fc6aacfa4b01184b00cdc4234e970558f10856913f30a0d95277bea7b5e7,2018-03-04 10:15:18,0.0168818,0,26559.0,0.0008549199999999813,52,2,0.038461538461538464,54,0.30104654,0.01951287,0.00099234,0.004244605,0.005789356538461538,1.4261344416641867e-05,0.30019162,0.3,0.00019162,0.15009581,0.15009581,0.0224712661795561
b7a453439d3f3630f7e1f78eea624abb4dc2e907cdee885df8891ae0142d9c9c,2018-03-04 10:15:18,0.07047648,0,0.0,0.001375879999999885,84,2,0.023809523809523808,86,1.0099999999999998,0.093,0.00190248,0.00669799,0.012023809523809523,0.0002270741644004474,1.00862412,1,0.00862412,0.50431206,0.50431206,0.2457065338614436
166b486e67e0525acb8f6327027cc1f2fcfe66aa528d1cde734725cb1e606f27,2018-03-04 10:15:18,0.03566681,0,0.0,0.0034922800000003473,214,2,0.009345794392523364,216,1.0036839000000004,0.11,0.00037001,0.00301725,0.004690111682242991,7.029672386298596e-05,1.00019162,1,0.00019162,0.50009581,0.50009581,0.24990419917955609
be87a603c0eb466094b4b3caa25eb778c0ee29ddef932808d478481502d2d74f,2018-03-04 12:55:52,0,0.00588432,9634.0,0.020049450000072966,1,2328,2328.0,2329,54.5234754,54.5234754,54.5234754,54.5234754,54.5234754,0.0,54.50342594999993,20.32216959,0.00500168,0.00932813,0.02341212454896907,0.17845912810381095
bcd69e4160c7d00e64fc8a1fd632d1fb777c6298f2020653254efe3e3eb9b37c,2018-03-06 10:09:18,0,0.00585773,162806.0,0.013939509999900679,1,2279,2279.0,2280,48.76890851,48.76890851,48.76890851,48.76890851,48.76890851,0.0,48.7549690000001,14.60187481,0.00500041,0.00910596,0.021393141290039486,0.094769779470797
5439241c1907405ee220446b3c8a1ad3d6467c60c6cdc7597c6f3ddaaee8ffcb,2018-03-07 13:19:39,0,0.00520773,97821.0,0.008794020000053138,1,2144,2144.0,2145,66.5038532,66.5038532,66.5038532,66.5038532,66.5038532,0.0,66.49505917999994,36.9157243,0.00500148,0.00885236,0.03101448655783582,0.6360376505429889
c92a63fad21678d8831c2b58a4b4a330028b5c28938c665d2ba9bb77a5969e2c,2018-03-08 08:57:06,0,0.00508655,70647.0,0.009211959999959163,1,2243,2243.0,2244,31.52977561,31.52977561,31.52977561,31.52977561,31.52977561,0.0,31.520563650000042,1.31864857,0.00500262,0.00880991,0.014052859407044137,0.0018616936433992822
