txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
817ca7182ecab14a2dd3405dbdb4d317a1c5a2b0fb5a5f6ce6e204a7740ed8b7,2016-11-20 07:58:16,0,0.00257322,,0.0004392000000000007,1,17,17.0,18,0.0369068,0.0369068,0.0369068,0.0369068,0.0369068,0.0,0.036467599999999996,0.0282209,9e-05,0.00018,0.002145152941176471,4.292520908318547e-05
65d1d3b974a17da6a2b73822340ea4ca19f0f6614faedc9fa7892bf8e6687f51,2016-11-20 09:30:10,0,0.00257322,5514.0,0.000437400000000001,1,17,17.0,18,0.01929175,0.01929175,0.01929175,0.01929175,0.01929175,0.0,0.01885435,0.01052215,9e-05,0.00018,0.0011090794117647057,5.962665086299653e-06
113ff6d3586d0cb91b167d9609a68e7f716525bb5d77283f61fbf6a8677f4313,2016-11-20 10:03:47,0,0.00257322,2017.0,0.0004380000000000009,1,17,17.0,18,0.04727047,0.04727047,0.04727047,0.04727047,0.04727047,0.0,0.04683247,0.03850027,9e-05,0.00018,0.0027548511764705877,8.028323189695156e-05
b97d1ad22e6d123c64e1d194dc91aff2f97cc14e021473dcabe9485a7aa558d6,2016-11-20 11:29:39,0,0.00257322,5152.0,0.00043679999999995944,1,17,17.0,18,0.12964378,0.12964378,0.12964378,0.12964378,0.12964378,0.0,0.12920698000000003,0.12132851,9e-05,0.0001755,0.007600410588235294,0.0008088039920097114
732187294e3595bbf71112f15f9aa47a52568f91a102a6e91532078f3bbf4985,2016-11-20 12:02:13,0,0.00257322,1954.0,0.0005256000000000045,2,17,8.5,19,0.020554990000000002,0.01045278,0.01010221,0.010277495000000001,0.010277495000000001,3.072483122499995e-08,0.020029389999999998,0.01215092,9e-05,0.0001755,0.0011781994117647057,7.948992090664363e-06
593673e94ae1a6c69c61723075f17af372d71f8f192d46735db8a4e40318699e,2016-11-20 13:04:13,0,0.00257322,3720.0,0.00043620000000000464,1,17,17.0,18,0.05886737,0.05886737,0.05886737,0.05886737,0.05886737,0.0,0.05843117,0.0505527,9e-05,0.0001755,0.003437127647058824,0.00013916627715552388
3764b9c74227ca6166ac397a67251d8492bbf73892da4772b600d88c2cd5290c,2016-11-20 14:27:22,0,0.00257322,4989.0,0.0004367999999999872,1,17,17.0,18,0.1714718,0.1714718,0.1714718,0.1714718,0.1714718,0.0,0.17103500000000002,0.16338153,9e-05,0.0001755,0.010060882352941175,0.001469611313595089
0836d619cd9ed69eee34627a141b589ec511dcb7ef8af5430d2bc6b7bebdb3a8,2016-11-20 15:05:18,0,0.00257322,2276.0,0.0005268000000000009,2,17,8.5,19,0.0232878,0.0132878,0.01,0.0116439,0.0116439,2.7024072100000007e-06,0.022761,0.01137939,9e-05,0.000324,0.0013388823529411767,7.201820443606229e-06
250e84b5615f59687a44ed06dc50a1a7afecf65c0606405cade7684e5e4dccf0,2016-11-20 16:20:48,0,0.00257322,4530.0,0.00043799999999999395,1,17,17.0,18,0.09190275,0.09190275,0.09190275,0.09190275,0.09190275,0.0,0.09146475000000001,0.08008314,9e-05,0.000324,0.005380279411764705,0.00034968341958452304
28c485ad8ffe52358e039984fa11841d8b43082ae03b46ef95490ee54dd212a0,2016-11-20 17:15:01,0,0.00257322,3253.0,0.00043800000000001477,1,17,17.0,18,0.05,0.05,0.05,0.05,0.05,0.0,0.04956199999999999,0.03881039,9e-05,0.00027,0.002915411764705882,8.143708035730866e-05
