txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
2c639404d0faa5c2e5a4a21abcb781262146a964539f1ccfcb769f9c98ee8c9c,2018-12-26 18:20:03,0,0.00053626,,4.884000000000832e-05,1,2,2.0,3,0.05,0.05,0.05,0.05,0.05,0.0,0.049951159999999994,0.0494149,0.00053626,0.024975579999999997,0.024975579999999997,0.0005972803620624
d9238565ad237d87222a0535f90c4c0fca123706b9e8ec771a5d2b0663bdee5f,2018-12-26 21:55:54,0.00053626,0,12951.0,0.002257990000000154,219,2,0.0091324200913242,221,1.00228844,0.07064,1e-05,0.0013034,0.004576659543378996,8.102827319888106e-05,1.00003045,1,3.045e-05,0.500015225,0.500015225,0.24998477523180063
8497e8c0d68d3f9b3f841dbf4b41f7c6447e2c74bdd19c527b582ced26ca3783,2019-02-28 15:24:54,0,0.00012889,5506140.0,7.829999999999643e-05,1,2,2.0,3,0.0494149,0.0494149,0.0494149,0.0494149,0.0494149,0.0,0.0493366,0.04920771,0.00012889,0.0246683,0.0246683,0.0006021826431481
5c3d1974e3b432997ff7ad346ba4c99fcbb494265a6841def577a745f7b853d2,2019-02-28 15:24:54,0,0.00052656,0.0,7.831999999999284e-05,1,2,2.0,3,0.15,0.15,0.15,0.15,0.15,0.0,0.14992168,0.14939512,0.00052656,0.07496084,0.07496084,0.0055404620391184
44ff819c30f27a435e2ae75506895fccfd660b639333a6d4d8f2242b5e74d39c,2019-02-28 15:30:23,0,0.26328053,329.0,7.830000000003112e-05,1,2,2.0,3,0.29913186,0.29913186,0.29913186,0.29913186,0.29913186,0.0,0.29905356,0.26328053,0.03577303,0.14952678,0.14952678,0.012939915639062502
0cc89f99ec8bdadca3e74b34f6c966039b411b31240615867f704352b3402ce3,2019-02-28 15:30:23,0,0.00078984,0.0,7.829999999997561e-05,1,2,2.0,3,0.3,0.3,0.3,0.3,0.3,0.0,0.2999217,0.29913186,0.00078984,0.14996085,0.14996085,0.0222519902244201
1aaf6840313272899cd63bc76f0e50f21317dff2e822693d0e9bcaffca8a7ce4,2019-02-28 15:32:17,0,0.0023432,114.0,7.829999999999946e-05,1,2,2.0,3,0.00251596,0.00251596,0.00251596,0.00251596,0.00251596,0.0,0.0024376600000000003,0.0023432,9.446e-05,0.0012188300000000002,0.0012188300000000002,1.2642078969000002e-06
6d3d59994d9becc6c3b363e1b7d7a93a71dbb58bdbd5fd6da466abf498402725,2019-02-28 15:32:17,0,0.23168686,0.0,0.00017303999999998543,3,2,0.6666666666666666,5,0.23437586,0.14939512,0.03577303,0.04920771,0.07812528666666667,0.0025697763427976216,0.23420282,0.23168686,0.00251596,0.11710141,0.11710141,0.0131298253517025
2062fc8c36516e0543a3793a7d2a42138de8c316c0b0b9f2f1fd452e58713724,2019-03-04 13:22:11,0.00012889,0,337794.0,0.00011119999999920083,7,2,0.2857142857142857,9,4.810000029999999,4.7722776,6.01e-06,0.00101895,0.6871428614285714,2.78148858230549,4.80988883,4.8,0.00988883,2.404944415,2.404944415,5.736291255239692
153126d2f4afbd1db1fdcfa8aa4d348b2106491f7981b26d013155221df2621c,2019-03-04 13:22:11,0.26328053,0,0.0,0.00018519999999977443,12,2,0.16666666666666666,14,5.0003594,0.94343739,1.03e-05,0.3068266,0.41669661666666674,0.10439268716864196,5.0001742,5,0.0001742,2.5000871,2.5000871,6.24956450758641
