txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
34b9a4997a223027c12b08936a6f648d2687aa201d58790cee1788b329ed0b4c,2019-08-24 13:12:27,0,0.00021678,,2.2660000000007674e-05,1,11,11.0,12,0.25012887,0.25012887,0.25012887,0.25012887,0.25012887,0.0,0.25010621,0.24674204,0.00021678,0.00029887,0.022736928181818182,0.005017842472608996
2f5e3d2c55109c017f330d3602e68c223863c7b27f1a11d2932f03e77e97b651,2019-08-26 19:40:36,0.00021678,0,196089.0,0.006074850000000076,319,2,0.006269592476489028,321,3.00608565,0.42264265,5.46e-06,0.00275446,0.009423465987460815,0.0008840460503647551,3.0000108,3,1.08e-05,1.5000054,1.5000054,2.2499838000291597
538372659055988b6ed27c20ba8fbcc171d713c74341a0266aaa750895faa460,2020-02-20 16:17:10,0,0.0001,15366994.0,2.9040000000018357e-05,1,83,83.0,84,0.028,0.028,0.028,0.028,0.028,0.0,0.027970959999999982,0.01637213,0.0001,0.0001018,0.00033699951807228905,3.1512162841539853e-06
a17401945899b994e5c6e6ed0b4b62fd3d6f2cdbcaf610884da17fbe4f25a408,2020-02-21 07:22:05,0.0001,0,54295.0,0.0008071000000000605,69,2,0.028985507246376812,71,1.6100000100000003,0.26228723,8e-06,0.00624724,0.02333333347826087,0.0019186937433063097,1.6091929100000002,1.6,0.00919291,0.8045964550000001,0.8045964550000001,0.6326667993985671
2349337722aae3267266c7bb8e9d81da2309aa758c9ffcd6b9baf11231ae74b5,2020-03-24 09:16:06,0,0.0001,2771641.0,2.4620000000009912e-05,1,69,69.0,70,0.02368828,0.02368828,0.02368828,0.02368828,0.02368828,0.0,0.02366365999999999,0.01120731,0.0001,0.00010961,0.00034295159420289867,1.7663745198307923e-06
32237933817fed3f58b359607b3502befb58fa8720939d0ab369f6a68bd0a775,2020-03-30 04:37:12,0,2.252e-05,501666.0,0.00016062999999999494,3,477,159.0,480,0.01958342,0.01683294,0.00074022,0.00201026,0.006527806666666667,5.336672010915556e-05,0.019422790000000006,0.00031515,7.26e-06,2.696e-05,4.071863731656185e-05,1.0824831543275802e-09
39accabdd605ab746958fff71793a75d026eff48f0edeb200cc6591ba8dfd610,2020-03-30 20:46:33,0.00012252,0,58161.0,0.002248099999999198,177,2,0.011299435028248588,179,6.012547999999999,3.42,1e-05,0.003022,0.033969197740113,0.06604791391010888,6.0102999,6,0.0102999,3.00514995,3.00514995,8.969126821985002
d73176610444d09b5fe087c4a9b6209638976c9a51c73fb0604ea4f85c4cbd91,2020-05-03 19:30:21,0,0.00010231,2933028.0,2.8500000000000747e-05,1,81,81.0,82,0.1181768,0.1181768,0.1181768,0.1181768,0.1181768,0.0,0.1181483,0.10599695,0.0001,0.00010817,0.001458620987654321,0.00013661425762240894
5c84b3242a12b489c83a9a34f75b594415ad1a3a175d511739860b82ff0354f7,2020-05-04 13:45:21,0.00010231,0,65700.0,0.011206199999999278,144,2,0.013888888888888888,146,4.012095399999999,0.27667218,5.8e-06,0.008449945,0.02786177361111111,0.0022166381496144245,4.0008892,4,0.0008892,2.0004446,2.0004446,3.99822179766916
4fc192d686ce0edbc350bb995827676d8c0d8b03421e38cee6b2c0383c8a6b16,2020-06-04 14:01:02,0,0.00035034,2679341.0,0.00043247000000000424,6,75,12.5,81,0.03806181,0.0142,0.00118705,0.0045000000000000005,0.006343635,1.9350453113458334e-05,0.03762934,0.00206112,0.00035,0.0004001,0.0005017245333333333,8.223989486211556e-08
67b4bead6f665fd59d8d07f1072ce8f9a386995d8cf0f0099a7a7a0913510f4f,2020-06-05 06:37:12,0.00035034,0,59770.0,0.005087600000000414,93,2,0.021505376344086023,95,4.0144216,0.593614,5.47e-06,0.0089,0.04316582365591398,0.008647002666468097,4.009334,4,0.009334,2.004667,2.004667,3.981353780889
90a1e84611b0412106996aa88f4fc7c2a52b93dbfc979320de0d7920f322f34e,2020-06-18 15:51:21,0,0.00010421,1156449.0,6.955999999998935e-05,1,101,101.0,102,0.03524702,0.03524702,0.03524702,0.03524702,0.03524702,0.0,0.03517746000000001,0.01887282,0.0001,0.00010417,0.0003482916831683168,3.520308329158552e-06
307074ca6fd8e06fbb90c33403c4931107999f85cbe3120c7bfce1a044f042ad,2020-06-19 12:13:56,0.00010421,0,73355.0,4.2760000000000004e-05,2,1,0.5,3,0.00024276,0.00013855,0.00010421,0.00012138,0.00012138,2.948089000000002e-10,0.0002,0.0002,0.0002,0.0002,0.0002,0.0
18aea68bbade07a9e6544b857b9890ad8ebb32d4b97c78bfc99ba3ea0709104e,2020-06-27 15:53:41,0,0.00010445,704385.0,6.220000000004e-05,1,90,90.0,91,0.07234195,0.07234195,0.07234195,0.07234195,0.07234195,0.0,0.07227974999999996,0.06116533,0.0001,0.00010224,0.000803108333333333,4.094194682251167e-05
2d966d26699034295260d04d636b4b3b37d2e2dd0342d0222804f3ea44d9aa5a,2020-06-27 18:23:56,0.00010445,0,9015.0,7.457999999999998e-05,2,1,0.5,3,0.00020459,0.00010445,0.00010014,0.000102295,0.000102295,4.6440250000000096e-12,0.00013001,0.00013001,0.00013001,0.00013001,0.00013001,0.0
cc9c6f4e9bce197a09de0566b9f3e7332049843b6094f3b80fe624bca8081763,2020-07-25 18:14:04,0,0.00010264,2418608.0,4.784000000000385e-05,2,63,31.5,65,0.02070508,0.01898172,0.00172336,0.01035254,0.01035254,7.446274747240001e-05,0.020657239999999997,0.0111738,0.0001,0.0001046,0.0003278926984126984,1.9164182376197024e-06
da360d4bb2c822cc0ff4e33c9239c74f74eb06f256d75958526be4cdf3df78db,2020-07-25 20:16:13,0.00010264,0,7329.0,0.0011598599999999848,11,2,0.18181818181818182,13,0.19684708999999997,0.104495,1.54e-05,0.00340711,0.017895190000000002,0.0010500791127999818,0.19568723,0.19373036,0.00195687,0.097843615,0.097843615,0.009194267866695024
7735b6cbcad8409fd773724424eae10b706d6d88df9712e7d8c9bb9c5f44b6dd,2020-08-03 07:04:44,0,0.00010109,730111.0,0.00010860000000012526,1,61,61.0,62,0.15843468,0.15843468,0.15843468,0.15843468,0.15843468,0.0,0.15832607999999987,0.14690481,0.0001,0.00010453,0.002595509508196721,0.0003471426867788964
