txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
e7bd27ffbd2dee8d35008dd4ee74d169d2eae1eb1fa909d9370467fc65349ee5,2021-04-12 11:25:28,0.00771682,0,,4.08600000000002e-05,1,2,2.0,3,0.00771682,0.00771682,0.00771682,0.00771682,0.00771682,0.0,0.00767596,0.0066,0.00107596,0.00383798,0.00383798,7.6287544804e-06
dbf7e5300d1a7cd9137db1958ef123dda15aaf9422167d77127bcfdf4bbb291e,2021-04-13 22:46:51,0,0.02075219,127283.0,0.001654580000000072,2,46,23.0,48,0.65935359,0.42692565,0.23242794,0.329676795,0.329676795,0.009457339798811025,0.65769901,0.14941624,0.00025213,0.009354600000000001,0.014297804565217391,0.0005773644024086248
3a57c03aec1bffd83a9237541bbe07261f10544b2cc597b688cf3e28a705cc24,2021-04-23 02:33:30,0,0.00062691,791199.0,0.00035524999999991813,1,2,2.0,3,1.44003967,1.44003967,1.44003967,1.44003967,1.44003967,0.0,1.43968442,1.43905751,0.00062691,0.71984221,0.71984221,0.51727064775409
b9ec904443358d3f961f183ac94995f2bd9235b8ff10b413651bec9d140eafa0,2021-04-23 14:02:36,0.00062691,0,41346.0,0.0007420599999999992,2,1,0.5,3,0.006773629999999999,0.00614672,0.00062691,0.0033868149999999996,0.0033868149999999996,7.617075609024999e-06,0.00603157,0.00603157,0.00603157,0.00603157,0.00603157,0.0
d39dbde12f06da79d37939965bb2a53d93fdfa2ba9e6598e3b50572a936a49e2,2021-04-26 15:56:18,0.02075219,0,266022.0,0.00037455000000000127,1,2,2.0,3,0.02075219,0.02075219,0.02075219,0.02075219,0.02075219,0.0,0.02037764,0.0173764,0.00300124,0.01018882,0.01018882,5.16613062564e-05
6d283525dadade86589b00e6b391afcc8f745d9346d58a9af605f5aa91cfa297,2021-04-30 20:29:58,0,0.00183679,362020.0,4.724999999999998e-05,1,2,2.0,3,0.00313307,0.00313307,0.00313307,0.00313307,0.00313307,0.0,0.00308582,0.00183679,0.00124903,0.00154291,0.00154291,8.636545440000003e-08
0887445ef091b9f983c9fa231b35309dbb6a66ac2ae33d9da0d38cf22710851a,2021-05-01 07:16:42,0,0.0129818,38804.0,0.0032875199999999882,1,61,61.0,62,1.21682437,1.21682437,1.21682437,1.21682437,1.21682437,0.0,1.2135368500000001,0.24396604,0.00025443,0.00808492,0.019894046721311478,0.0013996365748699007
7d47631cb359bf2ad2f75178b0d4f74cac147bcde8438065ca55887f63d570e8,2021-05-01 08:57:13,0.0129818,0,6031.0,0.0002754000000000003,2,1,0.5,3,0.01322586,0.0129818,0.00024406,0.00661293,0.00661293,4.0562505076900004e-05,0.01295046,0.01295046,0.01295046,0.01295046,0.01295046,0.0
c4dc09c245ecad248c4d225fd3fe0a53d6914280001c1a2dd43614817244c0fa,2021-05-01 17:48:20,0.00183679,0,31867.0,0.00025620000000000026,2,1,0.5,3,0.00228698,0.00183679,0.00045019,0.00114349,0.00114349,4.8066489e-07,0.00203078,0.00203078,0.00203078,0.00203078,0.00203078,0.0
5fb6ae59ddf7fe91c41cb3e4b2b332cbfaad0e7d8dbfbc27a0cfb804e2040ff3,2021-05-02 02:53:12,0,0.01129506,32692.0,0.0031961099999999742,4,50,12.5,54,0.55271001,0.24828206,0.08076434,0.111831805,0.1381775025,0.0043300676479533185,0.5495139,0.04894049,0.00025605,0.007721865,0.010990278,0.0001361087699512
