txid,time,address_in_amount,address_out_amount,time_diff,fee,in_degree,out_degree,degree_ratio,all_degree,total_in,max_in,min_in,median_in,mean_in,var_in,total_out,max_out,min_out,median_out,mean_out,var_out
0482bb06dfd2b0e048163e5eeadbe7e758cd3aba7cecbf09879af584764c87bd,2020-04-09 19:08:05,0,0.00010105,,0.00017660000000008225,1,26,26.0,27,1.31134047,1.31134047,1.31134047,1.31134047,1.31134047,0.0,1.31116387,0.72717984,0.00010105,0.010396925000000001,0.05042937961538462,0.019952550147868727
60006e47c6b0a3f117f497e3d163b71eae83b7e329ebdc2034cf027441d75cf6,2020-04-14 06:25:34,0,0.00018913,386249.0,5.7299999999999875e-06,1,2,2.0,3,0.0002005,0.0002005,0.0002005,0.0002005,0.0002005,0.0,0.00019477,0.00018913,5.64e-06,9.7385e-05,9.7385e-05,8.417145025e-09
728860ce0caa69325df3b54b932448f07abfea2db0d54943f84ffaa1b4945ecc,2020-04-15 07:55:19,0.00018913,0,91785.0,0.002131200000001776,161,2,0.012422360248447204,163,5.002216700000002,1.34155708,6.34e-06,0.00785066,0.03106966894409938,0.01222720875193058,5.0000855,5,8.55e-05,2.50004275,2.50004275,6.249786251827563
2b6f8da72426bbec65c8e5f9a27feb43e0d0313e3d277220eda2ad2dd0f65099,2020-04-18 07:00:01,0.00010105,0,255882.0,0.002568899999999985,194,2,0.010309278350515464,196,4.0125449,0.38139107,6e-06,0.01092699,0.02068322113402062,0.001548174665711838,4.009976,4,0.009976,2.004988,2.004988,3.980072880144
19010bab3eb9f32bb22c97a2b80019cad819b09cb1da37f3923565c72a27c886,2020-05-04 09:29:52,0,0.00010044,1391391.0,0.0008685000000000498,1,36,36.0,37,0.59975199,0.59975199,0.59975199,0.59975199,0.59975199,0.0,0.59888349,0.11544689,1.859e-05,0.0037833149999999998,0.0166356525,0.0008654887820409743
fa500973210aa87cb739d71cd3f73ae286446f241f1cf4af01fd71ad6831a209,2020-05-07 07:00:02,0.00010044,0,250210.0,0.004768400000000117,88,2,0.022727272727272728,90,3.0051968000000002,1.94598,1.805e-05,0.005344555,0.03414996363636364,0.04281447782775578,3.0004284,3,0.0004284,1.5002142,1.5002142,2.24935744588164
211b5a3902277d3a0a31fa41d27ee39d7f36fcc755c38097d3e807f27e134fed,2020-06-09 09:13:59,0,0.00010099,2859237.0,5.059999999997705e-05,1,72,72.0,73,0.036,0.036,0.036,0.036,0.036,0.0,0.03594940000000002,0.02676431,0.0001,0.000102015,0.0004992972222222222,9.720093272883952e-06
84f5a6db3573acd5cb375f9975633a17cecd024b90598348c59a34a69ca28a56,2020-06-10 04:50:44,0.00010099,0,70605.0,0.0009567999999990917,36,2,0.05555555555555555,38,2.0100000099999993,0.48083363,5.46e-06,0.00834773,0.05583333361111112,0.013839878613598764,2.00904321,2,0.00904321,1.004521605,1.004521605,0.990977234911776
b1e825721dd21abcd550cd003eef433ce1da3c61baf2b8d3538a49f81dc2f616,2020-07-26 12:51:46,0,0.00010372,4003262.0,6.895999999997904e-05,1,100,100.0,101,0.2,0.2,0.2,0.2,0.2,0.0,0.19993104000000003,0.18253535,0.0001,0.000102665,0.0019993104000000004,0.00032940280992810393
2a2467f988dcce1faf1569523ebc1e7e03901fca4e7c530140fab0dc91097cfa,2020-07-26 15:02:13,0.00010372,0,7827.0,0.0006629000000000496,7,2,0.2857142857142857,9,0.17077533000000006,0.15798038,5.46e-06,0.00010372,0.02439647571428572,0.002982053022654682,0.17011243,0.16841131,0.00170112,0.085056215,0.085056215,0.006948071862459025
